报告日,资产,货币资金,存放中央银行款项,存放同业款项,结算备付金,贵金属,拆出资金,交易性金融资产,买入返售金融资产,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收保费,应收代位追偿款,应收分保账款,应收分保合同准备金,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收保证金,应收投资款项,应收次级债,其他应收款,贴现,发放贷款及垫款净额,存货净额,保费准备金,农险保费准备金,其他保险责任准备金,保单质押贷款,划分为持有待售的资产,可供出售金融资产,长期股权投资,投资性房地产,债权投资,债权计划投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,长期应收款,存出资本保证金,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产合计,定期存款,合同资产,使用权资产,其中:交易席位费,无形资产,商誉,长期待摊费用,独立账户资产,递延税款借项,其他长期资产,资产总计,负债,短期借款,同业存放款项,拆入资金,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据,应付账款,预收账款,应付手续费及佣金,应付职工薪酬,应交税金,应付利息,应付股利,其他应付款,应付保户红利,应付分保账款,应付赔付款,应付保证金,预收保费,代买卖证券款,代理承销证券款,预计负债,划分为持有待售的负债,衍生金融负债,长期借款,应付债券款,其中：应付次级债,应付债券：优先股,应付债券：永续债,保险合同准备金,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,应付长期保险保障基金,保户储金,独立账户负债,长期应付款,专项应付款,合同负债,租赁负债,长期递延收益,递延税款贷项,其他负债,负债合计,所有者权益,股本,其他权益工具,其中：优先股,其中：永续债,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,137688000000.0,,,,,,2015827000000.0,22720000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,325140000000.0,11605000000.0,166895000000.0,,4034416000000.0,386787000000.0,,,,,6673000000.0,,,,,3219000000.0,49158000000.0,52377000000.0,442822000000.0,,1719000000.0,,7990000000.0,,,,41596000000.0,31891000000.0,7715074000000.0,,6000000.0,,,,91755000000.0,238956000000.0,,,,,12680000000.0,2106000000.0,,,,,,,,2623000000.0,,,,,,50000000.0,35381000000.0,,,,,,,,,,,,,,6616793000000.0,1480000000.0,,1664000000.0,99283000000.0,7103087000000.0,,28265000000.0,,,,54532000000.0,-200517000000.0,122479000000.0,89690000000.0,503811000000.0,,598260000000.0,13727000000.0,611987000000.0,7715074000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:41:05
20251231,,143319000000.0,,,,,,2067288000000.0,50879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,307788000000.0,11702000000.0,173992000000.0,,3926042000000.0,317876000000.0,,,,,6620000000.0,80927000000.0,32015000000.0,48912000000.0,22000000.0,3778000000.0,48890000000.0,52668000000.0,418688000000.0,,1778000000.0,,8090000000.0,,,,34431000000.0,39829000000.0,7591004000000.0,,6000000.0,,,,82010000000.0,331863000000.0,,,,,13643000000.0,2625000000.0,,,,,,,,48227000000.0,,,,,,50000000.0,35195000000.0,,,,,,,,,,,,,,6376114000000.0,1539000000.0,,1480000000.0,89547000000.0,6982611000000.0,,28265000000.0,,,,54528000000.0,-185335000000.0,122479000000.0,89665000000.0,485603000000.0,,595205000000.0,13188000000.0,608393000000.0,7591004000000.0,定期报告,是,20260430,CNY,合并期末,2026-04-29T17:11:04
20250930,,96953000000.0,,,,,,2127924000000.0,16233000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,330131000000.0,11978000000.0,183037000000.0,,3795067000000.0,263039000000.0,,,,,6566000000.0,,,,,4572000000.0,47706000000.0,52278000000.0,452732000000.0,,1733000000.0,,8045000000.0,,,,17542000000.0,24929000000.0,7417981000000.0,,,,,,74374000000.0,198333000000.0,,,,,10215000000.0,2499000000.0,,,,,,,,1694000000.0,,,,,,,35006000000.0,,,,,,,,,,,,,,6322362000000.0,1554000000.0,,849000000.0,132179000000.0,6779299000000.0,,28265000000.0,,,,54529000000.0,-167550000000.0,122479000000.0,74446000000.0,513659000000.0,,625828000000.0,12854000000.0,638682000000.0,7417981000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:43:07
20250630,,120934000000.0,,,,,,1949205000000.0,9169000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,317524000000.0,12199000000.0,191224000000.0,,3811103000000.0,252792000000.0,,,,,6637000000.0,,,,,4574000000.0,48205000000.0,52779000000.0,457234000000.0,,1569000000.0,,8129000000.0,,,,46412000000.0,24637000000.0,7292355000000.0,,,,,,69915000000.0,209785000000.0,,,,,10898000000.0,1671000000.0,,,,,,,,3134000000.0,,,,,,,35568000000.0,,,,,,,,,,,,,,6285132000000.0,1401000000.0,,1078000000.0,137963000000.0,6756756000000.0,,28265000000.0,,,,54520000000.0,-148133000000.0,122479000000.0,74420000000.0,392068000000.0,,523619000000.0,11980000000.0,535599000000.0,7292355000000.0,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T17:43:05
20250331,,101842000000.0,,,,,,1952444000000.0,14973000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,303429000000.0,12196000000.0,183216000000.0,,3587172000000.0,212099000000.0,,,,,6597000000.0,,,,,4604000000.0,48690000000.0,53294000000.0,446189000000.0,,1632000000.0,,8192000000.0,,,,39050000000.0,24332000000.0,6976390000000.0,,69000000.0,,,,62189000000.0,182342000000.0,,,,,10245000000.0,1692000000.0,,,,,,,,2407000000.0,,,,,,5975000000.0,35380000000.0,,,,,,,,,,,,,,6008003000000.0,1429000000.0,,502000000.0,121425000000.0,6431836000000.0,,28265000000.0,,,,54204000000.0,-138098000000.0,122479000000.0,74393000000.0,391264000000.0,,532507000000.0,12047000000.0,544554000000.0,6976390000000.0,定期报告,未审计,20250430,CNY,合并期末,2025-04-30T04:21:04
20241231,,86519000000.0,,,,,,1908098000000.0,30560000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,302077000000.0,12319000000.0,196754000000.0,,3458895000000.0,171817000000.0,,,,,6591000000.0,77059000000.0,29192000000.0,47867000000.0,22000000.0,5819000000.0,47845000000.0,53664000000.0,438455000000.0,,1557000000.0,,8262000000.0,,,,40026000000.0,23214000000.0,6769546000000.0,,65000000.0,,,,53521000000.0,151564000000.0,,,,,10582000000.0,1617000000.0,,,,,,,,28760000000.0,,,,,,12693000000.0,35194000000.0,,,,,,,,,,,,,,5825026000000.0,1318000000.0,,147000000.0,127651000000.0,6248298000000.0,,28265000000.0,,,,54158000000.0,-131969000000.0,122479000000.0,74365000000.0,362377000000.0,,509675000000.0,11573000000.0,521248000000.0,6769546000000.0,定期报告,是,20260326,CNY,合并期末,2025-03-26T18:11:02
20240930,,76479000000.0,,,,,,1928633000000.0,24461000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,282844000000.0,12430000000.0,191516000000.0,,3237748000000.0,151408000000.0,,,,,6536000000.0,,,,,5501000000.0,47442000000.0,52943000000.0,445653000000.0,,1474000000.0,,8172000000.0,,,,9442000000.0,24821000000.0,6481554000000.0,,14000000.0,,,,25482000000.0,121989000000.0,,,,,6015000000.0,1249000000.0,,,,,,,,2111000000.0,,,,,,12632000000.0,34994000000.0,,,,,,,,,,,,,,5574084000000.0,1294000000.0,,,123764000000.0,5903939000000.0,,28265000000.0,,,,53952000000.0,-77388000000.0,122480000000.0,64309000000.0,375086000000.0,,566704000000.0,10911000000.0,577615000000.0,6481554000000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T18:41:04
20240630,,90387000000.0,,,,,,1862698000000.0,24004000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,274851000000.0,12620000000.0,191099000000.0,,3007118000000.0,159564000000.0,,,,,6607000000.0,,,,,5433000000.0,47893000000.0,53326000000.0,459220000000.0,,1495000000.0,,8254000000.0,,,,19736000000.0,25117000000.0,6222638000000.0,,,,,,23373000000.0,112081000000.0,,,,,7392000000.0,1102000000.0,,,,,,,,2865000000.0,,,,,,12657000000.0,,,,,,,,,,,,,,,5417061000000.0,1324000000.0,,,140385000000.0,5718505000000.0,,28265000000.0,,,,53937000000.0,-83021000000.0,122479000000.0,64282000000.0,307892000000.0,,493834000000.0,10299000000.0,504133000000.0,6222638000000.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T19:56:04
20240331,,257878000000.0,,,,,,1848004000000.0,11828000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,266428000000.0,12635000000.0,196454000000.0,,2787870000000.0,149033000000.0,,,,,6578000000.0,,,,,5335000000.0,47490000000.0,52825000000.0,396740000000.0,,1437000000.0,,8273000000.0,,,,25008000000.0,23932000000.0,6070843000000.0,,,,,,17798000000.0,166406000000.0,,,,,7835000000.0,1966000000.0,,,,,,,,2141000000.0,,,,,,12890000000.0,,,,,,,,,,,,,,,5241249000000.0,1239000000.0,,,128308000000.0,5580095000000.0,,28265000000.0,,,,53961000000.0,-90550000000.0,120726000000.0,64255000000.0,303749000000.0,,480406000000.0,10342000000.0,490748000000.0,6070843000000.0,定期报告,未审计,20240427,CNY,合并期末,2025-04-30T04:25:04
20231231,,150520000000.0,,,,,,257054000000.0,19749000000.0,,,,,,47963000000.0,21521000000.0,,1411000000.0,6562000000.0,642000000.0,647000000.0,700000000.0,4573000000.0,,,,17469000000.0,,333153000000.0,,,,,,,2263047000000.0,258872000000.0,12753000000.0,1707198000000.0,,,,,,,,6333000000.0,74794000000.0,26660000000.0,48134000000.0,22000000.0,5182000000.0,48112000000.0,53294000000.0,405361000000.0,,1480000000.0,,8369000000.0,,,8416000000.0,74818000000.0,27917000000.0,5653727000000.0,,,,,,13878000000.0,216704000000.0,,,,4780000000.0,8586000000.0,1106000000.0,,7000000.0,18670000000.0,95233000000.0,748000000.0,66592000000.0,,48878000000.0,,,,,,12719000000.0,34999000000.0,,,,4288490000000.0,14220000000.0,24461000000.0,3983433000000.0,266376000000.0,,486483000000.0,8416000000.0,,,4859175000000.0,1255000000.0,,1549000000.0,116974000000.0,5316011000000.0,,28265000000.0,,,,53934000000.0,-188048000000.0,110845000000.0,54348000000.0,268440000000.0,,327784000000.0,9932000000.0,337716000000.0,5653727000000.0,定期报告,是,20250327,CNY,合并期末,2024-03-27T18:46:03
