datetime,num_stocks,num_long,num_short,long_return,short_return,long_turnover,short_turnover,daily_return,transaction_cost,net_return,cumulative_pnl,drawdown,factor
2023-09-01,300,60,60,0.014010948,0.014588738,0.0,0.0,-0.00057778973,0.0,-0.000577789731323719,-0.000577789731323719,0.0,roc_14
2023-09-04,300,60,60,-0.006217114,-0.005246925,0.21666666666666667,0.25,-0.000970189,0.00035,-0.001320188993960619,-0.0018972159336402283,-0.0013194262023165093,roc_14
2023-09-05,300,60,60,0.00092101493,-0.004722192,0.18333333333333335,0.18333333333333335,0.0056432066,0.000275,0.005368206648528576,0.0034608060676997177,0.0,roc_14
2023-09-06,300,60,60,-0.014306059,-0.017246395,0.16666666666666663,0.1333333333333333,0.0029403362,0.00022499999999999997,0.0027153362423181534,0.00618553956216128,0.0,roc_14
2023-09-07,300,60,60,-0.0022666554,-0.004899435,0.16666666666666663,0.15000000000000002,0.0026327798,0.0002375,0.0023952797677367927,0.00859563542766395,0.0,roc_14
2023-09-08,300,60,60,0.0018331856,0.011837572,0.1166666666666667,0.18333333333333335,-0.010004386,0.00022500000000000005,-0.01022938630580902,-0.0017216789534785226,-0.010317314381142473,roc_14
2023-09-11,300,60,60,-0.002480646,0.0002772967,0.21666666666666667,0.18333333333333335,-0.0027579425,0.00030000000000000003,-0.003057942536845803,-0.00477435669501769,-0.01336999212268164,roc_14
2023-09-12,300,60,60,-0.010370952,-0.009228518,0.18333333333333335,0.1333333333333333,-0.0011424338,0.0002375,-0.0013799338445067407,-0.006147702243135211,-0.014743337670799161,roc_14
2023-09-13,300,60,60,0.0009927978,-0.0075569493,0.33333333333333337,0.25,0.008549747,0.00043750000000000006,0.008112247057259082,0.0019146731346930679,-0.006680962292970882,roc_14
2023-09-14,300,60,60,-0.0014044901,-0.0061344407,0.18333333333333335,0.15000000000000002,0.004729951,0.00025000000000000006,0.004479950800538063,0.006403201576673512,-0.0021924338509904384,roc_14
2023-09-15,300,60,60,-0.00054828427,0.0061969846,0.23333333333333328,0.16666666666666663,-0.0067452686,0.0002999999999999999,-0.00704526859074831,-0.0006871792890231765,-0.009282814716687127,roc_14
2023-09-18,300,60,60,0.0014707615,-0.009266061,0.2833333333333333,0.21666666666666667,0.010736822,0.000375,0.01036182215064764,0.009667522432045939,0.0,roc_14
2023-09-19,300,60,60,-0.0033897858,-0.006862691,0.2666666666666667,0.21666666666666667,0.0034729054,0.00036250000000000003,0.0031104053732007742,0.012807997718964792,0.0,roc_14
2023-09-20,300,60,60,-0.006253429,-0.0054364214,0.18333333333333335,0.1333333333333333,-0.00081700785,0.0002375,-0.001054507850855589,0.011739983733960901,-0.0010680139850038906,roc_14
2023-09-21,300,60,60,0.0040124166,0.024484973,0.25,0.1333333333333333,-0.020472556,0.0002875,-0.020760056352615356,-0.009263795342550285,-0.022071793061515077,roc_14
2023-09-22,300,60,60,0.0003250142,-0.00835044,0.18333333333333335,0.18333333333333335,0.008675454,0.000275,0.008400454184412957,-0.000941161246486244,-0.013749158965451036,roc_14
2023-09-25,300,60,60,-0.004939137,-0.0053734006,0.1333333333333333,0.1166666666666667,0.0004342636,0.0001875,0.0002467636093497276,-0.0006946298814827223,-0.013502627600447514,roc_14
2023-09-26,300,60,60,0.0013514757,0.011107803,0.16666666666666663,0.21666666666666667,-0.009756328,0.0002875,-0.010043827606737613,-0.01073148074544028,-0.023539478464405073,roc_14
2023-09-27,300,60,60,-0.0024596702,0.0040508895,0.25,0.23333333333333328,-0.0065105595,0.0003625,-0.006873059469461441,-0.017530782109542953,-0.030338779828507745,roc_14
2023-09-28,300,60,60,0.0061927945,-0.00395966,0.21666666666666667,0.21666666666666667,0.0101524545,0.00032500000000000004,0.009827454487979411,-0.007875610584883619,-0.02068360830384841,roc_14
2023-10-09,300,60,60,-0.010808276,-0.006361532,0.2666666666666667,0.25,-0.004446744,0.00038750000000000004,-0.004834243987500667,-0.012671781949266436,-0.02547977966823123,roc_14
2023-10-10,300,60,60,0.010190329,-0.0016464134,0.18333333333333335,0.2833333333333333,0.011836742,0.00035,0.01148674205094576,-0.0013305973888978473,-0.01413859510786264,roc_14
2023-10-11,300,60,60,0.005661431,0.0139817605,0.31666666666666665,0.23333333333333328,-0.00832033,0.00041249999999999994,-0.008732829710841179,-0.01005180721932808,-0.02285980493829287,roc_14
2023-10-12,300,60,60,-0.0015427828,-0.015381109,0.21666666666666667,0.2833333333333333,0.013838327,0.000375,0.013463326558470726,0.0032761885760459464,-0.009531809142918846,roc_14
2023-10-13,300,60,60,-0.010373021,-0.0128069185,0.15000000000000002,0.18333333333333335,0.002433898,0.00025000000000000006,0.00218389792740345,0.005467241364890407,-0.007340756354074385,roc_14
2023-10-16,300,60,60,0.0049784114,-0.0017874261,0.19999999999999996,0.18333333333333335,0.0067658373,0.0002875,0.006478337315469981,0.011980997314107178,-0.0008270004048576141,roc_14
2023-10-17,300,60,60,-0.010398511,-0.014062231,0.18333333333333335,0.18333333333333335,0.0036637206,0.000275,0.0033887205630540847,0.015410318129125411,0.0,roc_14
2023-10-18,300,60,60,-0.0154427225,-0.017326469,0.15000000000000002,0.1333333333333333,0.0018837461,0.0002125,0.00167124612480402,0.017107318688384776,0.0,roc_14
2023-10-19,300,60,60,-0.0122321,-0.006804384,0.16666666666666663,0.15000000000000002,-0.005427716,0.0002375,-0.005665215834230184,0.011345186201439983,-0.005762132486944793,roc_14
2023-10-20,300,60,60,-0.010313212,-0.018818049,0.19999999999999996,0.23333333333333328,0.008504837,0.00032499999999999993,0.008179836820065975,0.019617824793327188,0.0,roc_14
2023-10-23,300,60,60,0.0045713116,0.0061111907,0.16666666666666663,0.15000000000000002,-0.001539879,0.0002375,-0.0017773790128529073,0.017805577470408895,-0.0018122473229182923,roc_14
2023-10-24,300,60,60,0.00020769039,0.010028805,0.21666666666666667,0.15000000000000002,-0.009821114,0.000275,-0.010096114130318164,0.007529696197793312,-0.012088128595533876,roc_14
2023-10-25,300,60,60,0.0021058698,-0.0034703214,0.25,0.31666666666666665,0.0055761915,0.000425,0.00515119147002697,0.01271967457464629,-0.0068981502186808985,roc_14
2023-10-26,300,60,60,0.014111287,0.023302179,0.21666666666666667,0.1333333333333333,-0.009190892,0.0002625,-0.00945339186936617,0.003146038637075188,-0.016471786156252,roc_14
2023-10-27,300,60,60,0.007846585,0.006128618,0.2833333333333333,0.23333333333333328,0.0017179665,0.0003875,0.001330466515570879,0.004480690851709435,-0.015137133941617753,roc_14
2023-10-30,300,60,60,-0.0067814696,-0.0037308463,0.31666666666666665,0.21666666666666667,-0.0030506232,0.0004,-0.003450623228773475,0.001014606447002242,-0.018603218346324946,roc_14
2023-10-31,300,60,60,-0.0034123997,-0.006787208,0.2666666666666667,0.15000000000000002,0.0033748082,0.00031250000000000006,0.003062308235093951,0.004080021719774285,-0.015537803073552903,roc_14
2023-11-01,300,60,60,-0.0064125,-0.013108283,0.19999999999999996,0.16666666666666663,0.006695783,0.00027499999999999996,0.006420783231407404,0.010527001886223797,-0.00909082290710339,roc_14
2023-11-02,300,60,60,0.0046448717,0.01781327,0.16666666666666663,0.09999999999999998,-0.013168399,0.00019999999999999996,-0.013368399222195149,-0.0029821264997991204,-0.022599951293126308,roc_14
2023-11-03,300,60,60,0.015455196,0.021686183,0.25,0.2666666666666667,-0.0062309876,0.00038750000000000004,-0.00661848760843277,-0.009580876940946226,-0.029198701734273413,roc_14
2023-11-06,300,60,60,-0.001398181,-0.00017286738,0.30000000000000004,0.21666666666666667,-0.0012253136,0.00038750000000000004,-0.001612813637405634,-0.011178238409363161,-0.03079606320269035,roc_14
2023-11-07,300,60,60,-0.00077129505,-0.0013883442,0.15000000000000002,0.16666666666666663,0.00061704917,0.0002375,0.00037954916879534724,-0.010802931931664594,-0.030420756724991782,roc_14
2023-11-08,300,60,60,-0.0030686934,0.008343638,0.15000000000000002,0.1166666666666667,-0.011412332,0.00020000000000000004,-0.011612331834435463,-0.022289816535724705,-0.04190764132905189,roc_14
2023-11-09,300,60,60,-0.0039111157,-0.010402784,0.1166666666666667,0.15000000000000002,0.006491668,0.00020000000000000004,0.006291668056696654,-0.01613838860571548,-0.03575621339904267,roc_14
