group,n_factors,ic_mean,ic_ir,sharpe,total_return,max_drawdown
selected_factors_mean,79,0.02999012069114102,0.21110497214520368,0.19083029084059536,0.42094592675933473,-0.30915627327311734
all_factors_mean,79,0.019774010163740273,0.1451161756769506,0.021795526912549615,0.2946949462316125,-0.3370535017092727
