month,n_selected,ic_mean,ic_ir,sharpe,total_return,annual_return,max_drawdown
2023-09,30,0.03315741546672721,0.22158215657482752,0.27851696247919444,0.40224836455792495,0.138202543375479,-0.2808246863615985
2023-10,30,0.03056136794837974,0.21588021092301857,0.25905776038423356,0.5097853973229717,0.1634345016209457,-0.29185198105999305
2023-11,30,0.03705364450695324,0.26125520716743317,0.42178317995522174,0.5447652268409371,0.17862662762077564,-0.27536204526368724
2023-12,30,0.025830735781817212,0.1856332942634951,0.04489140747730872,0.43377333865276585,0.11899740811900271,-0.3325519489508667
2024-01,30,0.02594754833916148,0.16383436978225158,0.04163365490096924,0.189551161711443,0.021854473663821265,-0.3772766250140201
2024-02,30,0.024169424631159116,0.190411012232973,0.2963419521008949,0.36609878264476453,0.11403922511717939,-0.29096494594946964
2024-03,30,0.03144067146761167,0.2219463736510021,0.1829636502177557,0.48326816386635546,0.15802818895025028,-0.2951474871587975
2024-04,30,0.024748979611599196,0.1854860169070696,0.13423690569001276,0.4886118601659959,0.14706530660696018,-0.29612892040158567
2024-05,30,0.022454146928712043,0.14250577296796577,-0.05885288303811134,0.26558002145363896,0.0669946443485439,-0.3568056194598339
2024-06,30,0.01978866737623579,0.15728015529894326,0.08800437767782092,0.32699178486768055,0.09271625795338607,-0.2900306086276179
2024-07,30,0.03924212469850108,0.27609108881942734,0.2430002256702803,0.5873543726264842,0.17822111545612138,-0.2970415395658721
2024-08,30,0.03042451243715676,0.20751567440653265,0.11677722822593158,0.31689902889487326,0.05652449827337864,-0.3561216144149759
2024-09,30,0.01978702065856418,0.15096490968112478,0.02512654948043499,0.3769686091202202,0.09364819423789078,-0.31614686094941946
2024-10,30,0.023036107872126586,0.1592653037928627,0.061420062171981725,0.27661228897899987,0.07583513835573215,-0.3148170001433162
2024-11,30,0.03343249419865099,0.24448323946608705,0.28416260949316674,0.4395570228347076,0.12792104171306873,-0.31064130912225923
2024-12,30,0.030722045344206087,0.20599845531231145,0.22282320650705148,0.4885590699436866,0.1556271987808002,-0.2968951474950091
2025-01,30,0.03559750357795354,0.2531742375735611,0.16982241708840048,0.3118302647273073,0.09104041708400491,-0.31451588700775857
2025-02,30,0.03661755779941548,0.2634797974063875,0.46703520619349903,0.6098890246509145,0.2126608502354508,-0.24230106650477357
2025-03,30,0.03227417268542811,0.2059007693331816,0.09639462994967424,0.4995942830235007,0.13533920715754155,-0.33840169497593303
2025-04,30,0.03017633678772399,0.2178679322409293,0.14495952345296095,0.4427168587860148,0.11346584970373978,-0.321723395633431
2025-05,30,0.03206996830054561,0.23830179673776594,0.46991725378508625,0.5158949248755662,0.17401284512626394,-0.279147704368534
2025-06,30,0.037079853794997154,0.24742705154592023,0.25394500236617606,0.4567592945893033,0.1571919827694348,-0.27612747316186
2025-07,30,0.03787153403803551,0.2713334448163204,0.3282964907064783,0.6170673048825466,0.19327551623451844,-0.29309109574426717
2025-08,30,0.030067490759547247,0.20098616626744706,0.05243128665646205,0.1949468423148605,0.03375594488533759,-0.3429228828283099
2025-09,30,0.02293179246237167,0.17238282930689766,0.06195936239649079,0.31458836924968714,0.07209536596263813,-0.34232869332038274
2025-10,30,0.03998922755066285,0.2691432010427136,0.3654561891285207,0.5871668667338379,0.18817584777307958,-0.2785237021191317
2025-11,30,0.026771257037492613,0.19130318924946282,0.024214525518657392,0.2754719599630537,0.05209919933124415,-0.3237172455862719
2025-12,30,0.026479777290212565,0.1895055632977898,0.26692940690011613,0.4639354609813285,0.13179369174921074,-0.3249664704583097
