实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-07-04,年度分红,,,0.6226,2008-07-09,2008-07-10,2008-07-18,,10派0.6226元（含税）,2007年报
2009-07-09,年度分红,,,1.5413,2009-07-15,2009-07-16,2009-07-31,,10派1.5413元（含税）,2008年报
2010-07-07,年度分红,,,1.4984,2010-07-14,2010-07-15,2010-07-28,,10派1.4984元（含税）,2009年报
2011-06-07,年度分红,,,1.5633,2011-06-10,2011-06-13,2011-06-28,,10派1.5633元(含税),2010年报
2012-06-01,年度分红,,,2.15,2012-06-07,2012-06-08,2012-06-14,,10派2.15元(含税),2011年报
2013-05-21,年度分红,,,2.1,2013-05-24,2013-05-27,2013-06-05,,10派2.1元(含税),2012年报
2014-05-17,年度分红,,,0.81,2014-05-22,2014-05-23,2014-05-29,,10派0.81元(含税),2013年报
2015-06-30,年度分红,,,0.24,2015-07-03,2015-07-06,2015-07-06,,10派0.24元(含税),2014年报
2017-07-17,年度分红,,,0.39,2017-07-21,2017-07-24,2017-07-24,,10派0.39元(含税),2016年报
2018-07-12,年度分红,,,0.55,2018-07-17,2018-07-18,2018-07-18,,10派0.55元(含税),2017年报
2019-07-09,年度分红,,,0.78,2019-07-15,2019-07-16,2019-07-16,,10派0.78元(含税),2018年报
2020-06-30,年度分红,,,1.27,2020-07-06,2020-07-07,2020-07-07,,10派1.27元(含税),2019年报
2021-06-09,年度分红,,,1.34,2021-06-16,2021-06-17,2021-06-17,,10派1.34元(含税),2020年报
2022-07-22,年度分红,,,3.01,2022-07-28,2022-07-29,2022-07-29,,10派3.01元(含税),2021年报
2023-07-20,年度分红,,,4.13,2023-07-25,2023-07-26,2023-07-26,,10派4.13元(含税),2022年报
2024-08-13,年度分红,,,4.42,2024-08-19,2024-08-20,2024-08-20,,10派4.42元(含税),2023年报
2024-08-13,特别分红,,,1.13,2024-08-19,2024-08-20,2024-08-20,,10派1.13元(含税),2024半年报
2024-10-17,中期分红,,,2.21,2024-10-22,2024-10-23,2024-10-23,,10派2.21元(含税),2024半年报
2025-08-21,年度分红,,,2.58,2025-08-26,2025-08-27,2025-08-27,,10派2.58元(含税),2024年报
2025-10-15,中期分红,,,1.66,2025-10-21,2025-10-22,2025-10-22,,10派1.66元(含税),2025半年报
