实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-06-24,年度分红,,3.0,1.0,2011-06-30,2011-07-01,2011-07-01,2011-07-01,10转增3股派1元(含税),2010年报
2012-03-21,年度分红,,8.0,1.0,2012-03-26,2012-03-27,2012-03-27,2012-03-27,10转增8股派1元(含税),2011年报
2013-05-02,年度分红,,10.0,1.0,2013-05-09,2013-05-10,2013-05-10,2013-05-10,10转增10股派1元(含税),2012年报
2014-06-28,年度分红,,,1.0,2014-07-03,2014-07-04,2014-07-04,,10派1元(含税),2013年报
2016-06-15,年度分红,,,0.3,2016-06-21,2016-06-22,2016-06-22,,10派0.3元(含税),2015年报
2017-06-05,年度分红,,,0.22,2017-06-12,2017-06-13,2017-06-13,,10派0.22元(含税),2016年报
2018-06-26,年度分红,,,0.28,2018-07-02,2018-07-03,2018-07-03,,10派0.28元(含税),2017年报
2019-07-03,年度分红,,,0.52,2019-07-09,2019-07-10,2019-07-10,,10派0.52元(含税),2018年报
2020-06-16,年度分红,,,0.63,2020-06-22,2020-06-23,2020-06-23,,10派0.63元(含税),2019年报
2021-07-03,年度分红,,,1.09,2021-07-08,2021-07-09,2021-07-09,,10派1.09元(含税),2020年报
2022-07-06,年度分红,,,2.05,2022-07-12,2022-07-13,2022-07-13,,10派2.05元(含税),2021年报
2023-07-06,年度分红,,,4.45,2023-07-12,2023-07-13,2023-07-13,,10派4.45元(含税),2022年报
2024-06-27,年度分红,,,7.8,2024-07-03,2024-07-04,2024-07-04,,10派7.8元(含税),2023年报
2025-06-25,年度分红,,3.5,10.6,2025-07-02,2025-07-03,2025-07-03,2025-07-03,10转增3.5股派10.6元(含税),2024年报
