实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1997-10-28,年度分红,3.0,0.0,1.0,,,1997-11-10,,10送3股派1元(含税),1996年报
1998-07-16,年度分红,0.0,0.0,1.2,,,,,10派1.2元(含税),1997年报
2001-08-02,年度分红,,,1.0,2001-08-10,2001-08-13,2001-08-14,,10派1元（含税）,2000年报
2002-07-12,年度分红,,,0.5,2002-07-19,2002-07-22,2002-07-22,,10派0.5元(含税),2001年报
2003-06-04,年度分红,,2.0,,2003-06-09,2003-06-10,,,10股转增2股,2002年报
2004-06-03,年度分红,0.0,5.0,0.1,2004-06-08,2004-06-09,2004-06-09,,10转增5股派0.1元(含税),2003年报
2005-06-21,年度分红,0.0,0.0,0.2,2005-06-27,2005-06-28,2005-06-28,,10派0.2元(含税),2004年报
2005-07-13,特别分红,,5.0,,2005-07-18,2005-07-19,,,10转增5股,2005半年报
2011-06-14,年度分红,,2.0,,2011-06-17,2011-06-20,,2011-06-20,10转增2股,2010年报
2015-10-28,中期分红,,,0.1,2015-11-03,2015-11-04,2015-11-04,,10派0.1元(含税),2015半年报
2016-06-22,年度分红,,,0.1,2016-06-27,2016-06-28,2016-06-28,,10派0.1元(含税),2015年报
2017-07-08,年度分红,,,0.3,2017-07-13,2017-07-14,2017-07-14,,10派0.3元(含税),2016年报
2018-06-20,年度分红,,,0.5,2018-06-25,2018-06-26,2018-06-26,,10派0.5元(含税),2017年报
2019-05-25,年度分红,,,0.3,2019-05-30,2019-05-31,2019-05-31,,10派0.3元(含税),2018年报
2020-06-30,年度分红,,,0.2,2020-07-03,2020-07-06,2020-07-06,,10派0.2元(含税),2019年报
2021-05-28,年度分红,,,1.0,2021-06-03,2021-06-04,2021-06-04,,10派1元(含税),2020年报
2022-05-24,年度分红,,,2.1,2022-05-27,2022-05-30,2022-05-30,,10派2.1元(含税),2021年报
2023-05-31,年度分红,,,0.61,2023-06-06,2023-06-07,2023-06-07,,10派0.61元(含税),2022年报
2024-06-13,年度分红,,,0.3,2024-06-18,2024-06-19,2024-06-19,,10派0.3元(含税),2023年报
2025-06-19,年度分红,,,0.5,2025-06-24,2025-06-25,2025-06-25,,10派0.5元(含税),2024年报
