实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1996-12-23,年度分红,10.0,,,1996-12-26,1996-12-27,,,10送10股,1995年报
1997-11-07,年度分红,0.0,0.0,10.0,1997-11-17,1997-11-18,1997-11-24,,10派10元(含税),1996年报
1998-09-04,中期分红,0.0,10.0,0.0,1998-09-10,1998-09-11,,,10转增10股,1998半年报
1999-06-15,年度分红,0.0,0.0,4.0,1999-06-18,1999-06-21,1999-06-25,,10派4元(含税),1998年报
2000-06-06,年度分红,,,4.0,2000-06-12,2000-06-13,2000-06-14,,10派4元(含税),1999年报
2001-05-29,年度分红,,5.0,4.0,2001-06-04,2001-06-05,2001-06-06,,10转增5股派4元（含税）,2000年报
2002-06-06,年度分红,,,3.0,2002-06-12,2002-06-13,2002-06-13,,10派3元(含税),2001年报
2003-06-20,年度分红,,,3.2,2003-06-26,2003-06-27,2003-06-27,,10股派3.2元（含税）,2002年报
2004-06-24,年度分红,0.0,0.0,3.3,2004-06-29,2004-06-30,2004-06-30,,10派3.3元(含税),2003年报
2005-04-01,年度分红,,,3.8,2005-04-07,2005-04-08,2005-04-08,,10派3.8元(含税),2004年报
2006-07-05,年度分红,,5.0,4.0,2006-07-10,2006-07-11,2006-07-11,,10转增5股派4元（含税）,2005年报
2008-07-08,年度分红,,5.0,3.0,2008-07-11,2008-07-14,2008-07-14,,10转增5股派3元（含税）,2007年报
2009-05-26,年度分红,,5.0,3.0,2009-06-02,2009-06-03,2009-06-03,2009-06-03,10转增5股派3元（含税）,2008年报
2010-07-06,年度分红,5.0,,5.0,2010-07-12,2010-07-13,2010-07-13,2010-07-13,10送5股派5元（含税）,2009年报
2011-05-24,年度分红,,,3.0,2011-05-30,2011-05-31,2011-05-31,,10派3元(含税),2010年报
2012-06-29,年度分红,,,5.0,2012-07-05,2012-07-06,2012-07-06,,10派5元(含税),2011年报
2013-07-03,年度分红,,,10.0,2013-07-10,2013-07-11,2013-07-11,,10派10元(含税),2012年报
2014-05-28,年度分红,,,15.0,2014-06-05,2014-06-06,2014-06-06,,10派15元(含税),2013年报
2015-06-25,年度分红,,10.0,30.0,2015-07-02,2015-07-03,2015-07-03,2015-07-03,10转增10股派30元(含税),2014年报
2016-07-01,年度分红,,,15.0,2016-07-06,2016-07-07,2016-07-07,,10派15元(含税),2015年报
2017-06-29,年度分红,,,18.0,2017-07-04,2017-07-05,2017-07-05,,10派18元(含税),2016年报
2019-02-19,中期分红,,,6.0,2019-02-22,2019-02-25,2019-02-25,,10派6元(含税),2018半年报
2019-07-31,年度分红,,,15.0,2019-08-05,2019-08-06,2019-08-06,,10派15元(含税),2018年报
2020-06-04,年度分红,,,12.0,2020-06-10,2020-06-11,2020-06-11,,10派12元(含税),2019年报
2020-11-06,中期分红,,,10.0,2020-11-11,2020-11-12,2020-11-12,,10派10元(含税),2020半年报
2021-08-14,年度分红,,,30.0,2021-08-20,2021-08-23,2021-08-23,,10派30元(含税),2020年报
2022-03-31,中期分红,,,10.0,2022-04-07,2022-04-08,2022-04-08,,10派10元(含税),2021半年报
2022-07-29,年度分红,,,20.0,2022-08-04,2022-08-05,2022-08-05,,10派20元(含税),2021年报
2023-02-21,中期分红,,,10.0,2023-02-24,2023-02-27,2023-02-27,,10派10元(含税),2022半年报
2023-08-02,年度分红,,,10.0,2023-08-08,2023-08-09,2023-08-09,,10派10元(含税),2022年报
2024-08-22,年度分红,,,23.8,2024-08-27,2024-08-28,2024-08-28,,10派23.8元(含税),2023年报
2025-05-09,中期分红,,,10.0,2025-05-14,2025-05-15,2025-05-15,,10派10元(含税),2024半年报
2025-08-22,年度分红,,,20.0,2025-08-28,2025-08-29,2025-08-29,,10派20元(含税),2024年报
2026-01-16,季度分红,,,10.0,2026-01-22,2026-01-23,2026-01-23,,10派10元(含税),2025三季报
