实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-05-20,年度分红,,5.0,3.0,2011-05-25,2011-05-26,2011-05-26,2011-05-26,10转增5股派3元(含税),2010年报
2012-06-02,年度分红,,4.0,2.0,2012-06-07,2012-06-08,2012-06-08,2012-06-08,10转增4股派2元(含税),2011年报
2013-06-15,年度分红,,5.0,1.0,2013-06-20,2013-06-21,2013-06-21,2013-06-21,10转增5股派1元(含税),2012年报
2014-05-15,年度分红,,4.0,0.7,2014-05-20,2014-05-21,2014-05-21,2014-05-21,10转增4股派0.7元(含税),2013年报
2015-06-12,年度分红,,5.0,0.8,2015-06-18,2015-06-19,2015-06-19,2015-06-19,10转增5股派0.8元(含税),2014年报
2016-06-03,年度分红,,5.0,0.9,2016-06-08,2016-06-13,2016-06-13,2016-06-13,10转增5股派0.9元(含税),2015年报
2017-06-28,年度分红,,5.0,0.8,2017-07-05,2017-07-06,2017-07-06,2017-07-06,10转增5股派0.8元(含税),2016年报
2018-07-10,年度分红,,3.0,0.6,2018-07-16,2018-07-17,2018-07-17,2018-07-17,10转增3股派0.6元(含税),2017年报
2019-06-28,年度分红,,3.0,0.5,2019-07-04,2019-07-05,2019-07-05,2019-07-05,10转增3股派0.5元(含税),2018年报
2020-06-10,年度分红,,2.999711,1.199884,2020-06-16,2020-06-17,2020-06-17,2020-06-17,10转增2.999711股派1.199884元(含税),2019年报
2021-06-30,年度分红,,,1.099999,2021-07-07,2021-07-08,2021-07-08,,10派1.099999元(含税),2020年报
2022-07-07,年度分红,,,1.09982,2022-07-12,2022-07-13,2022-07-13,,10派1.09982元(含税),2021年报
2023-06-09,年度分红,,,1.299661,2023-06-14,2023-06-15,2023-06-15,,10派1.299661元(含税),2022年报
2024-07-05,年度分红,,,2.989461,2024-07-10,2024-07-11,2024-07-11,,10派2.989461元(含税),2023年报
2025-07-08,年度分红,,,1.998725,2025-07-11,2025-07-14,2025-07-14,,10派1.998725元(含税),2024年报
2026-02-06,季度分红,,,1.599147,2026-02-11,2026-02-12,2026-02-12,,10派1.599147元(含税),2025三季报
