实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2005-06-20,年度分红,,,0.35,2005-06-23,2005-06-24,2005-06-29,,10派0.35元(含税),2004年报
2006-06-12,年度分红,,,0.65,2006-06-16,2006-06-19,2006-06-22,,10派0.65元(含税),2005年报
2007-06-19,年度分红,,,0.62,2007-06-25,2007-06-26,2007-07-03,,10派0.62元（含税）,2006年报
2008-07-14,年度分红,,,0.62,2008-07-17,2008-07-18,2008-07-30,,10派0.62元（含税）,2007年报
2010-06-28,年度分红,,,0.35,2010-07-01,2010-07-02,2010-07-16,,10派0.35元（含税）,2009年报
2013-07-16,年度分红,,,0.65,2013-07-19,2013-07-22,2013-07-26,,10派0.65元(含税),2012年报
2014-06-10,年度分红,,,2.25,2014-06-16,2014-06-17,2014-06-17,,10派2.25元(含税),2013年报
2015-06-12,年度分红,,,2.7,2015-06-18,2015-06-19,2015-06-19,,10派2.7元(含税),2014年报
2016-06-17,年度分红,,,3.0,2016-06-23,2016-06-24,2016-06-24,,10派3元(含税),2015年报
2017-07-25,年度分红,,,1.36,2017-07-28,2017-07-31,2017-07-31,,10派1.36元(含税),2016年报
2018-07-20,年度分红,,,0.18,2018-07-26,2018-07-27,2018-07-27,,10派0.18元(含税),2017年报
2019-07-23,年度分红,,,0.66,2019-07-29,2019-07-30,2019-07-30,,10派0.66元(含税),2018年报
2020-07-22,年度分红,,,1.46,2020-07-28,2020-07-29,2020-07-29,,10派1.46元(含税),2019年报
2021-07-16,年度分红,,,2.5,2021-07-22,2021-07-23,2021-07-23,,10派2.5元(含税),2020年报
2022-07-21,年度分红,,,2.5,2022-07-27,2022-07-28,2022-07-28,,10派2.5元(含税),2021年报
2023-07-12,年度分红,,,2.0,2023-07-18,2023-07-19,2023-07-19,,10派2元(含税),2022年报
2024-07-18,年度分红,,,1.5,2024-07-24,2024-07-25,2024-07-25,,10派1.5元(含税),2023年报
2024-10-10,中期分红,,,0.8,2024-10-15,2024-10-16,2024-10-16,,10派0.8元(含税),2024半年报
2025-07-04,年度分红,,,1.3,2025-07-11,2025-07-14,2025-07-14,,10派1.3元(含税),2024年报
2025-11-04,中期分红,,,0.9,2025-11-11,2025-11-12,2025-11-12,,10派0.9元(含税),2025半年报
