实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-06-11,年度分红,,,1.8,2008-06-16,2008-06-17,2008-06-20,,10派1.8元（含税）,2007年报
2009-06-23,年度分红,,,2.9,2009-06-30,2009-07-01,2009-07-08,,10派2.9元（含税）,2008年报
2011-06-14,年度分红,,,0.9,2011-06-20,2011-06-21,2011-06-27,,10派0.9元(含税),2010年报
2021-07-08,年度分红,,3.0,,2021-07-13,2021-07-14,,,10转增3股,2020年报
2022-06-15,年度分红,,,8.7,2022-06-20,2022-06-21,2022-06-21,,10派8.7元(含税),2021年报
2022-12-07,中期分红,,,20.1,2022-12-13,2022-12-14,2022-12-14,,10派20.1元(含税),2022半年报
2023-06-16,年度分红,,,13.9,2023-06-27,2023-06-28,2023-06-28,,10派13.9元(含税),2022年报
2023-12-12,中期分红,,,5.1,2023-12-19,2023-12-20,2023-12-20,,10派5.1元(含税),2023半年报
2024-06-12,年度分红,,,2.3,2024-06-19,2024-06-20,2024-06-20,,10派2.3元(含税),2023年报
2024-09-26,中期分红,,,5.2,2024-10-09,2024-10-10,2024-10-10,,10派5.2元(含税),2024半年报
2025-06-17,年度分红,,,10.3,2025-06-24,2025-06-25,2025-06-25,,10派10.3元(含税),2024年报
2025-10-16,中期分红,,,5.6,2025-10-23,2025-10-24,2025-10-24,,10派5.6元(含税),2025半年报
