实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-06-27,年度分红,,,2.0,2012-07-05,2012-07-06,2012-07-06,,10派2元(含税),2011年报
2013-05-09,年度分红,,8.0,1.0,2013-05-16,2013-05-17,2013-05-17,2013-05-17,10转增8股派1元(含税),2012年报
2014-06-13,年度分红,,,0.22,2014-06-19,2014-06-20,2014-06-20,,10派0.22元(含税),2013年报
2014-09-25,中期分红,,8.0,,2014-09-30,2014-10-08,,2014-10-08,10转增8股,2014半年报
2015-07-07,年度分红,,,0.1,2015-07-13,2015-07-14,2015-07-14,,10派0.1元(含税),2014年报
2016-07-26,年度分红,,,0.1,2016-07-29,2016-08-01,2016-08-01,,10派0.1元(含税),2015年报
2017-06-05,年度分红,,,0.1,2017-06-08,2017-06-09,2017-06-09,,10派0.1元(含税),2016年报
2018-07-03,年度分红,,,0.38,2018-07-10,2018-07-11,2018-07-11,,10派0.38元(含税),2017年报
2019-05-27,年度分红,,4.0,1.23,2019-06-03,2019-06-04,2019-06-04,2019-06-04,10转增4股派1.23元(含税),2018年报
2020-06-23,年度分红,,,0.84,2020-07-01,2020-07-02,2020-07-02,,10派0.84元(含税),2019年报
2021-06-01,年度分红,,,1.21,2021-06-08,2021-06-09,2021-06-09,,10派1.21元(含税),2020年报
2022-05-18,年度分红,,,2.2,2022-05-25,2022-05-26,2022-05-26,,10派2.2元(含税),2021年报
2023-05-30,年度分红,,,2.0,2023-06-05,2023-06-06,2023-06-06,,10派2元(含税),2022年报
2024-05-30,年度分红,,4.0,4.5,2024-06-05,2024-06-06,2024-06-06,2024-06-06,10转增4股派4.5元(含税),2023年报
2025-06-12,年度分红,,,5.0,2025-06-18,2025-06-19,2025-06-19,,10派5元(含税),2024年报
2025-09-26,中期分红,,,4.0,2025-10-10,2025-10-13,2025-10-13,,10派4元(含税),2025半年报
2026-04-22,年度分红,,,10.0,2026-04-29,2026-04-30,2026-04-30,,10派10元(含税),2025年报
