实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2004-06-07,年度分红,0.0,0.0,0.8,2004-06-11,2004-06-14,2004-06-14,,10派0.8元(含税),2003年报
2005-07-26,年度分红,0.0,0.0,0.5,2005-07-29,2005-08-01,2005-08-01,,10派0.5元(含税),2004年报
2011-05-13,年度分红,,10.0,,2011-05-18,2011-05-19,,2011-05-19,10转增10股,2010年报
2012-05-07,年度分红,,,0.5,2012-05-10,2012-05-11,2012-05-11,,10派0.5元(含税),2011年报
2013-04-03,年度分红,,,0.38,2013-04-11,2013-04-12,2013-04-12,,10派0.38元(含税),2012年报
2014-03-19,年度分红,,,0.6,2014-03-26,2014-03-27,2014-03-27,,10派0.6元（含税）,2013年报
2015-04-02,年度分红,,,0.8,2015-04-08,2015-04-09,2015-04-09,,10派0.8元(含税),2014年报
2016-04-21,年度分红,,,0.8,2016-04-26,2016-04-27,2016-04-27,,10派0.8元(含税),2015年报
2017-05-25,年度分红,,,0.8,2017-05-31,2017-06-01,2017-06-01,,10派0.8元(含税),2016年报
2018-05-25,年度分红,,,1.0,2018-05-30,2018-05-31,2018-05-31,,10派1元(含税),2017年报
2019-04-11,年度分红,,,1.0,2019-04-17,2019-04-18,2019-04-18,,10派1元(含税),2018年报
2020-04-23,年度分红,,,1.0,2020-04-29,2020-04-30,2020-04-30,,10派1元(含税),2019年报
2021-05-11,年度分红,,,1.2,2021-05-18,2021-05-19,2021-05-19,,10派1.2元(含税),2020年报
2022-05-26,年度分红,,,1.5,2022-06-01,2022-06-02,2022-06-02,,10派1.5元(含税),2021年报
2023-04-26,年度分红,,1.0,,2023-05-05,2023-05-08,,2023-05-08,10转增1股,2022年报
2024-05-28,年度分红,,,0.8,2024-06-03,2024-06-04,2024-06-04,,10派0.8元(含税),2023年报
2025-07-11,年度分红,,,0.5,2025-07-17,2025-07-18,2025-07-18,,10派0.5元(含税),2024年报
