实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1996-05-21,年度分红,5.0,0.0,3.0,1996-06-03,1996-06-04,,,10送5股派3.00元(含税),1995年报
1996-11-19,中期分红,2.0,2.0,0.0,1996-11-22,1996-11-25,,,10送2转增2股,1996半年报
1998-05-21,年度分红,10.0,0.0,0.0,1998-05-26,1998-05-27,,,10送10股,1997年报
2004-09-25,中期分红,,10.0,,2004-09-29,2004-09-30,,2004-09-30,10转增10股,2004半年报
2005-04-13,年度分红,,,1.0,2005-04-18,2005-04-19,2005-04-25,,10派1元（含税）,2004年报
2005-10-29,中期分红,,,5.0,2005-11-03,2005-11-04,2005-11-10,,10派5元(含税),2005半年报
2006-04-15,年度分红,,,1.3,2006-04-20,2006-04-21,2006-04-27,,10派1.3元(含税),2005年报
2007-05-29,年度分红,,,1.8,2007-06-01,2007-06-04,2007-06-08,,10派1.8元（含税）,2006年报
2008-05-06,年度分红,,,1.16,2008-05-09,2008-05-12,2008-05-16,,10派1.16元（含税）,2007年报
2009-05-13,年度分红,,,3.06,2009-05-18,2009-05-19,2009-05-27,,10派3.06元（含税）,2008年报
2010-06-29,年度分红,,,0.8072,2010-07-02,2010-07-05,2010-07-09,,10派0.8072元（含税）,2009年报
2011-06-28,年度分红,,,0.25,2011-07-01,2011-07-04,2011-07-08,,10派0.25元(含税),2010年报
2012-06-18,年度分红,,5.0,0.15,2012-06-21,2012-06-25,2012-06-29,2012-06-26,10转增5股派0.15元(含税),2011年报
2013-05-16,年度分红,,6.0,0.8439,2013-05-21,2013-05-22,2013-05-28,2013-05-23,10转增6股派0.8439元（含税）,2012年报
2014-06-20,年度分红,,,1.4613,2014-06-25,2014-06-26,2014-06-26,,10派1.4613元(含税),2013年报
2015-06-19,年度分红,,,2.8866,2015-06-25,2015-06-26,2015-06-26,,10派2.8866元(含税),2014年报
2016-06-29,年度分红,,,2.7993,2016-07-04,2016-07-05,2016-07-05,,10派2.7993元(含税),2015年报
2017-08-18,年度分红,,,2.02,2017-08-24,2017-08-25,2017-08-25,,10派2.02元(含税),2016年报
2018-07-31,年度分红,,,1.667,2018-08-06,2018-08-07,2018-08-07,,10派1.667元(含税),2017年报
2019-07-24,年度分红,,,2.25,2019-07-29,2019-07-30,2019-07-30,,10派2.25元(含税),2018年报
2020-08-07,年度分红,,,2.453,2020-08-13,2020-08-14,2020-08-14,,10派2.453元(含税),2019年报
2021-08-11,年度分红,,,2.8,2021-08-17,2021-08-18,2021-08-18,,10派2.8元(含税),2020年报
2022-07-21,年度分红,,,1.635,2022-07-28,2022-07-29,2022-07-29,,10派1.635元(含税),2021年报
2023-07-27,年度分红,,,2.75,2023-08-03,2023-08-04,2023-08-04,,10派2.75元(含税),2022年报
2024-08-01,年度分红,,,4.948,2024-08-08,2024-08-09,2024-08-09,,10派4.948元(含税),2023年报
2025-07-31,年度分红,,,4.565,2025-08-07,2025-08-08,2025-08-08,,10派4.565元(含税),2024年报
