实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-09-23,中期分红,,,2.8,2019-09-26,2019-09-27,2019-09-27,,10派2.8元(含税),2019半年报
2020-05-29,年度分红,,,2.8,2020-06-03,2020-06-04,2020-06-04,,限售股股东10派2.7545元，流通股股东10派3.2091元。,2019年报
2021-05-12,年度分红,,,2.8,2021-05-19,2021-05-20,2021-05-20,,10派2.8元(含税),2020年报
2022-05-05,年度分红,,,2.8,2022-05-11,2022-05-12,2022-05-12,,限售股股东10派2.648元，流通股股东10派3.21元,2021年报
2022-12-21,季度分红,,,1.4,2022-12-26,2022-12-27,2022-12-27,,限售股股东每股派发现金股利0.1216元(含税)，无限售股股东每股派发现金股利0.1841元(含税)。,2022三季报
2023-05-24,年度分红,,,1.4,2023-05-29,2023-05-30,2023-05-30,,10派1.4元(含税),2022年报
2024-07-18,年度分红,,,2.8,2024-07-23,2024-07-24,2024-07-24,,大股东10派2.65元(含税)，中小股东10派3.158元(含税),2023年报
2025-05-07,年度分红,,,4.1,2025-05-12,2025-05-13,2025-05-13,,大股东10派3.891元(含税)，中小股东10派4.598元(含税),2024年报
2025-09-02,中期分红,,,2.8,2025-09-05,2025-09-08,2025-09-08,,10派2.8元(含税),2025半年报
2026-04-22,年度分红,,,4.2,2026-04-27,2026-04-28,2026-04-28,,大股东10派3.906元(含税)，中小股东10派4.921元(含税),2025年报
