实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-18,年度分红,,,0.76,2007-06-21,2007-06-22,2007-06-29,,10派0.76元（含税）,2006年报
2008-06-05,年度分红,,,0.85,2008-06-11,2008-06-12,2008-06-20,,10派0.85元（含税）,2007年报
2009-06-16,年度分红,,,1.02,2009-06-19,2009-06-22,2009-06-29,,10派1.02元（含税）,2008年报
2010-06-25,年度分红,,,0.94,2010-07-01,2010-07-02,2010-07-08,,10派0.94元（含税）,2009年报
2011-07-06,年度分红,,,1.08,2011-07-13,2011-07-14,2011-07-20,,10派1.08元(含税),2010年报
2012-07-03,年度分红,,,1.18,2012-07-10,2012-07-11,2012-07-18,,10派1.18元(含税),2011年报
2013-07-17,年度分红,,,1.34,2013-07-23,2013-07-24,2013-07-31,,10派1.34元(含税),2012年报
2014-07-22,年度分红,,,1.27,2014-07-28,2014-07-29,2014-07-29,,10派1.27元(含税),2013年报
2015-05-09,年度分红,,,1.54,2015-05-14,2015-05-15,2015-05-15,,10派1.54元(含税),2014年报
2016-07-12,年度分红,,,1.54,2016-07-18,2016-07-19,2016-07-19,,10派1.54元(含税),2015年报
2017-07-11,年度分红,,,1.56,2017-07-17,2017-07-18,2017-07-18,,10派1.56元(含税),2016年报
2018-05-31,年度分红,,,1.72,2018-06-07,2018-06-08,2018-06-08,,10派1.72元(含税),2017年报
2019-06-20,年度分红,,,1.54,2019-06-27,2019-06-28,2019-06-28,,10派1.54元(含税),2018年报
2020-07-23,年度分红,,,1.45,2020-07-30,2020-07-31,2020-07-31,,10派1.45元(含税),2019年报
2021-06-25,年度分红,,,1.28,2021-07-01,2021-07-02,2021-07-02,,10派1.28元(含税),2020年报
2022-08-11,年度分红,,,1.8996,2022-08-18,2022-08-19,2022-08-19,,10派1.8996元(含税),2021年报
2023-08-03,年度分红,,,1.4,2023-08-10,2023-08-11,2023-08-11,,10派1.4元(含税),2022年报
2024-05-07,年度分红,,,1.72,2024-05-14,2024-05-15,2024-05-15,,10派1.72元(含税),2023年报
2024-12-19,中期分红,,,0.5,2024-12-25,2024-12-26,2024-12-26,,10派0.5元(含税),2024半年报
2025-07-10,年度分红,,,1.45,2025-07-16,2025-07-17,2025-07-17,,10派1.45元(含税),2024年报
2026-01-05,中期分红,,,0.5,2026-01-12,2026-01-13,2026-01-13,,10派0.5元(含税),2025半年报
