实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2005-05-20,年度分红,,,1.25,2005-05-25,2005-05-26,2005-05-31,,10派1.25元(含税),2004年报
2006-05-19,年度分红,,,1.1,2006-05-24,2006-05-25,2006-05-30,,10派1.1元(含税),2005年报
2007-04-19,年度分红,,,1.3,2007-04-24,2007-04-25,2007-04-30,,10派1.3元（含税）,2006年报
2008-03-18,年度分红,5.0,5.0,0.56,2008-03-21,2008-03-24,2008-03-28,2008-03-25,10送5转增5股派0.56元（含税）,2007年报
2013-05-24,年度分红,,,0.55,2013-05-29,2013-05-30,2013-06-04,,10派0.55元(含税),2012年报
2014-05-13,年度分红,,,0.66,2014-05-16,2014-05-19,2014-05-23,,10派0.66元(含税),2013年报
2015-06-11,年度分红,,,0.81,2015-06-16,2015-06-17,2015-06-17,,10派0.81元(含税),2014年报
2017-05-11,年度分红,,,2.2,2017-05-17,2017-05-18,2017-05-18,,10派2.2元(含税),2016年报
2018-07-19,年度分红,,,2.08,2018-07-25,2018-07-26,2018-07-26,,10派2.08元(含税),2017年报
2021-08-05,年度分红,,,0.76,2021-08-10,2021-08-11,2021-08-11,,10派0.76元(含税),2020年报
2022-08-19,年度分红,,,0.86,2022-08-24,2022-08-25,2022-08-25,,10派0.86元(含税),2021年报
2023-07-13,年度分红,,,0.4644,2023-07-19,2023-07-20,2023-07-20,,10派0.4644元(含税),2022年报
2024-08-01,年度分红,,,1.0641,2024-08-07,2024-08-08,2024-08-08,,10派1.0641元(含税),2023年报
2024-11-15,特别分红,,,0.3138,2024-11-21,2024-11-22,2024-11-22,,10派0.3138元(含税),
2025-06-06,年度分红,,,1.86,2025-06-12,2025-06-13,2025-06-13,,10派1.86元(含税),2024年报
2025-11-19,中期分红,,,0.8161,2025-11-25,2025-11-26,2025-11-26,,10派0.8161元(含税),2025半年报
