实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-06-03,年度分红,,,1.2,2003-06-06,2003-06-09,2003-06-16,,10股派1.2元(含税),2002年报
2006-06-13,年度分红,0.9,2.1,0.1,2006-06-16,2006-06-19,2006-06-23,,10送0.9转增2.1股派0.1元(含税),2005年报
2010-05-10,年度分红,,,2.0,2010-05-13,2010-05-14,2010-05-20,,10派2元（含税）,2009年报
2011-04-20,年度分红,,,1.0,2011-04-25,2011-04-26,2011-04-29,,10派1元(含税),2010年报
2012-05-04,年度分红,,8.0,2.0,2012-05-09,2012-05-10,2012-05-15,2012-05-11,10转增8股派2元(含税),2011年报
2014-05-15,年度分红,,,1.0,2014-05-20,2014-05-21,2014-05-26,,10派1元(含税),2013年报
2015-06-08,年度分红,,,1.1,2015-06-11,2015-06-12,2015-06-12,,10派1.1元(含税),2014年报
2016-06-22,年度分红,3.0,12.0,1.0,2016-06-29,2016-06-30,2016-06-30,,10送3转增12股派1元(含税),2015年报
2017-07-18,年度分红,,,1.0,2017-07-21,2017-07-24,2017-07-24,,10派1元(含税),2016年报
2018-07-04,年度分红,,,1.0,2018-07-09,2018-07-10,2018-07-10,,10派1元(含税),2017年报
2019-07-10,年度分红,,,1.0,2019-07-15,2019-07-16,2019-07-16,,10派1元(含税),2018年报
2020-07-09,年度分红,,,1.0,2020-07-15,2020-07-16,2020-07-16,,10派1元(含税),2019年报
2021-04-28,年度分红,,,1.0,2021-05-07,2021-05-10,2021-05-10,,10派1元(含税),2020年报
2022-07-29,年度分红,,,1.0,2022-08-04,2022-08-05,2022-08-05,,10派1元(含税),2021年报
2023-07-28,年度分红,,,1.0,2023-08-03,2023-08-04,2023-08-04,,10派1元(含税),2022年报
2024-07-08,年度分红,,,2.2,2024-07-12,2024-07-15,2024-07-15,,10派2.2元(含税),2023年报
2025-07-21,年度分红,,,3.0,2025-07-24,2025-07-25,2025-07-25,,10派3元(含税),2024年报
