实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-06-09,年度分红,,,0.9,2001-06-14,2001-06-15,2001-06-21,,10派0.9元(含税),2000年报
2002-06-11,年度分红,,,1.25,2002-06-14,2002-06-17,2002-06-21,,10派1.25元(含税),2001年报
2003-05-29,年度分红,,,1.3,2003-06-03,2003-06-04,2003-06-10,,10股派1.3元(含税),2002年报
2004-07-06,年度分红,,,1.45,2004-07-09,2004-07-12,2004-07-16,,10派1.45元(含税),2003年报
2005-05-30,年度分红,,,1.45,2005-06-02,2005-06-03,2005-06-10,,10派1.45元(含税),2004年报
2006-06-12,年度分红,,,1.45,2006-06-15,2006-06-16,2006-06-26,,10派1.45元（含税）,2005年报
2007-06-25,年度分红,,,1.9,2007-06-29,2007-07-02,2007-07-06,,10派1.9元（含税）,2006年报
2008-06-19,年度分红,,,2.7,2008-06-24,2008-06-25,2008-07-02,,10派2.7元（含税）,2007年报
2009-07-01,年度分红,,,2.7,2009-07-06,2009-07-07,2009-07-10,,10派2.7元（含税）,2008年报
2010-05-26,年度分红,,,3.1,2010-05-31,2010-06-01,2010-06-09,,10派3.1元（含税）,2009年报
2011-05-31,年度分红,,,3.6,2011-06-03,2011-06-07,2011-06-10,,10派3.6元(含税),2010年报
2012-06-28,年度分红,,,3.6,2012-07-03,2012-07-04,2012-07-10,,10派3.6元(含税),2011年报
2013-06-29,年度分红,,,3.6,2013-07-04,2013-07-05,2013-07-10,,10派3.6元(含税),2012年报
2014-06-20,年度分红,,,3.8,2014-06-26,2014-06-27,2014-06-27,,10派3.8元(含税),2013年报
2015-07-06,年度分红,,,3.8,2015-07-09,2015-07-10,2015-07-10,,10派3.8元(含税),2014年报
2016-06-17,年度分红,,,4.0,2016-06-23,2016-06-24,2016-06-24,,10派4元(含税),2015年报
2017-07-05,年度分红,,,4.2,2017-07-12,2017-07-13,2017-07-13,,10派4.2元(含税),2016年报
2018-07-05,年度分红,,,4.4,2018-07-12,2018-07-13,2018-07-13,,10派4.4元(含税),2017年报
2019-07-04,年度分红,,,4.6,2019-07-11,2019-07-12,2019-07-12,,10派4.6元(含税),2018年报
2020-08-13,年度分红,,,4.6,2020-08-20,2020-08-21,2020-08-21,,10派4.6元(含税),2019年报
2021-07-08,年度分红,,,4.6,2021-07-14,2021-07-15,2021-07-15,,10派4.6元(含税),2020年报
2022-08-01,年度分红,,,4.6,2022-08-04,2022-08-05,2022-08-05,,10派4.6元(含税),2021年报
2023-07-20,年度分红,,,4.6,2023-07-25,2023-07-26,2023-07-26,,10派4.6元(含税),2022年报
2024-07-19,年度分红,,,4.7,2024-07-25,2024-07-26,2024-07-26,,10派4.7元(含税),2023年报
2025-07-23,年度分红,,,4.9,2025-07-29,2025-07-30,2025-07-30,,10派4.9元(含税),2024年报
