实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-04-21,年度分红,,10.0,5.0,2011-04-28,2011-04-29,2011-04-29,2011-04-29,10转增10股派5元(含税),2010年报
2012-06-09,年度分红,,,2.5,2012-06-14,2012-06-15,2012-06-15,,10派2.5元(含税),2011年报
2013-05-15,年度分红,,,2.5,2013-05-20,2013-05-21,2013-05-21,,10派2.5元(含税),2012年报
2014-06-25,年度分红,,5.0,2.5,2014-06-30,2014-07-01,2014-07-01,2014-07-01,10转增5股派2.5元(含税),2013年报
2015-07-15,年度分红,,10.0,2.5,2015-07-21,2015-07-22,2015-07-22,2015-07-22,10转增10股派2.5元(含税),2014年报
2016-06-08,年度分红,,,1.39,2016-06-15,2016-06-16,2016-06-16,,10派1.39元(含税),2015年报
2017-06-13,年度分红,,,1.392091,2017-06-19,2017-06-20,2017-06-20,,10派1.392091元(含税),2016年报
2018-07-20,年度分红,,,2.090081,2018-07-27,2018-07-30,2018-07-30,,10派2.09008100元(含税),2017年报
2019-05-29,年度分红,,,2.096,2019-06-04,2019-06-05,2019-06-05,,10派2.096元(含税),2018年报
2020-05-21,年度分红,,,4.25,2020-05-27,2020-05-28,2020-05-28,,10派4.25元(含税),2019年报
2021-07-08,年度分红,,,3.188,2021-07-14,2021-07-15,2021-07-15,,10派3.188元(含税),2020年报
2022-05-07,年度分红,,,4.26,2022-05-13,2022-05-16,2022-05-16,,10派4.26元(含税),2021年报
2023-05-09,年度分红,,,6.16,2023-05-12,2023-05-15,2023-05-15,,10派6.16元(含税),2022年报
2024-05-23,年度分红,,,8.0,2024-05-28,2024-05-29,2024-05-29,,10派8元(含税),2023年报
2024-10-17,中期分红,,,2.6,2024-10-22,2024-10-23,2024-10-23,,10派2.6元(含税),2024半年报
2025-06-09,年度分红,,,5.03,2025-06-12,2025-06-13,2025-06-13,,10派5.03元(含税),2024年报
2025-10-14,中期分红,,,1.26,2025-10-20,2025-10-21,2025-10-21,,10派1.26元(含税),2025半年报
2026-04-30,年度分红,,,4.68,2026-05-08,2026-05-11,2026-05-11,,10派4.68元(含税),2025年报
