实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-05-10,年度分红,,10.0,10.0,2012-05-16,2012-05-17,2012-05-17,2012-05-17,10转增10股派10元(含税),2011年报
2013-04-24,年度分红,,,3.0,2013-05-02,2013-05-03,2013-05-03,,10派3元(含税),2012年报
2014-04-25,年度分红,,10.0,3.5,2014-05-06,2014-05-07,2014-05-07,2014-05-07,10转增10股派3.5元(含税),2013年报
2017-04-10,年度分红,,,1.16,2017-04-13,2017-04-14,2017-04-14,,10派1.16元(含税),2016年报
2018-04-11,年度分红,,,0.88,2018-04-17,2018-04-18,2018-04-18,,10派0.88元(含税),2017年报
2019-04-23,年度分红,,,0.9,2019-04-26,2019-04-29,2019-04-29,,10派0.9元(含税),2018年报
2020-05-09,年度分红,,,1.8,2020-05-15,2020-05-18,2020-05-18,,10派1.8元(含税),2019年报
2021-05-28,年度分红,,4.0,1.7,2021-06-02,2021-06-03,2021-06-03,2021-06-03,10转增4股派1.7元(含税),2020年报
2022-05-27,年度分红,,3.992037,3.493033,2022-06-02,2022-06-06,2022-06-06,2022-06-06,10转增3.992037股派3.493033元(含税),2021年报
2022-09-30,中期分红,,4.0,4.0,2022-10-12,2022-10-13,2022-10-13,2022-10-13,10转增4股派4元(含税),2022半年报
2024-05-08,年度分红,,,4.0,2024-05-13,2024-05-14,2024-05-14,,10派4元(含税),2023年报
2025-06-03,年度分红,,,5.0,2025-06-06,2025-06-09,2025-06-09,,10派5元(含税),2024年报
