实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1995-05-04,年度分红,0.0,0.0,2.18,1995-05-09,1995-05-10,,,10派2.18元,1994年报
1996-05-06,年度分红,0.0,0.0,1.9,1996-05-09,1996-05-10,,,10派1.90元(含税),1995年报
1997-06-03,年度分红,0.0,5.0,1.2,1997-06-06,1997-06-09,,,10转增5股派1.20元(含税),1996年报
1998-08-18,年度分红,0.0,0.0,1.5,1998-05-29,1998-06-01,1998-08-20,,10派1.50元(含税),1997年报
1999-04-29,年度分红,3.0,2.0,0.0,1999-05-05,1999-05-06,,,10送3转增2股,1998年报
2000-08-16,年度分红,,,1.0,2000-08-18,2000-08-21,2000-08-22,,10派1元（含税）,1999年报
2001-05-08,年度分红,,2.0,1.0,2001-05-14,2001-05-15,2001-05-18,,10转增2股派1元(含税),2000年报
2002-07-22,年度分红,,,0.9,2002-07-25,2002-07-26,,,10派0.9元(含税),2001年报
2003-06-14,年度分红,,5.0,2.0,2003-06-18,2003-06-19,2003-06-24,,10股转增5股派2元（含税）,2002年报
2004-08-16,年度分红,,,0.9,2004-08-19,2004-08-20,2004-08-26,,10派0.9元(含税),2003年报
2005-08-15,年度分红,,,0.8,2005-08-18,2005-08-19,2005-08-25,,10派0.8元(含税),2004年报
2006-08-15,年度分红,,,0.25,2006-08-18,2006-08-21,2006-08-25,,10派0.25元（含税）,2005年报
2007-08-10,年度分红,,2.0,,2007-08-15,2007-08-16,,,10转增2股,2006年报
2008-08-19,年度分红,,,0.5,2008-08-22,2008-08-25,2008-08-28,,10派0.5元（含税）,2007年报
2009-06-05,年度分红,,,0.45,2009-06-10,2009-06-11,2009-06-16,,10派0.45元（含税）,2008年报
2010-07-06,年度分红,,,1.02,2010-07-09,2010-07-12,2010-07-15,,10派1.02元（含税）,2009年报
2011-08-18,年度分红,,,1.4,2011-08-23,2011-08-24,2011-08-30,,10派1.4元(含税),2010年报
2012-07-13,年度分红,,,1.6,2012-07-19,2012-07-20,2012-07-25,,10派1.6元(含税),2011年报
2013-07-18,年度分红,,,2.4,2013-07-23,2013-07-24,2013-07-30,,10派2.4元(含税),2012年报
2014-05-20,年度分红,,,2.6,2014-05-23,2014-05-26,2014-05-30,,10派2.6元(含税),2013年报
2015-06-15,年度分红,,,2.9,2015-06-18,2015-06-19,2015-06-19,,10派2.9元(含税),2014年报
2016-07-12,年度分红,,,3.3,2016-07-18,2016-07-19,2016-07-19,,10派3.3元(含税),2015年报
2017-07-08,年度分红,,,3.6,2017-07-13,2017-07-14,2017-07-14,,10派3.6元(含税),2016年报
2018-07-10,年度分红,,,3.8,2018-07-13,2018-07-16,2018-07-16,,10派3.8元(含税),2017年报
2019-07-09,年度分红,,,4.1,2019-07-15,2019-07-16,2019-07-16,,10派4.1元(含税),2018年报
2020-07-10,年度分红,,,4.4,2020-07-17,2020-07-20,2020-07-20,,10派4.4元(含税),2019年报
2021-07-13,年度分红,,,4.8,2021-07-16,2021-07-19,2021-07-19,,10派4.8元(含税),2020年报
2022-07-16,年度分红,,,4.2,2022-07-21,2022-07-22,2022-07-22,,10派4.2元(含税),2021年报
2023-07-14,年度分红,,,6.1,2023-07-19,2023-07-20,2023-07-20,,10派6.1元(含税),2022年报
2024-07-16,年度分红,,,4.1,2024-07-19,2024-07-22,2024-07-22,,10派4.1元(含税),2023年报
2024-09-14,中期分红,,,0.8,2024-09-23,2024-09-24,2024-09-24,,10派0.8元(含税),2024半年报
2025-07-12,年度分红,,,2.9,2025-07-17,2025-07-18,2025-07-18,,10派2.9元(含税),2024年报
2025-12-25,中期分红,,,1.2,2025-12-31,2026-01-05,2026-01-05,,10派1.2元(含税),2025半年报
