实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-04-30,年度分红,2.0,3.0,1.0,2008-05-08,2008-05-09,2008-05-09,2008-05-09,10送2转增3股派1元（含税）,2007年报
2009-04-29,年度分红,2.0,3.0,0.5,2009-05-07,2009-05-08,2009-05-08,2009-05-08,10送2转增3股派0.5元（含税）,2008年报
2010-06-02,年度分红,2.0,3.0,0.5,2010-06-09,2010-06-10,2010-06-10,2010-06-10,10送2转增3股派0.5元（含税）,2009年报
2011-05-12,年度分红,,,0.7,2011-05-18,2011-05-19,2011-05-19,,10派0.7元(含税),2010年报
2012-06-12,年度分红,,,1.0,2012-06-19,2012-06-20,2012-06-20,,10派1元(含税),2011年报
2013-09-23,中期分红,,,1.0,2013-09-26,2013-09-27,2013-09-27,,10派1元(含税),2013半年报
2014-04-29,年度分红,,,1.0,2014-05-07,2014-05-08,2014-05-08,,10派1元(含税),2013年报
2015-05-28,年度分红,,3.0,1.0,2015-06-02,2015-06-03,2015-06-03,2015-06-03,10转增3股派1元(含税),2014年报
2016-05-24,年度分红,,,1.0,2016-05-30,2016-05-31,2016-05-31,,10派1元(含税),2015年报
2017-05-05,年度分红,,3.0,1.0,2017-05-11,2017-05-12,2017-05-12,2017-05-12,10转增3股派1元(含税),2016年报
2018-06-02,年度分红,,,1.2,2018-06-07,2018-06-08,2018-06-08,,10派1.2元(含税),2017年报
2019-05-13,年度分红,,3.0,1.3,2019-05-16,2019-05-17,2019-05-17,2019-05-17,10转增3股派1.3元(含税),2018年报
2020-05-22,年度分红,,,1.5,2020-05-28,2020-05-29,2020-05-29,,10派1.5元(含税),2019年报
2021-06-08,年度分红,,,4.0,2021-06-16,2021-06-17,2021-06-17,,10派4元(含税),2020年报
2022-06-06,年度分红,,4.0,5.5,2022-06-10,2022-06-13,2022-06-13,2022-06-13,10转增4股派5.5元(含税),2021年报
2023-05-09,年度分红,,3.0,5.5,2023-05-15,2023-05-16,2023-05-16,2023-05-16,10转增3股派5.5元(含税),2022年报
2024-05-14,年度分红,,,6.0,2024-05-20,2024-05-21,2024-05-21,,10派6元(含税),2023年报
2025-06-10,年度分红,,,8.0,2025-06-16,2025-06-17,2025-06-17,,10派8元(含税),2024年报
2026-05-19,年度分红,,,5.5,2026-05-25,2026-05-26,2026-05-26,,10派5.5元(含税),2025年报
