实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1996-05-16,年度分红,,,2.0,,,,,10派2元（含税）,1995年报
1997-01-09,中期分红,0.0,10.0,0.0,1997-01-14,1997-01-15,,,10转增10股,1996半年报
1997-06-03,年度分红,0.0,0.0,1.25,1997-06-06,1997-06-09,,,10派1.25元(含税),1996年报
1998-07-25,年度分红,0.0,0.0,2.5,1998-07-30,1998-07-31,1998-08-03,,10派2.5元(含税),1997年报
1999-07-08,年度分红,0.0,0.0,2.6,1999-07-15,1999-07-16,1999-07-20,,"10派2.60元(含税),",1998年报
2000-06-23,年度分红,,,2.8,2000-06-27,2000-06-28,2000-06-28,,10派2.8元（含税）,1999年报
2001-06-02,年度分红,,,3.5,2001-06-08,2001-06-11,2001-06-18,,10派3.5元（含税）,2000年报
2002-07-20,年度分红,,,3.6,2002-07-26,2002-07-29,2002-08-02,,10派3.6元(含税),2001年报
2003-07-05,年度分红,,10.0,2.0,2003-07-09,2003-07-10,2003-07-15,,10转增10股派2元（含税）,2002年报
2004-07-09,年度分红,,,3.3,2004-07-14,2004-07-15,2004-07-21,,10派3.3元(含税),2003年报
2005-07-01,年度分红,,,2.5,2005-07-06,2005-07-07,2005-07-12,,10派2.5元(含税),2004年报
2006-04-07,年度分红,,3.2,2.6,2006-04-10,2006-04-11,2006-04-14,2006-04-24,10转增3.2股派2.6元(含税),2005年报
2007-06-26,年度分红,,,1.0,2007-07-02,2007-07-03,2007-07-09,,10派1.00元（含税）,2006年报
2008-05-17,年度分红,,2.0,,2008-05-21,2008-05-22,,,10转增2股,2007年报
2011-06-03,年度分红,,10.0,,2011-06-10,2011-06-13,,2011-06-13,10转增10股,2010年报
2012-04-06,年度分红,,,2.5,2012-04-11,2012-04-12,2012-04-19,,10派2.5元(含税),2011年报
2013-05-27,年度分红,,,2.8,2013-05-30,2013-05-31,2013-06-06,,10派2.8元(含税),2012年报
2014-07-10,年度分红,,5.0,8.0,2014-07-15,2014-07-16,2014-07-16,2014-07-16,10转增5股派8元(含税),2013年报
2015-05-22,年度分红,,10.0,8.0,2015-05-27,2015-05-28,2015-05-28,2015-05-28,10转增10股派8元(含税),2014年报
2016-04-29,年度分红,,,4.5,2016-05-05,2016-05-06,2016-05-06,,10派4.5元(含税),2015年报
2017-05-03,年度分红,,,6.0,2017-05-08,2017-05-09,2017-05-09,,10派6元(含税),2016年报
2018-06-11,年度分红,,,7.0,2018-06-14,2018-06-15,2018-06-15,,10派7元(含税),2017年报
2019-04-01,年度分红,,,7.0,2019-04-04,2019-04-08,2019-04-08,,10派7元(含税),2018年报
2020-06-04,年度分红,,,8.1,2020-06-09,2020-06-10,2020-06-10,,10派8.1元(含税),2019年报
2021-06-03,年度分红,,,8.2,2021-06-10,2021-06-11,2021-06-11,,10派8.2元(含税),2020年报
2022-05-26,年度分红,,,9.6,2022-05-31,2022-06-01,2022-06-01,,10派9.6元(含税),2021年报
2023-06-06,年度分红,,,10.4,2023-06-12,2023-06-13,2023-06-13,,10派10.4元(含税),2022年报
2024-05-29,年度分红,,,12.0,2024-06-04,2024-06-05,2024-06-05,,10派12元(含税),2023年报
2025-05-30,年度分红,,,12.2,2025-06-05,2025-06-06,2025-06-06,,10派12.2元(含税),2024年报
2025-12-09,季度分红,,,4.8,2025-12-16,2025-12-17,2025-12-17,,10派4.8元(含税),2025三季报
2026-05-29,年度分红,,,9.0,2026-06-04,2026-06-05,2026-06-05,,10派9元(含税),2025年报
