实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-04-16,年度分红,0.0,0.0,1.5,1994-04-22,1994-04-25,,,10派1.5元（含税）,1993年报
1996-05-23,年度分红,0.3,0.0,0.0,1996-05-29,1996-05-30,,,10送0.3股,1995年报
1998-10-29,中期分红,0.0,1.0,0.0,1998-11-03,1998-11-04,,,10转增1股,1998半年报
1999-05-19,年度分红,0.0,1.0,0.0,1999-05-24,1999-05-25,,,10转增1股,1998年报
2001-03-23,年度分红,3.0,3.0,0.75,2001-03-29,2001-03-30,,,10送3转增3股派0.75元（含税）,2000年报
2002-05-11,年度分红,,,0.2,2002-05-15,2002-05-16,2002-05-23,,10派0.2元(含税),2001年报
2003-05-28,年度分红,,,0.25,2003-06-02,2003-06-03,2003-06-09,,10股派0.25元（含税）,2002年报
2005-05-11,年度分红,,,0.25,2005-05-16,2005-05-17,2005-05-24,,10派0.25元（含税）,2004年报
2008-04-30,年度分红,1.0,2.0,0.13,2008-05-07,2008-05-08,2008-05-14,2008-05-08,10送1转增2股派0.13元（含税）,2007年报
2009-04-29,年度分红,,,0.7,2009-05-05,2009-05-06,2009-05-11,,10派0.7元（含税）,2008年报
2010-06-10,年度分红,,,0.1,2010-06-18,2010-06-21,2010-06-24,,10派0.1元（含税）,2009年报
2011-07-07,年度分红,,,0.36,2011-07-12,2011-07-13,2011-07-18,,10派0.36元(含税),2010年报
2012-05-16,年度分红,,8.0,0.4,2012-05-21,2012-05-22,2012-05-28,2012-05-23,10转增8股派0.4元(含税),2011年报
2013-05-29,年度分红,,,0.625,2013-06-03,2013-06-04,2013-06-18,,10派0.625元(含税),2012年报
2014-07-03,年度分红,,,0.7,2014-07-09,2014-07-10,2014-07-10,,10派0.7元(含税),2013年报
2015-06-17,年度分红,,10.0,3.0,2015-06-25,2015-06-26,2015-06-26,,10转增10股派3元(含税),2014年报
2016-06-17,年度分红,,,2.7,2016-06-24,2016-06-27,2016-06-27,,10派2.7元(含税),2015年报
2017-07-06,年度分红,,,3.0,2017-07-13,2017-07-14,2017-07-14,,10派3元(含税),2016年报
2018-07-09,年度分红,,,2.75,2018-07-16,2018-07-17,2018-07-17,,10派2.75元(含税),2017年报
2019-07-12,年度分红,,,3.0,2019-07-19,2019-07-22,2019-07-22,,10派3元(含税),2018年报
2020-07-08,年度分红,,,3.4,2020-07-15,2020-07-16,2020-07-16,,10派3.4元(含税),2019年报
2021-07-08,年度分红,,,3.8,2021-07-14,2021-07-15,2021-07-15,,10派3.8元(含税),2020年报
2022-07-14,年度分红,,,4.0,2022-07-20,2022-07-21,2022-07-21,,10派4元(含税),2021年报
2023-07-08,年度分红,,,4.0,2023-07-13,2023-07-14,2023-07-14,,10派4元(含税),2022年报
2024-07-09,年度分红,,,4.0,2024-07-15,2024-07-16,2024-07-16,,10派4元(含税),2023年报
2025-07-11,年度分红,,,4.0,2025-07-17,2025-07-18,2025-07-18,,10派4元(含税),2024年报
