实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2002-06-13,年度分红,,,3.0,2002-06-19,2002-06-20,2002-06-28,,10派3元(含税),2001年报
2003-06-16,年度分红,,,3.4,2003-06-19,2003-06-20,2003-06-27,,10股派3.4元（含税）,2002年报
2004-05-18,年度分红,5.0,5.0,5.0,2004-05-21,2004-05-24,2004-05-28,,10送5转增5股派5元(含税),2003年报
2005-06-16,年度分红,,,2.5,2005-06-21,2005-06-22,2005-06-28,,10派2.5元(含税),2004年报
2006-06-19,年度分红,,,2.5,2006-06-22,2006-06-23,2006-06-28,,10派2.5元（含税）,2005年报
2007-05-29,年度分红,,,2.8,2007-06-01,2007-06-04,2007-06-08,,10派2.8元（含税）,2006年报
2008-06-10,年度分红,,,3.0,2008-06-12,2008-06-13,2008-06-19,,10派3元（含税）,2007年报
2009-06-25,年度分红,,,1.0,2009-06-30,2009-07-01,2009-07-07,,10派1元（含税）,2008年报
2010-06-30,年度分红,,,2.1,2010-07-05,2010-07-06,2010-07-12,,10派2.1元（含税）,2009年报
2011-06-17,年度分红,,,2.0,2011-06-22,2011-06-23,2011-06-30,,10派2元(含税),2010年报
2012-06-20,年度分红,,,0.5,2012-06-27,2012-06-28,2012-07-05,,10派0.5元(含税),2011年报
2013-06-27,年度分红,,,2.1,2013-07-03,2013-07-04,2013-07-15,,10派2.1元(含税),2012年报
2014-07-11,年度分红,,,3.8,2014-07-17,2014-07-18,2014-07-18,,10派3.8元(含税),2013年报
2015-07-04,年度分红,,,3.8,2015-07-10,2015-07-13,2015-07-13,,10派3.8元(含税),2014年报
2016-07-01,年度分红,,,4.7,2016-07-07,2016-07-08,2016-07-08,,10派4.7元(含税),2015年报
2017-06-23,年度分红,,,2.9,2017-06-29,2017-06-30,2017-06-30,,10派2.9元(含税),2016年报
2018-05-10,年度分红,,,1.0,2018-05-16,2018-05-17,2018-05-17,,10派1元(含税),2017年报
2019-06-20,年度分红,,,1.0,2019-06-27,2019-06-28,2019-06-28,,10派1元(含税),2018年报
2020-06-24,年度分红,,,1.35,2020-07-03,2020-07-06,2020-07-06,,10派1.35元(含税),2019年报
2021-06-30,年度分红,,,1.8,2021-07-06,2021-07-07,2021-07-07,,10派1.8元(含税),2020年报
2024-07-03,年度分红,,,2.0,2024-07-10,2024-07-11,2024-07-11,,10派2元(含税),2023年报
2025-07-02,年度分红,,,2.7,2025-07-09,2025-07-10,2025-07-10,,10派2.7元(含税),2024年报
