实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2014-06-13,年度分红,,3.0,2.0,2014-06-18,2014-06-19,2014-06-19,2014-06-20,10转增3股派2元(含税),2013年报
2015-06-16,年度分红,,,2.5,2015-06-19,2015-06-23,2015-06-23,,10派2.5元(含税),2014年报
2016-06-16,年度分红,,,2.7,2016-06-22,2016-06-23,2016-06-23,,10派2.7元(含税,2015年报
2017-06-09,年度分红,,,2.3,2017-06-14,2017-06-15,2017-06-15,,10派2.3元(含税),2016年报
2018-07-16,年度分红,,,1.7,2018-07-20,2018-07-23,2018-07-23,,10派1.7元(含税),2017年报
2019-06-11,年度分红,,,1.8,2019-06-17,2019-06-18,2019-06-18,,10派1.8元(含税),2018年报
2020-07-01,年度分红,,,2.0,2020-07-06,2020-07-07,2020-07-07,,10派2元(含税),2019年报
2021-06-30,年度分红,,,2.25,2021-07-05,2021-07-06,2021-07-06,,10派2.25元(含税),2020年报
2024-07-02,年度分红,,,2.5,2024-07-08,2024-07-09,2024-07-09,,10派2.5元(含税),2023年报
2025-07-03,年度分红,,,2.9,2025-07-08,2025-07-09,2025-07-09,,10派2.9元(含税),2024年报
2025-10-10,中期分红,,,0.5,2025-10-16,2025-10-17,2025-10-17,,10派0.5元(含税),2025半年报
