实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2016-07-05,年度分红,,,0.9,2016-07-12,2016-07-13,2016-07-13,,10派0.9元(含税),2015年报
2017-07-21,年度分红,,,1.1,2017-07-26,2017-07-27,2017-07-27,,10派1.1元(含税),2016年报
2018-07-11,年度分红,,,1.12,2018-07-18,2018-07-19,2018-07-19,,10派1.12元(含税),2017年报
2019-07-12,年度分红,,,1.2,2019-07-18,2019-07-19,2019-07-19,,10派1.2元(含税),2018年报
2020-07-11,年度分红,,,1.22,2020-07-16,2020-07-17,2020-07-17,,10派1.22元(含税),2019年报
2021-07-10,年度分红,,,1.3,2021-07-15,2021-07-16,2021-07-16,,10派1.3元(含税),2020年报
2022-07-09,年度分红,,,1.5,2022-07-14,2022-07-15,2022-07-15,,10派1.5元(含税),2021年报
2023-07-08,年度分红,,,1.7,2023-07-13,2023-07-14,2023-07-14,,10派1.7元(含税),2022年报
2024-07-09,年度分红,,,1.95,2024-07-15,2024-07-16,2024-07-16,,10派1.95元(含税),2023年报
2024-11-25,特别分红,,,0.2,2024-11-29,2024-12-02,2024-12-02,,10派0.2元(含税),2024三季报
2025-07-14,年度分红,,,1.6,2025-07-17,2025-07-18,2025-07-18,,10派1.6元(含税),2024年报
2026-01-06,中期分红,,,0.2,2026-01-12,2026-01-13,2026-01-13,,10派0.2元(含税),2025半年报
