实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-05-13,年度分红,,2.0,2.0,2011-05-19,2011-05-20,2011-05-20,2011-05-20,10转增2股派2元(含税),2010年报
2012-03-29,年度分红,,4.0,1.0,2012-04-09,2012-04-10,2012-04-10,2012-04-10,10转增4股派1元(含税),2011年报
2013-04-17,年度分红,,2.0,2.0,2013-04-23,2013-04-24,2013-04-24,2013-04-24,10转增2股派2元(含税),2012年报
2014-06-20,年度分红,,2.0,1.0,2014-06-26,2014-06-27,2014-06-27,2014-06-27,10转增2股派1元(含税),2013年报
2017-05-13,年度分红,,,0.5,2017-05-19,2017-05-22,2017-05-22,,10派0.5元(含税),2016年报
2018-05-03,年度分红,,,0.5,2018-05-09,2018-05-10,2018-05-10,,10派0.5元(含税),2017年报
2019-04-30,年度分红,,,1.0,2019-05-10,2019-05-13,2019-05-13,,10派1元(含税),2018年报
2020-04-28,年度分红,,,2.0,2020-05-08,2020-05-11,2020-05-11,,10派2元(含税),2019年报
2021-07-08,年度分红,,1.0,2.0,2021-07-15,2021-07-16,2021-07-16,2021-07-16,10转增1股派2元(含税),2020年报
2022-05-06,年度分红,,,1.5,2022-05-12,2022-05-13,2022-05-13,,10派1.5元(含税),2021年报
2023-04-20,年度分红,,,1.5,2023-04-25,2023-04-26,2023-04-26,,10派1.5元(含税),2022年报
2024-05-11,年度分红,,,5.0,2024-05-17,2024-05-20,2024-05-20,,10派5元(含税),2023年报
2025-05-07,年度分红,,,5.0,2025-05-13,2025-05-14,2025-05-14,,10派5元(含税),2024年报
2026-04-28,年度分红,,,5.0,2026-05-07,2026-05-08,2026-05-08,,10派5元(含税),2025年报
