实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-08-22,年度分红,,,1.3,2007-08-29,2007-08-30,2007-08-30,,10派1.3元（含税）,2006年报
2008-08-08,年度分红,,,4.4,2008-08-14,2008-08-15,2008-08-15,,10派4.4元（含税）,2007年报
2008-12-08,中期分红,,6.0,,2008-12-15,2008-12-16,,2008-12-16,10转增6股,2008半年报
2009-07-31,年度分红,,,1.3,2009-08-06,2009-08-07,2009-08-07,,10派1.3元（含税）,2008年报
2010-07-31,年度分红,,,4.8,2010-08-05,2010-08-06,2010-08-06,,10派4.80元（含税）,2009年报
2010-11-29,中期分红,,10.0,,2010-12-03,2010-12-06,,2010-12-06,10转增10股,2010半年报
2011-07-01,年度分红,,,4.3,2011-07-07,2011-07-08,2011-07-08,,10派4.3元(含税),2010年报
2012-08-11,年度分红,2.0,,1.0,2012-08-16,2012-08-17,2012-08-17,2012-08-17,10送2股派1元(含税),2011年报
2012-10-12,中期分红,,,1.0,2012-10-17,2012-10-18,2012-10-18,,10派1元(含税),2012半年报
2013-08-13,年度分红,,,2.3,2013-08-19,2013-08-20,2013-08-20,,10派2.3元(含税),2012年报
2013-10-11,中期分红,,,1.0,2013-10-17,2013-10-18,2013-10-18,,10派1元(含税),2013半年报
2014-08-20,年度分红,,,1.5,2014-08-26,2014-08-27,2014-08-27,,10派1.5元(含税),2013年报
2014-10-17,中期分红,,,1.0,2014-10-23,2014-10-24,2014-10-24,,10派1元(含税),2014半年报
2015-08-13,年度分红,,10.0,1.5,2015-08-19,2015-08-20,2015-08-20,2015-08-20,10转增10股派1.5元(含税),2014年报
2015-10-14,中期分红,,,1.0,2015-10-19,2015-10-20,2015-10-20,,10派1元(含税),2015半年报
2016-07-23,年度分红,,,1.0,2016-07-28,2016-07-29,2016-07-29,,10派1元(含税),2015年报
2016-10-14,中期分红,,,1.0,2016-10-19,2016-10-20,2016-10-20,,10派1元(含税),2016半年报
2017-07-14,年度分红,10.0,,2.5,2017-07-20,2017-07-21,2017-07-21,2017-07-21,10送10股派2.5元(含税),2016年报
2017-10-14,中期分红,,,1.5,2017-10-19,2017-10-20,2017-10-20,,10派1.5元(含税),2017半年报
2018-07-25,年度分红,,,2.5,2018-07-30,2018-07-31,2018-07-31,,10派2.5元(含税),2017年报
2018-10-16,中期分红,,,1.8,2018-10-22,2018-10-23,2018-10-23,,10派1.8元(含税),2018半年报
2019-07-24,年度分红,,,2.8,2019-07-30,2019-07-31,2019-07-31,,10派2.8元(含税),2018年报
2019-10-18,中期分红,,,1.5,2019-10-24,2019-10-25,2019-10-25,,10派1.5元(含税),2019半年报
2020-08-11,年度分红,,,1.36,2020-08-17,2020-08-18,2020-08-18,,10派1.36元(含税),2019年报
2020-10-10,中期分红,,,1.5,2020-10-15,2020-10-16,2020-10-16,,10派1.5元(含税),2020半年报
2021-08-20,年度分红,,,2.33,2021-08-26,2021-08-27,2021-08-27,,10派2.33元(含税),2020年报
2021-10-16,中期分红,,,1.85,2021-10-21,2021-10-22,2021-10-22,,10派1.85元(含税),2021半年报
2022-08-19,年度分红,,,1.85,2022-08-25,2022-08-26,2022-08-26,,10派1.85元(含税),2021年报
2022-10-14,中期分红,,,0.96,2022-10-20,2022-10-21,2022-10-21,,10派0.96元(含税),2022半年报
2023-08-18,年度分红,,,1.58,2023-08-24,2023-08-25,2023-08-25,,10派1.58元(含税),2022年报
2023-10-20,中期分红,,,2.26,2023-10-26,2023-10-27,2023-10-27,,10派2.26元(含税),2023半年报
2024-06-21,年度分红,,,2.93,2024-06-27,2024-06-28,2024-06-28,,10派2.93元(含税),2023年报
2024-10-11,中期分红,,,3.72,2024-10-17,2024-10-18,2024-10-18,,10派3.72元(含税),2024半年报
2025-07-19,年度分红,,,3.47,2025-07-24,2025-07-25,2025-07-25,,10派3.47元(含税),2024年报
2025-10-18,中期分红,,,3.58,2025-10-23,2025-10-24,2025-10-24,,10派3.58元(含税),2025半年报
