实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2015-06-02,年度分红,,,0.8,2015-06-08,2015-06-09,2015-06-09,,10派0.8元(含税),2014年报
2016-04-19,年度分红,5.0,5.0,1.4,2016-04-22,2016-04-25,2016-04-25,,10送5转增5股派1.4元(含税),2015年报
2017-05-05,年度分红,,,0.8,2017-05-10,2017-05-11,2017-05-11,,10派0.8元(含税),2016年报
2018-04-27,年度分红,,,1.0,2018-05-07,2018-05-08,2018-05-08,,10派1元(含税),2017年报
2019-04-16,年度分红,,4.0,1.4,2019-04-22,2019-04-23,2019-04-23,,10转增4股派1.4元(含税),2018年报
2020-04-28,年度分红,,4.0,1.4,2020-05-07,2020-05-08,2020-05-08,,10转增4股派1.4元(含税),2019年报
2021-05-17,年度分红,,,1.4,2021-05-20,2021-05-21,2021-05-21,,10派1.4元(含税),2020年报
2022-05-18,年度分红,,,1.6,2022-05-23,2022-05-24,2022-05-24,,10派1.6元(含税),2021年报
2023-06-02,年度分红,,,2.2,2023-06-08,2023-06-09,2023-06-09,,10派2.2元(含税),2022年报
2023-10-17,中期分红,,,0.8,2023-10-20,2023-10-23,2023-10-23,,10派0.8元(含税),2023半年报
2024-05-31,年度分红,,,1.7,2024-06-05,2024-06-06,2024-06-06,,10派1.7元(含税),2023年报
2025-05-19,年度分红,,,2.7,2025-05-22,2025-05-23,2025-05-23,,10派2.7元(含税),2024年报
2026-01-30,季度分红,,,0.7,2026-02-04,2026-02-05,2026-02-05,,10派0.7元(含税),2025三季报
2026-05-26,年度分红,,,3.8,2026-05-29,2026-06-01,2026-06-01,,10派3.8元(含税),2025年报
