实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1996-11-15,年度分红,,,2.6,,,,,10派2.60元（含税）,1995年报
1997-09-05,中期分红,3.5,6.5,0.0,1997-09-10,1997-09-11,,,10送3.5转增6.5股,1997半年报
1999-05-11,年度分红,0.0,0.0,1.5,1999-05-18,1999-05-19,1999-05-25,,10派1.5元(含税),1998年报
2000-05-31,年度分红,,,2.0,2000-06-07,2000-06-08,2000-06-09,,10派2元（含税）,1999年报
2001-04-27,年度分红,,,1.0,2001-05-10,2001-05-11,2001-05-14,,10派1元（含税）,2000年报
2002-05-30,年度分红,,,1.0,2002-06-05,2002-06-06,2002-06-06,,10派1元（含税）,2001年报
2003-04-12,年度分红,,,0.8,2003-04-17,2003-04-18,2003-04-18,,10股派0.80元（含税）,2002年报
2004-06-30,年度分红,0.0,0.0,1.0,2004-07-06,2004-07-07,2004-07-07,,10派1元(含税),2003年报
2004-10-09,中期分红,1.0,4.0,0.25,2004-10-14,2004-10-15,2004-10-15,2004-10-15,10送1转增4股派0.25元（含税）,2004半年报
2005-05-13,年度分红,0.0,0.0,0.75,2005-05-20,2005-05-23,2005-05-23,,10派0.75元(含税),2004年报
2006-07-01,年度分红,,,2.4,2006-07-06,2006-07-07,2006-07-07,,10派2.4元（含税）,2005年报
2007-05-18,年度分红,,,2.42,2007-05-24,2007-05-25,2007-05-25,,10派2.42元（含税）,2006年报
2008-05-09,年度分红,,,2.0,2008-05-14,2008-05-15,2008-05-15,,10派2元（含税）,2007年报
2009-05-06,年度分红,,,1.0,2009-05-12,2009-05-13,2009-05-13,,10派1元（含税）,2008年报
2010-05-18,年度分红,,,1.0,2010-05-24,2010-05-25,2010-05-25,,10派1元（含税）,2009年报
2011-06-17,年度分红,,,1.0,2011-06-23,2011-06-24,2011-06-24,,10派1元(含税),2010年报
2012-05-30,年度分红,,,1.0,2012-06-05,2012-06-06,2012-06-06,,10派1元(含税),2011年报
2013-05-07,年度分红,,,1.0,2013-05-13,2013-05-14,2013-05-14,,10派1元(含税),2012年报
2014-05-22,年度分红,,,1.0,2014-05-28,2014-05-29,2014-05-29,,10派1元(含税),2013年报
2015-05-27,年度分红,,10.0,0.5,2015-06-01,2015-06-02,2015-06-02,2015-06-02,10转增10股派0.5元(含税),2014年报
2015-09-17,中期分红,5.0,10.0,0.6,2015-09-23,2015-09-24,2015-09-24,2015-09-24,10送5转增10股派0.6元(含税),2015半年报
2018-06-09,年度分红,,,0.2,2018-06-14,2018-06-15,2018-06-15,,10派0.2元（含税）,2017年报
2019-05-22,年度分红,,,0.3,2019-05-29,2019-05-30,2019-05-30,,10派0.3元(含税),2018年报
2020-06-13,年度分红,,,0.1,2020-06-19,2020-06-22,2020-06-22,,10派0.1元(含税),2019年报
2021-05-22,年度分红,,,0.4,2021-05-28,2021-05-31,2021-05-31,,10派0.4元(含税),2020年报
2022-05-14,年度分红,,,1.0,2022-05-20,2022-05-23,2022-05-23,,10派1元(含税),2021年报
2023-05-26,年度分红,,,0.5,2023-06-01,2023-06-02,2023-06-02,,10派0.5元(含税),2022年报
2024-05-31,年度分红,,,0.792126,2024-06-06,2024-06-07,2024-06-07,,10派0.792126元(含税),2023年报
2025-06-17,年度分红,,,1.0,2025-06-20,2025-06-23,2025-06-23,,10派1元(含税),2024年报
2025-11-15,中期分红,,,0.5,2025-11-21,2025-11-24,2025-11-24,,10派0.5元(含税),2025半年报
2026-05-29,年度分红,,,0.5,2026-06-05,2026-06-08,2026-06-08,,10派0.5元(含税),2025年报
