实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1999-05-19,年度分红,1.0,0.0,0.0,1999-05-24,1999-05-25,,,10送1股,1998年报
2005-05-17,年度分红,,,1.2,2005-05-20,2005-05-23,2005-05-27,,10派1.2元(含税),2004年报
2006-06-27,年度分红,,,2.0,2006-06-30,2006-07-03,2006-07-06,,10派2元（含税）,2005年报
2007-04-30,年度分红,,,2.0,2007-05-10,2007-05-11,2007-05-16,,10派2元（含税）,2006年报
2008-05-28,年度分红,,,10.0,2008-06-02,2008-06-03,2008-06-06,,10派10元（含税）,2007年报
2009-06-12,年度分红,,,10.0,2009-06-17,2009-06-18,2009-06-24,,10派10元（含税）,2008年报
2010-07-06,年度分红,,,8.0,2010-07-12,2010-07-13,2010-07-16,,10派8元（含税）,2009年报
2011-07-11,年度分红,,6.0,6.0,2011-07-14,2011-07-15,2011-07-21,2011-07-18,10转增6股派6元(含税),2010年报
2012-06-06,年度分红,,3.0,3.0,2012-06-11,2012-06-12,2012-06-18,2012-06-13,10转增3股派3元(含税),2011年报
2013-05-31,年度分红,,,0.1,2013-06-05,2013-06-06,2013-06-14,,10派0.1元(含税),2012年报
2014-08-07,年度分红,,,0.1,2014-08-12,2014-08-13,2014-08-13,,10派0.1元(含税),2013年报
2015-05-25,年度分红,,,0.1,2015-05-28,2015-05-29,2015-05-29,,10派0.1元(含税),2014年报
2016-05-31,年度分红,,,0.2,2016-06-03,2016-06-06,2016-06-06,,10派0.2元(含税),2015年报
2019-05-24,年度分红,,,1.07,2019-05-29,2019-05-30,2019-05-30,,10派1.07元(含税),2018年报
2021-07-09,年度分红,,,0.35,2021-07-14,2021-07-15,2021-07-15,,10派0.35元(含税),2020年报
2022-08-10,年度分红,,,0.3,2022-08-15,2022-08-16,2022-08-16,,10派0.3元(含税),2021年报
2023-07-06,年度分红,,,0.2,2023-07-11,2023-07-12,2023-07-12,,10派0.2元(含税),2022年报
2024-08-02,年度分红,,,2.0,2024-08-08,2024-08-09,2024-08-09,,10派2元(含税),2023年报
2025-06-13,年度分红,,,2.5,2025-06-20,2025-06-23,2025-06-23,,10派2.5元(含税),2024年报
