实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2015-05-15,年度分红,,10.0,5.0,2015-05-21,2015-05-22,2015-05-22,2015-05-22,10转增10股派5元(含税),2014年报
2016-04-11,年度分红,,10.0,3.5,2016-04-15,2016-04-18,2016-04-18,2016-04-18,10转增10股派3.5元(含税),2015年报
2017-05-17,年度分红,,,2.0,2017-05-23,2017-05-24,2017-05-24,,10派2元(含税),2016年报
2018-06-07,年度分红,,,2.0,2018-06-12,2018-06-13,2018-06-13,,10派2元(含税),2017年报
2019-06-25,年度分红,,,2.5,2019-06-28,2019-07-01,2019-07-01,,10派2.5元(含税),2018年报
2020-05-21,年度分红,,,2.0,2020-05-26,2020-05-27,2020-05-27,,10派2元(含税),2019年报
2021-06-10,年度分红,,,2.5,2021-06-16,2021-06-17,2021-06-17,,10派2.5元(含税),2020年报
2022-06-02,年度分红,,,3.2,2022-06-09,2022-06-10,2022-06-10,,10派3.2元(含税),2021年报
2023-07-10,年度分红,,,2.5,2023-07-14,2023-07-17,2023-07-17,,10派2.5元(含税),2022年报
2024-07-03,年度分红,,,2.8,2024-07-08,2024-07-09,2024-07-09,,10派2.8元(含税),2023年报
2025-06-19,年度分红,,,3.8,2025-06-24,2025-06-25,2025-06-25,,10派3.8元(含税),2024年报
2026-04-30,年度分红,,,4.5,2026-05-08,2026-05-11,2026-05-11,,10派4.5元(含税),2025年报
