实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1999-07-07,年度分红,0.0,0.0,1.38,1999-07-09,1999-07-12,1999-07-13,,10派1.38元(含税),1998年报
2000-04-22,年度分红,3.0,2.0,0.8,2000-04-27,2000-04-28,,,10送3转增2股派0.8元（含税）,1999年报
2001-05-10,年度分红,,,1.5,2001-05-15,2001-05-16,2001-05-23,,10派1.5元(含税),2000年报
2002-07-08,年度分红,3.0,,0.75,2002-07-11,2002-07-12,2002-07-18,,10送3股派0.75元(含税),2001年报
2003-05-28,年度分红,0.0,,1.0,2003-06-02,2003-06-03,2003-06-10,,10股派1元（含税）,2002年报
2004-06-09,年度分红,,,1.2,2004-06-14,2004-06-15,2004-06-18,,10派1.2元(含税),2003年报
2005-06-22,年度分红,,,1.9,2005-06-27,2005-06-28,2005-07-04,,10派1.9元(含税),2004年报
2006-06-21,年度分红,,,1.8,2006-06-26,2006-06-27,2006-06-30,,10派1.8元（含税）,2005年报
2006-09-19,中期分红,5.0,,0.56,2006-09-22,2006-09-25,2006-09-29,,10送5股派0.56元,2006半年报
2007-06-05,年度分红,,,1.0,2007-06-08,2007-06-11,2007-06-15,,10派1元（含税）,2006年报
2008-06-06,年度分红,,,1.2,2008-06-12,2008-06-13,2008-06-19,,10派1.2元（含税）,2007年报
2009-06-16,年度分红,,,1.5,2009-06-19,2009-06-22,2009-06-26,,10派1.5元（含税）,2008年报
2010-05-19,年度分红,,,1.2,2010-05-24,2010-05-25,2010-05-31,,10派1.2元（含税）,2009年报
2011-04-13,年度分红,,,3.0,2011-04-18,2011-04-19,2011-04-22,,10派3元(含税),2010年报
2012-05-28,年度分红,,3.0,3.2,2012-05-31,2012-06-01,2012-06-07,2012-06-04,10转增3股派3.2元(含税),2011年报
2013-07-26,年度分红,,,1.5,2013-07-31,2013-08-01,2013-08-07,,10派1.5元(含税),2012年报
2014-05-13,年度分红,,,4.0,2014-05-16,2014-05-19,2014-05-23,,10派4元(含税),2013年报
2015-05-21,年度分红,,,2.5,2015-05-27,2015-05-28,2015-05-28,,10派2.5元(含税),2014年报
2016-05-27,年度分红,,,3.0,2016-06-01,2016-06-02,2016-06-02,,10派3元(含税),2015年报
2017-06-02,年度分红,,,3.3,2017-06-09,2017-06-12,2017-06-12,,10派3.3元(含税),2016年报
2018-05-21,年度分红,,4.5,4.5,2018-05-25,2018-05-28,2018-05-28,,10转增4.5股派4.5元(含税),2017年报
2019-05-30,年度分红,,,3.5,2019-06-05,2019-06-06,2019-06-06,,10派3.5元(含税),2018年报
2020-05-22,年度分红,,,4.0,2020-05-28,2020-05-29,2020-05-29,,10派4元(含税),2019年报
2021-05-21,年度分红,,,4.0,2021-05-27,2021-05-28,2021-05-28,,10派4元(含税),2020年报
2022-05-19,年度分红,,,6.0,2022-05-25,2022-05-26,2022-05-26,,10派6元(含税),2021年报
2023-05-19,年度分红,,,4.5,2023-05-25,2023-05-26,2023-05-26,,10派4.5元(含税),2022年报
2024-05-18,年度分红,,,4.5,2024-05-23,2024-05-24,2024-05-24,,10派4.5元(含税),2023年报
2025-05-16,年度分红,,,6.0,2025-05-22,2025-05-23,2025-05-23,,10派6元(含税),2024年报
2025-09-18,中期分红,,,4.0,2025-09-24,2025-09-25,2025-09-25,,10派4元(含税),2025半年报
2026-05-29,年度分红,,,8.0,2026-06-04,2026-06-05,2026-06-05,,10派8元(含税),2025年报
