实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2014-04-23,年度分红,,15.0,20.0,2014-04-29,2014-04-30,2014-04-30,2014-04-30,10转增15股派20元(含税),2013年报
2015-04-24,年度分红,,,10.0,2015-04-29,2015-04-30,2015-04-30,,10派10元(含税),2014年报
2016-04-29,年度分红,,5.0,12.0,2016-05-05,2016-05-06,2016-05-06,2016-05-06,10转增5股派12元(含税),2015年报
2017-05-03,年度分红,,,10.0,2017-05-09,2017-05-10,2017-05-10,,10派10元(含税),2016年报
2018-04-26,年度分红,,,12.0,2018-05-03,2018-05-04,2018-05-04,,10派12元(含税),2017年报
2019-05-23,年度分红,,,13.03962,2019-05-29,2019-05-30,2019-05-30,,10派13.03962元(含税),2018年报
2020-05-27,年度分红,,,16.0,2020-06-01,2020-06-02,2020-06-02,,10派16元(含税),2019年报
2021-05-26,年度分红,,,16.005847,2021-06-01,2021-06-02,2021-06-02,,10派16.005847元(含税),2020年报
2022-05-27,年度分红,,,17.008943,2022-06-01,2022-06-02,2022-06-02,,10派17.008943元(含税),2021年报
2023-05-25,年度分红,,,25.0,2023-05-31,2023-06-01,2023-06-01,,10派25元(含税),2022年报
2024-05-09,年度分红,,,30.0,2024-05-14,2024-05-15,2024-05-15,,10派30元(含税),2023年报
2025-06-06,年度分红,,,35.0,2025-06-11,2025-06-12,2025-06-12,,10派35元(含税),2024年报
2025-11-12,中期分红,,,5.0,2025-11-17,2025-11-18,2025-11-18,,10派5元(含税),2025半年报
