实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-06-09,年度分红,,,0.5,2001-06-14,2001-06-15,2001-06-18,,10派0.5元（含税）,2000年报
2002-04-16,年度分红,,,0.7,2002-04-19,2002-04-22,2002-04-22,,10派0.7元(含税),2001年报
2003-05-28,年度分红,,,0.7,2003-06-04,2003-06-05,2003-06-05,,10股派0.70元（含税）,2002年报
2004-07-03,年度分红,,,0.7,2004-07-07,2004-07-08,2004-07-08,,10派0.7元(含税),2003年报
2006-10-25,中期分红,,7.0,,2006-10-30,2006-10-31,,,10转增7股,2006半年报
2007-05-09,年度分红,,,1.5,2007-05-15,2007-05-16,2007-05-16,,10派1.5元（含税）,2006年报
2009-05-26,年度分红,,,0.7,2009-06-04,2009-06-05,2009-06-05,,10派0.7元（含税）,2008年报
2011-06-30,年度分红,,,0.7,2011-07-06,2011-07-07,2011-07-07,,10派0.7元(含税),2010年报
2012-10-11,中期分红,,,0.2,2012-10-17,2012-10-18,2012-10-18,,10派0.2元(含税),2012半年报
2013-06-25,年度分红,,,0.5,2013-06-28,2013-07-01,2013-07-01,,10派0.5元(含税),2012年报
2014-06-28,年度分红,,,0.5,2014-07-03,2014-07-04,2014-07-04,,10派0.5元(含税),2013年报
2015-06-27,年度分红,,,0.5,2015-07-03,2015-07-06,2015-07-06,,10派0.5元(含税),2014年报
2016-06-29,年度分红,,,0.5,2016-07-05,2016-07-06,2016-07-06,,10派0.5元(含税),2015年报
2017-06-15,年度分红,,,0.5,2017-06-21,2017-06-22,2017-06-22,,10派0.5元(含税),2016年报
2018-04-12,年度分红,,,1.0,2018-04-18,2018-04-19,2018-04-19,,10派1元（含税）,2017年报
2019-06-14,年度分红,,,1.0,2019-06-20,2019-06-21,2019-06-21,,10派1元(含税),2018年报
2020-05-08,年度分红,,,1.0,2020-05-13,2020-05-14,2020-05-14,,10派1元(含税),2019年报
2021-06-10,年度分红,,,1.0,2021-06-17,2021-06-18,2021-06-18,,10派1元(含税),2020年报
2022-05-20,年度分红,,,1.5,2022-05-26,2022-05-27,2022-05-27,,10派1.5元(含税),2021年报
2023-05-16,年度分红,,,1.0,2023-05-19,2023-05-22,2023-05-22,,10派1元(含税),2022年报
2024-05-31,年度分红,,,1.0,2024-06-06,2024-06-07,2024-06-07,,10派1元(含税),2023年报
