实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-05-26,年度分红,,,0.29,2010-06-01,2010-06-02,2010-06-08,,10派0.29元（含税）,2009年报
2011-05-27,年度分红,,,0.62,2011-06-02,2011-06-03,2011-06-10,,10派0.62元(含税),2010年报
2012-06-05,年度分红,,,0.8,2012-06-11,2012-06-12,2012-06-21,,10派0.8元(含税),2011年报
2013-07-19,年度分红,,,1.05,2013-07-24,2013-07-25,2013-07-30,,10派1.05元(含税),2012年报
2014-06-11,年度分红,,,1.43,2014-06-16,2014-06-17,2014-06-17,,10派1.43元(含税),2013年报
2015-06-10,年度分红,,,1.72,2015-06-15,2015-06-16,2015-06-16,,10派1.72元(含税),2014年报
2016-06-07,年度分红,,,2.0,2016-06-15,2016-06-16,2016-06-16,,10派2元(含税),2015年报
2017-06-09,年度分红,,,2.15,2017-06-15,2017-06-16,2017-06-16,,10派2.15元(含税),2016年报
2018-06-25,年度分红,,4.0,2.15,2018-06-28,2018-06-29,2018-06-29,,10转增4股派2.15元(含税),2017年报
2019-06-05,年度分红,,,1.68,2019-06-13,2019-06-14,2019-06-14,,10派1.68元(含税),2018年报
2020-06-17,年度分红,,,1.85,2020-06-23,2020-06-24,2020-06-24,,10派1.85元(含税),2019年报
2021-06-23,年度分红,,,2.147,2021-06-29,2021-06-30,2021-06-30,,10派2.147元(含税),2020年报
2022-06-23,年度分红,,,2.5,2022-06-29,2022-06-30,2022-06-30,,10派2.5元(含税),2021年报
2023-06-21,年度分红,,,2.527,2023-06-29,2023-06-30,2023-06-30,,10派2.527元(含税),2022年报
2024-06-21,年度分红,,,2.7145,2024-06-26,2024-06-27,2024-06-27,,10派2.7145元(含税),2023年报
2025-07-10,年度分红,,,2.715,2025-07-16,2025-07-17,2025-07-17,,10派2.715元(含税),2024年报
