实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-05,年度分红,,,18.0,2017-05-11,2017-05-12,2017-05-12,,10派18元(含税),2016年报
2017-09-22,中期分红,,10.0,,2017-09-28,2017-09-29,,2017-09-29,10转增10股,2017半年报
2018-05-21,年度分红,,10.0,16.0,2018-05-25,2018-05-28,2018-05-28,2018-05-28,10转增10股派16元(含税),2017年报
2019-07-02,年度分红,,10.0,12.0,2019-07-08,2019-07-09,2019-07-09,2019-07-09,10转增10股派12元(含税),2018年报
2020-05-25,年度分红,,5.0,9.0,2020-05-29,2020-06-01,2020-06-01,2020-06-01,10转增5股派9元(含税),2019年报
2021-05-26,年度分红,,,6.5,2021-06-01,2021-06-02,2021-06-02,,10派6.5元(含税),2020年报
2022-05-23,年度分红,,,8.0,2022-05-30,2022-05-31,2022-05-31,,10派8元(含税),2021年报
2023-05-27,年度分红,,4.0,13.0,2023-06-01,2023-06-02,2023-06-02,2023-06-02,10转增4股派13元(含税),2022年报
2023-09-20,中期分红,,,5.0,2023-09-26,2023-09-27,2023-09-27,,10派5元(含税),2023半年报
2024-05-28,年度分红,,,9.0,2024-06-03,2024-06-04,2024-06-04,,10派9元(含税),2023年报
2024-09-19,中期分红,,,6.0,2024-09-25,2024-09-26,2024-09-26,,10派6元(含税),2024半年报
2025-05-26,年度分红,,,13.0,2025-05-29,2025-05-30,2025-05-30,,10派13元(含税),2024年报
2025-09-22,中期分红,,,5.0,2025-09-26,2025-09-29,2025-09-29,,10派5元(含税),2025半年报
2026-05-25,年度分红,,,13.0,2026-05-28,2026-05-29,2026-05-29,,10派13元(含税),2025年报
