实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2004-04-20,年度分红,,10.0,2.0,2004-04-23,2004-04-26,2004-04-30,,10转增10股派2元(含税),2003年报
2005-05-30,年度分红,,,1.0,2005-06-02,2005-06-03,2005-06-10,,10派1元(含税),2004年报
2006-04-22,年度分红,2.2,7.8,1.0,2006-04-27,2006-04-28,2006-05-10,,10送2.2转增7.8股派1元（含税）,2005年报
2007-06-18,年度分红,,,0.5,2007-06-21,2007-06-22,2007-06-26,,10派0.5元（含税）,2006年报
2010-06-07,年度分红,,,0.3,2010-06-10,2010-06-11,2010-06-22,,10派0.3元（含税）,2009年报
2011-05-13,年度分红,,,0.6,2011-05-18,2011-05-19,2011-05-25,,10派0.6元(含税),2010年报
2012-06-05,年度分红,,10.0,1.0,2012-06-08,2012-06-11,2012-06-15,2012-06-12,10转增10股派1元(含税),2011年报
2014-05-15,年度分红,,3.0,,2014-05-20,2014-05-21,,2014-05-22,10转增3股,2013年报
2015-05-25,年度分红,,,0.25,2015-05-28,2015-05-29,2015-05-29,,10派0.25元(含税),2014年报
2016-06-16,年度分红,,,0.1,2016-06-21,2016-06-22,2016-06-22,,10派0.1元(含税),2015年报
2017-05-12,年度分红,,,0.25,2017-05-18,2017-05-19,2017-05-19,,10派0.25元(含税),2016年报
2018-07-10,年度分红,,,0.4,2018-07-17,2018-07-18,2018-07-18,,10派0.4元(含税),2017年报
2019-07-09,年度分红,,,0.4,2019-07-16,2019-07-17,2019-07-17,,10派0.4元(含税),2018年报
2020-07-01,年度分红,,,0.05,2020-07-07,2020-07-08,2020-07-08,,10派0.05元(含税),2019年报
2021-06-10,年度分红,,,0.16,2021-06-17,2021-06-18,2021-06-18,,10派0.16元(含税),2020年报
2022-07-06,年度分红,,,1.0,2022-07-12,2022-07-13,2022-07-13,,10派1元(含税),2021年报
2023-05-05,年度分红,,,1.0,2023-05-11,2023-05-12,2023-05-12,,10派1元(含税),2022年报
2025-06-24,年度分红,,,0.4,2025-06-27,2025-06-30,2025-06-30,,10派0.4元(含税),2024年报
