实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2000-08-19,年度分红,0.6,,0.6,2000-08-24,2000-08-25,,,10送0.6股派0.6元（含税）,1999年报
2001-08-07,年度分红,,,1.0,2001-08-13,2001-08-14,2001-08-21,,10派1元(含税),2000年报
2003-06-21,年度分红,,,0.5,2003-06-25,2003-06-26,2003-07-02,,10股派0.5元(含税),2002年报
2003-10-30,中期分红,,6.0,,2003-11-04,2003-11-05,,,10转增6股,2003半年报
2004-06-24,年度分红,1.0,1.0,0.5,2004-06-29,2004-06-30,2004-07-06,,10送1转增1股派0.5元(含税),2003年报
2005-05-27,年度分红,,,0.5,2005-06-01,2005-06-02,2005-06-08,,10派0.5元(含税),2004年报
2006-06-29,年度分红,,,1.0,2006-07-04,2006-07-05,2006-07-10,,10派1元（含税）,2005年报
2007-07-06,年度分红,,,1.0,2007-07-11,2007-07-12,2007-07-18,,10派1元（含税）,2006年报
2012-05-25,年度分红,,5.0,1.38,2012-05-30,2012-05-31,2012-06-05,2012-05-31,10转增5股派1.38元(含税),2011年报
2013-05-28,年度分红,,,1.0,2013-05-31,2013-06-03,2013-06-07,,10派1元(含税),2012年报
2014-05-16,年度分红,,,1.2,2014-05-21,2014-05-22,2014-05-27,,10派1.2元(含税),2013年报
2015-04-16,年度分红,,,1.65,2015-04-22,2015-04-23,2015-04-23,,10派1.65元(含税),2014年报
2016-05-10,年度分红,,12.0,3.12,2016-05-13,2016-05-16,2016-05-16,,10转增12股派3.12元(含税),2015年报
2017-05-10,年度分红,,2.0,2.5,2017-05-15,2017-05-16,2017-05-16,,10转增2股派2.5元(含税),2016年报
2018-05-11,年度分红,,2.0,2.5,2018-05-16,2018-05-17,2018-05-17,,10转增2股派2.5元(含税),2017年报
2019-05-17,年度分红,,,2.25,2019-05-23,2019-05-24,2019-05-24,,10派2.25元(含税),2018年报
2020-05-15,年度分红,,,1.93,2020-05-21,2020-05-22,2020-05-22,,10派1.93元(含税),2019年报
2021-05-17,年度分红,,1.43,2.24,2021-05-20,2021-05-21,2021-05-21,,10转增1.43股派2.24元(含税),2020年报
2022-05-20,年度分红,,,4.8,2022-05-25,2022-05-26,2022-05-26,,10派4.8元(含税),2021年报
2023-05-19,年度分红,,,5.21,2023-05-24,2023-05-25,2023-05-25,,10派5.21元(含税),2022年报
2024-05-22,年度分红,,,2.75,2024-05-28,2024-05-29,2024-05-29,,10派2.75元(含税),2023年报
2025-05-14,年度分红,,,2.4,2025-05-20,2025-05-21,2025-05-21,,10派2.4元(含税),2024年报
2025-09-30,中期分红,,,1.7,2025-10-14,2025-10-15,2025-10-15,,10派1.7元(含税),2025半年报
2026-05-21,年度分红,,,1.9,2026-05-26,2026-05-27,2026-05-27,,10派1.9元(含税),2025年报
