实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-07-07,年度分红,,,5.0,2010-07-12,2010-07-13,2010-07-16,,10派5元（含税）,2009年报
2011-07-08,年度分红,,3.0,3.0,2011-07-13,2011-07-14,2011-07-20,2011-07-15,10转增3股派3元(含税),2010年报
2012-07-27,年度分红,,,1.5,2012-08-01,2012-08-02,2012-08-08,,10派1.5元(含税),2011年报
2013-07-16,年度分红,,,1.42,2013-07-19,2013-07-22,2013-07-26,,10派1.42元(含税),2012年报
2014-10-30,中期分红,,,1.53,2014-11-04,2014-11-05,2014-11-05,,10派1.53元(含税),2014半年报
2015-05-15,年度分红,,,2.65,2015-05-20,2015-05-21,2015-05-21,,10派2.65元(含税),2014年报
2015-09-29,中期分红,,,5.04,2015-10-09,2015-10-12,2015-10-12,,10派5.04元（含税）,2015半年报
2016-06-08,年度分红,,,2.47,2016-06-16,2016-06-17,2016-06-17,,10派2.47元(含税),2015年报
2016-09-22,中期分红,,,1.54,2016-09-28,2016-09-29,2016-09-29,,10派1.54元(含税),2016半年报
2017-07-14,年度分红,,,1.89,2017-07-20,2017-07-21,2017-07-21,,10派1.89元(含税),2016年报
2018-08-10,年度分红,,,3.46,2018-08-16,2018-08-17,2018-08-17,,10派3.46元(含税),2017年报
2019-08-20,年度分红,,,2.64,2019-08-26,2019-08-27,2019-08-27,,10派2.64元(含税),2018年报
2020-12-04,中期分红,,,3.35,2020-12-10,2020-12-11,2020-12-11,,10派3.35元(含税),2020半年报
2021-07-23,年度分红,,,4.37,2021-07-29,2021-07-30,2021-07-30,,10派4.37元(含税),2020年报
2022-08-01,年度分红,,,5.4,2022-08-05,2022-08-08,2022-08-08,,10派5.4元(含税),2021年报
2023-07-18,年度分红,,,1.85,2023-07-24,2023-07-25,2023-07-25,,10派1.85元(含税),2022年报
2024-07-09,年度分红,,,2.52,2024-07-15,2024-07-16,2024-07-16,,10派2.52元(含税),2023年报
2024-09-11,中期分红,,,1.01,2024-09-19,2024-09-20,2024-09-20,,10派1.01元(含税),2024半年报
2025-07-09,年度分红,,,3.77,2025-07-15,2025-07-16,2025-07-16,,10派3.77元(含税),2024年报
2025-09-11,中期分红,,,1.19,2025-09-17,2025-09-18,2025-09-18,,10派1.19元(含税),2025半年报
