实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-05-16,年度分红,,,1.0,2001-05-22,2001-05-23,2001-05-24,,10派1元（含税）,2000年报
2002-07-11,年度分红,,,1.0,2002-07-18,2002-07-19,2002-07-19,,10派1元(含税),2001年报
2003-06-11,年度分红,,,1.0,2003-06-17,2003-06-18,2003-06-18,,10股派1元（含税）,2002年报
2009-06-23,年度分红,,,0.2,2009-06-29,2009-06-30,2009-06-30,,10派0.2元（含税）,2008年报
2012-06-14,年度分红,,,1.0,2012-06-20,2012-06-21,2012-06-21,,10派1元(含税),2011年报
2013-06-01,年度分红,,,1.0,2013-06-06,2013-06-07,2013-06-07,,10派1元(含税),2012年报
2014-05-07,年度分红,,10.0,0.8,2014-05-12,2014-05-13,2014-05-13,2014-05-13,10转增10股派0.8元(含税),2013年报
2015-04-17,年度分红,3.0,7.0,0.8,2015-04-24,2015-04-27,2015-04-27,2015-04-27,10送3转增7股派0.8元(含税),2014年报
2016-05-12,年度分红,,,0.5,2016-05-18,2016-05-19,2016-05-19,,10派0.5元(含税),2015年报
2017-05-23,年度分红,,,0.3,2017-05-26,2017-05-31,2017-05-31,,10派0.3元(含税),2016年报
2018-05-12,年度分红,,,0.4,2018-05-17,2018-05-18,2018-05-18,,10派0.4元(含税),2017年报
2019-04-24,年度分红,,,0.6,2019-04-29,2019-04-30,2019-04-30,,10派0.6元(含税),2018年报
2020-05-14,年度分红,,,0.7,2020-05-19,2020-05-20,2020-05-20,,10派0.7元(含税),2019年报
2021-05-19,年度分红,,,1.1,2021-05-25,2021-05-26,2021-05-26,,10派1.1元(含税),2020年报
2022-05-13,年度分红,,,1.4,2022-05-19,2022-05-20,2022-05-20,,10派1.4元(含税),2021年报
2023-06-16,年度分红,,,1.491414,2023-06-27,2023-06-28,2023-06-28,,10派1.491414元(含税),2022年报
2024-06-15,年度分红,,,1.3,2024-06-20,2024-06-21,2024-06-21,,10派1.3元(含税),2023年报
2025-01-09,季度分红,,,0.45,2025-01-16,2025-01-17,2025-01-17,,10派0.45元(含税),2024三季报
2025-05-17,年度分红,,,1.15,2025-05-22,2025-05-23,2025-05-23,,10派1.15元(含税),2024年报
2026-05-13,年度分红,,,0.4,2026-05-19,2026-05-20,2026-05-20,,10派0.4元(含税),2025年报
