实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-06-26,年度分红,,4.0,5.8002,2019-07-01,2019-07-02,2019-07-02,,10转增4股派5.8002元(含税),2018年报
2020-05-29,年度分红,,4.0,3.37,2020-06-03,2020-06-04,2020-06-04,,10转增4股派3.37元(含税),2019年报
2021-06-02,年度分红,,2.0,3.63,2021-06-07,2021-06-08,2021-06-08,,10转增2股派3.63元(含税),2020年报
2022-06-02,年度分红,,,5.174,2022-06-08,2022-06-09,2022-06-09,,10派5.174元(含税),2021年报
2023-06-08,年度分红,,,8.9266,2023-06-13,2023-06-14,2023-06-14,,10派8.9266元(含税),2022年报
2024-06-20,年度分红,,,9.8974,2024-06-25,2024-06-26,2024-06-26,,10派9.8974元(含税),2023年报
2025-05-15,年度分红,,,9.8169,2025-05-20,2025-05-21,2025-05-21,,10派9.8169元(含税),2024年报
2025-05-15,特别分红,,,3.5,2025-05-20,2025-05-21,2025-05-21,,10派3.5元(含税),2025一季报
2025-09-20,中期分红,,,3.5,2025-09-25,2025-09-26,2025-09-26,,10派3.5元(含税),2025半年报
2026-05-23,年度分红,,,15.7927,2026-05-28,2026-05-29,2026-05-29,,10派15.7927元(含税),2025年报
