实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1997-04-30,年度分红,3.0,3.0,0.0,1997-05-06,1997-05-07,,,10送3转增3股,1996年报
1998-04-07,年度分红,3.0,0.0,0.0,1998-04-10,1998-04-13,,,10送3股,1997年报
1998-08-18,中期分红,6.0,0.0,0.0,1998-08-21,1998-08-24,,,10送6股,1998半年报
1999-05-06,年度分红,5.0,0.0,0.0,1999-05-11,1999-05-12,,,10送5股,1998年报
2001-03-10,年度分红,,8.0,2.0,2001-03-15,2001-03-16,,,10转增8股派2元（含税）,2000年报
2002-04-01,年度分红,,,2.5,2002-04-05,2002-04-08,2002-04-15,,10派2.5元(含税),2001年报
2002-09-04,中期分红,,7.0,,2002-09-09,2002-09-10,,,10转增7股,2002半年报
2003-06-07,年度分红,,,0.6,2003-06-11,2003-06-12,2003-06-18,,10股派0.60元（含税）,2002年报
2004-04-03,年度分红,,6.0,0.4,2004-04-07,2004-04-08,2004-04-15,,10转增6股派0.4元,2003年报
2005-07-02,年度分红,,,0.8,2005-07-07,2005-07-08,2005-07-14,,10派0.8元(含税),2004年报
2006-06-26,年度分红,,,0.8,2006-06-30,2006-07-03,2006-07-07,,10派0.8元（含税）,2005年报
2007-05-18,年度分红,,,1.0,2007-05-23,2007-05-24,2007-05-30,,10派1元（含税）,2006年报
2008-03-10,年度分红,,10.0,1.2,2008-03-14,2008-03-17,2008-03-21,,10转增10股派1.2元（含税）,2007年报
2009-06-30,年度分红,,,0.3,2009-07-03,2009-07-06,2009-07-10,,10派0.3元（含税）,2008年报
2010-04-27,年度分红,7.0,3.0,0.78,2010-04-30,2010-05-04,2010-05-10,2010-05-05,10送7转增3股派0.78元（含税）,2009年报
2011-06-07,年度分红,,,1.0,2011-06-10,2011-06-13,2011-06-20,,10派1元(含税),2010年报
2012-06-06,年度分红,,,1.0,2012-06-11,2012-06-12,2012-06-18,,10派1元(含税),2011年报
2013-05-17,年度分红,,,1.3,2013-05-22,2013-05-23,2013-05-29,,10派1.3元(含税),2012年报
2014-06-09,年度分红,,,1.3,2014-06-12,2014-06-13,2014-06-13,,10派1.3元(含税),2013年报
2015-07-02,年度分红,,,1.5,2015-07-07,2015-07-08,2015-07-08,,10派1.5元(含税),2014年报
2016-06-30,年度分红,,,1.1,2016-07-05,2016-07-06,2016-07-06,,10派1.1元(含税),2015年报
2017-06-28,年度分红,,,1.1,2017-07-03,2017-07-04,2017-07-04,,10派1.1元(含税),2016年报
2018-07-03,年度分红,,,0.8,2018-07-09,2018-07-10,2018-07-10,,10派0.8元(含税),2017年报
2019-06-21,年度分红,,,0.4,2019-06-27,2019-06-28,2019-06-28,,10派0.4元(含税),2018年报
2020-06-24,年度分红,,,0.5,2020-07-02,2020-07-03,2020-07-03,,10派0.5元(含税),2019年报
2021-07-01,年度分红,,,0.4,2021-07-06,2021-07-07,2021-07-07,,10派0.4元(含税),2020年报
2023-06-28,年度分红,,,1.0,2023-07-05,2023-07-06,2023-07-06,,10派1元(含税),2022年报
2023-10-17,中期分红,,,0.5,2023-10-23,2023-10-24,2023-10-24,,10派0.5元(含税),2023半年报
2024-06-28,年度分红,,,0.7,2024-07-04,2024-07-05,2024-07-05,,10派0.7元(含税),2023年报
2024-10-25,中期分红,,,0.9,2024-10-30,2024-10-31,2024-10-31,,10派0.9元(含税),2024半年报
2025-07-04,年度分红,,,1.1,2025-07-09,2025-07-10,2025-07-10,,10派1.1元(含税),2024年报
2025-10-23,中期分红,,,1.0,2025-10-28,2025-10-29,2025-10-29,,10派1元(含税),2025半年报
