实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-12,年度分红,,,3.0,2007-06-15,2007-06-18,2007-06-22,,10派3元（含税）,2006年报
2008-06-25,年度分红,,,3.0,2008-06-30,2008-07-01,2008-07-07,,10派3元（含税）,2007年报
2009-06-25,年度分红,,,3.0,2009-06-30,2009-07-01,2009-07-07,,10派3元（含税）,2008年报
2010-06-18,年度分红,,,3.0,2010-06-23,2010-06-24,2010-06-30,,10派3元（含税）,2009年报
2011-06-23,年度分红,,,3.5,2011-06-28,2011-06-29,2011-07-05,,10派3.5元(含税),2010年报
2012-07-13,年度分红,,,3.9,2012-07-18,2012-07-19,2012-07-25,,10派3.9元(含税),2011年报
2013-05-30,年度分红,,,3.9,2013-06-04,2013-06-05,2013-06-14,,10派3.9元(含税),2012年报
2014-06-16,年度分红,,,4.3,2014-06-20,2014-06-23,2014-06-23,,10派4.3元(含税),2013年报
2015-06-12,年度分红,,,4.8,2015-06-18,2015-06-19,2015-06-19,,10派4.8元(含税),2014年报
2016-06-30,年度分红,,,4.5,2016-07-06,2016-07-07,2016-07-07,,10派4.5元(含税),2015年报
2017-06-22,年度分红,,,2.5,2017-06-28,2017-06-29,2017-06-29,,10派2.5元(含税),2016年报
2018-06-21,年度分红,,,4.7,2018-06-27,2018-06-28,2018-06-28,,10派4.7元(含税),2017年报
2019-06-20,年度分红,,,4.8,2019-06-26,2019-06-27,2019-06-27,,10派4.8元(含税),2018年报
2020-06-23,年度分红,,,4.8,2020-07-01,2020-07-02,2020-07-02,,10派4.8元(含税),2019年报
2021-07-01,年度分红,,,4.8,2021-07-07,2021-07-08,2021-07-08,,10派4.8元(含税),2020年报
2022-06-30,年度分红,,,4.8,2022-07-06,2022-07-07,2022-07-07,,10派4.8元(含税),2021年报
2023-07-06,年度分红,,,4.8,2023-07-12,2023-07-13,2023-07-13,,10派4.8元(含税),2022年报
2024-07-04,年度分红,,,3.8193,2024-07-10,2024-07-11,2024-07-11,,10派3.8193元(含税),2023年报
2024-10-17,中期分红,,,1.2924,2024-10-23,2024-10-24,2024-10-24,,10派1.2924元(含税),2024半年报
2025-07-04,年度分红,,,1.4,2025-07-10,2025-07-11,2025-07-11,,10派1.4元(含税),2024年报
2025-10-17,中期分红,,,0.8,2025-10-23,2025-10-24,2025-10-24,,10派0.8元(含税),2025半年报
