实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-04,年度分红,,,0.42,2007-06-07,2007-06-08,2007-06-14,,10派0.42元,2006年报
2008-07-09,年度分红,,,0.71,2008-07-14,2008-07-15,2008-07-22,,10派0.71元（含税）,2007年报
2009-07-07,年度分红,,,1.0,2009-07-13,2009-07-14,2009-07-21,,10派1元（含税）,2008年报
2010-06-10,年度分红,,,0.2,2010-06-18,2010-06-21,2010-06-28,,10派0.20元（含税）,2009年报
2011-06-21,年度分红,,,0.44,2011-06-24,2011-06-27,2011-07-04,,10派0.44元(含税),2010年报
2012-06-19,年度分红,,,0.1,2012-06-25,2012-06-26,2012-06-29,,10派0.1元(含税),2011年报
2012-11-20,季度分红,,1.0,,2012-11-23,2012-11-26,,2012-11-27,10转增1股,2012三季报
2013-07-13,年度分红,,,0.06,2013-07-18,2013-07-19,2013-07-25,,10派0.06元(含税),2012年报
2015-06-01,年度分红,,,0.13,2015-06-04,2015-06-05,2015-06-05,,10派0.13元(含税),2014年报
2016-06-16,年度分红,,,0.66,2016-06-21,2016-06-22,2016-06-22,,10派0.66元(含税),2015年报
2017-07-18,年度分红,,,1.0,2017-07-25,2017-07-26,2017-07-26,,10派1元(含税),2016年报
2018-07-06,年度分红,,,0.35,2018-07-12,2018-07-13,2018-07-13,,10派0.35元(含税),2017年报
2019-07-10,年度分红,,,0.58,2019-07-16,2019-07-17,2019-07-17,,10派0.58元(含税),2018年报
2020-06-17,年度分红,,,1.0,2020-06-23,2020-06-24,2020-06-24,,10派1元(含税),2019年报
2021-06-17,年度分红,,2.0,1.24,2021-06-23,2021-06-24,2021-06-24,,10转增2股派1.24元(含税),2020年报
2022-06-29,年度分红,,,1.1,2022-07-06,2022-07-07,2022-07-07,,10派1.1元(含税),2021年报
2023-06-13,年度分红,,,1.9,2023-06-19,2023-06-20,2023-06-20,,10派1.9元(含税),2022年报
2024-07-16,年度分红,,,2.38,2024-07-22,2024-07-23,2024-07-23,,10派2.38元(含税),2023年报
2024-10-23,中期分红,,,1.0,2024-10-30,2024-10-31,2024-10-31,,10派1元(含税),2024半年报
2025-06-12,年度分红,,,1.56,2025-06-18,2025-06-19,2025-06-19,,10派1.56元(含税),2024年报
2025-10-17,中期分红,,,0.7,2025-10-23,2025-10-24,2025-10-24,,10派0.7元(含税),2025半年报
