实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-09-09,中期分红,,,2.0,2010-09-14,2010-09-15,2010-09-15,,10派2元（含税）,2010半年报
2011-04-16,年度分红,,2.0,,2011-04-21,2011-04-22,,2011-04-22,10转增2股,2010年报
2012-05-30,年度分红,2.0,8.0,1.0,2012-06-05,2012-06-06,2012-06-06,2012-06-06,10送2转增8股派1元(含税),2011年报
2014-06-10,年度分红,,10.0,0.2,2014-06-16,2014-06-17,2014-06-17,2014-06-17,10转增10股派0.2元(含税),2013年报
2016-06-24,年度分红,,,0.1,2016-06-29,2016-06-30,2016-06-30,,10派0.1元(含税),2015年报
2017-10-18,中期分红,,,0.1,2017-10-23,2017-10-24,2017-10-24,,10派0.1元(含税),2017半年报
2018-08-22,年度分红,,5.0,0.5,2018-08-27,2018-08-28,2018-08-28,2018-08-28,10转增5股派0.5元(含税),2017年报
2019-08-10,年度分红,,,0.55,2019-08-15,2019-08-16,2019-08-16,,10派0.55元(含税),2018年报
2020-06-20,年度分红,,,0.5,2020-06-30,2020-07-01,2020-07-01,,10派0.5元(含税),2019年报
2021-07-08,年度分红,,,1.0,2021-07-15,2021-07-16,2021-07-16,,10派1元(含税),2020年报
2022-06-17,年度分红,,,2.00358,2022-06-24,2022-06-27,2022-06-27,,10派2.00358元(含税),2021年报
2023-06-27,年度分红,,,1.1,2023-07-03,2023-07-04,2023-07-04,,10派1.1元(含税),2022年报
2024-05-22,年度分红,,,2.5,2024-05-29,2024-05-30,2024-05-30,,10派2.5元(含税),2023年报
2025-05-20,年度分红,,,0.7,2025-05-26,2025-05-27,2025-05-27,,10派0.7元(含税),2024年报
