实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2018-11-27,中期分红,,,1.8,2018-12-03,2018-12-04,2018-12-04,,10派1.8元(含税),2018半年报
2019-08-02,年度分红,,,1.8,2019-08-08,2019-08-09,2019-08-09,,10派1.8元(含税),2018年报
2020-06-19,年度分红,,,2.35,2020-06-29,2020-06-30,2020-06-30,,10派2.35元(含税),2019年报
2021-08-11,年度分红,,,3.75,2021-08-18,2021-08-19,2021-08-19,,10派3.75元(含税),2020年报
2022-08-10,年度分红,,,3.95,2022-08-17,2022-08-18,2022-08-18,,10派3.95元(含税),2021年报
2023-08-14,年度分红,,,2.7,2023-08-21,2023-08-22,2023-08-22,,10派2.7元(含税),2022年报
2024-08-14,年度分红,,,2.5,2024-08-21,2024-08-22,2024-08-22,,10派2.5元(含税),2023年报
2024-12-19,中期分红,,,0.9,2024-12-26,2024-12-27,2024-12-27,,10派0.9元(含税),2024半年报
2025-08-13,年度分红,,,1.65,2025-08-20,2025-08-21,2025-08-21,,10派1.65元(含税),2024年报
2025-12-30,中期分红,,,1.65,2026-01-07,2026-01-08,2026-01-08,,10派1.65元(含税),2025半年报
