实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-08-22,年度分红,,,0.44,2003-08-27,2003-08-28,2003-09-05,,10派0.44元（含税）,2002年报
2004-06-03,年度分红,,,1.1,2004-06-10,2004-06-11,2004-06-18,,10派1.1元(含税),2003年报
2005-07-11,年度分红,,,0.5,2005-07-14,2005-07-15,2005-07-21,,10派0.5元(含税),2004年报
2006-06-27,年度分红,,,1.2,2006-07-03,2006-07-04,2006-07-10,,10派1.2元（含税）,2005年报
2007-05-15,年度分红,,,2.0,2007-05-18,2007-05-21,2007-05-28,,10派2元（含税）,2006年报
2008-04-18,年度分红,,10.0,5.0,2008-04-23,2008-04-24,2008-04-30,,10转增10股派5元（含税）,2007年报
2009-06-05,年度分红,,,5.0,2009-06-10,2009-06-11,2009-06-17,,10派5元（含税）,2008年报
2010-06-18,年度分红,,5.0,5.0,2010-06-23,2010-06-24,2010-06-29,2010-06-25,10转增5股派5元（含税）,2009年报
2011-06-08,年度分红,,,5.0,2011-06-15,2011-06-16,2011-06-22,,10派5元(含税),2010年报
2012-07-27,年度分红,,,4.3,2012-08-01,2012-08-02,2012-08-09,,10派4.3元(含税),2011年报
2013-08-02,年度分红,,,3.0,2013-08-07,2013-08-08,2013-08-16,,10派3元(含税),2012年报
2014-08-08,年度分红,,,1.5,2014-08-14,2014-08-15,2014-08-15,,10派1.5元(含税),2013年报
2015-08-07,年度分红,,,2.8185,2015-08-13,2015-08-14,2015-08-14,,10派2.8185元(含税),2014年报
2016-08-12,年度分红,,,5.0,2016-08-18,2016-08-19,2016-08-19,,10派5元(含税),2015年报
2017-08-11,年度分红,,,3.5,2017-08-17,2017-08-18,2017-08-18,,10派3.5元(含税),2016年报
2018-08-17,年度分红,,,4.0,2018-08-23,2018-08-24,2018-08-24,,10派4元(含税),2017年报
2019-07-26,年度分红,,,3.5,2019-08-01,2019-08-02,2019-08-02,,10派3.5元(含税),2018年报
2020-08-14,年度分红,,,5.0,2020-08-20,2020-08-21,2020-08-21,,10派5元(含税),2019年报
2021-08-13,年度分红,,,4.0,2021-08-19,2021-08-20,2021-08-20,,10派4元(含税),2020年报
2022-08-19,年度分红,,,5.4,2022-08-25,2022-08-26,2022-08-26,,10派5.4元(含税),2021年报
2023-08-18,年度分红,,,4.9,2023-08-24,2023-08-25,2023-08-25,,10派4.9元(含税),2022年报
2024-08-16,年度分红,,,4.75,2024-08-23,2024-08-26,2024-08-26,,10派4.75元(含税),2023年报
2024-12-14,中期分红,,,2.4,2024-12-19,2024-12-20,2024-12-20,,10派2.4元(含税),2024半年报
2025-08-19,年度分红,,,2.8,2025-08-22,2025-08-25,2025-08-25,,10派2.8元(含税),2024年报
2026-02-03,中期分红,,,2.9,2026-02-06,2026-02-09,2026-02-09,,10派2.9元(含税),2025半年报
