实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2014-05-13,年度分红,,10.0,5.0,2014-05-16,2014-05-19,2014-05-23,2014-05-20,10转增10股派5元（含税）,2013年报
2015-04-09,年度分红,,8.0,8.5,2015-04-14,2015-04-15,2015-04-15,2015-04-16,10转增8股派8.5元(含税),2014年报
2016-04-11,年度分红,,,6.0,2016-04-14,2016-04-15,2016-04-15,,10派6元(含税),2015年报
2017-04-19,年度分红,,,6.8,2017-04-24,2017-04-25,2017-04-25,,10派6.8元(含税),2016年报
2018-04-20,年度分红,,,8.5,2018-04-25,2018-04-26,2018-04-26,,10派8.5元(含税),2017年报
2019-04-26,年度分红,,,9.8,2019-05-06,2019-05-07,2019-05-07,,10派9.8元(含税),2018年报
2020-04-28,年度分红,,2.0,10.8,2020-05-06,2020-05-07,2020-05-07,,10转增2股派10.8元(含税),2019年报
2021-05-11,年度分红,1.0,2.0,10.3,2021-05-14,2021-05-17,2021-05-17,,10送1转增2股派10.3元(含税),2020年报
2022-04-23,年度分红,1.0,,7.6,2022-04-28,2022-04-29,2022-04-29,,10送1股派7.6元(含税),2021年报
2023-05-26,年度分红,2.0,,7.0,2023-05-31,2023-06-01,2023-06-01,,10送2股派7元(含税),2022年报
2024-06-13,年度分红,,,6.6,2024-06-18,2024-06-19,2024-06-19,,10派6.6元(含税),2023年报
2025-05-29,年度分红,,,8.6,2025-06-04,2025-06-05,2025-06-05,,10派8.6元(含税),2024年报
2025-09-18,中期分红,,,2.6,2025-09-23,2025-09-24,2025-09-24,,10派2.6元(含税),2025半年报
2026-01-31,特别分红,,,3.0,2026-02-05,2026-02-06,2026-02-06,,10派3元(含税),2025年报
