实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-10-21,中期分红,0.0,0.0,0.29,1998-10-23,1998-10-26,1998-10-27,,10派0.29元(含税),1998半年报
1999-06-10,年度分红,0.0,0.0,0.57,1999-06-15,1999-06-16,1999-06-17,,10派0.57元（含税）,1998年报
2000-06-23,年度分红,,,0.89,2000-06-28,2000-06-29,2000-06-30,,10派0.89元（含税）,1999年报
2001-06-18,年度分红,,,0.82,2001-06-22,2001-06-25,2001-06-29,,10派0.82元(含税),2000年报
2002-06-17,年度分红,,,1.0,2002-06-21,2002-06-24,2002-06-28,,10派1元(含税),2001年报
2003-07-07,年度分红,,,1.04,2003-07-11,2003-07-14,2003-07-18,,10股派1.04元(含税),2002年报
2004-07-05,年度分红,,,1.64,2004-07-08,2004-07-09,2004-07-15,,10派1.64元(含税),2003年报
2005-07-21,年度分红,,6.0,2.6,2005-07-26,2005-07-27,2005-08-02,,10转增6股派2.6元(含税),2004年报
2006-07-10,年度分红,,,2.2,2006-07-13,2006-07-14,2006-07-20,,10派2.2元（含税）,2005年报
2007-06-28,年度分红,,,2.0,2007-07-03,2007-07-04,2007-07-10,,10派2元（含税）,2006年报
2008-07-16,年度分红,,,1.7,2008-07-21,2008-07-22,2008-07-28,,10派1.7元（含税）,2007年报
2009-07-15,年度分红,,,4.0,2009-07-20,2009-07-21,2009-07-27,,10派4元（含税）,2008年报
2010-07-14,年度分红,,,2.5,2010-07-19,2010-07-20,2010-07-26,,10派2.5元（含税）,2009年报
2011-06-16,年度分红,,,5.9,2011-06-21,2011-06-22,2011-06-27,,10派5.9元(含税),2010年报
2012-07-06,年度分红,,,5.7,2012-07-11,2012-07-12,2012-07-19,,10派5.7元(含税),2011年报
2013-06-17,年度分红,,,3.6,2013-06-20,2013-06-21,2013-06-27,,10派3.6元(含税),2012年报
2014-06-13,年度分红,,,0.2,2014-06-18,2014-06-19,2014-06-19,,10派0.2元(含税),2013年报
2015-06-11,年度分红,,,0.2,2015-06-17,2015-06-18,2015-06-18,,10派0.2元(含税),2014年报
2016-06-24,年度分红,,,0.1,2016-06-29,2016-06-30,2016-06-30,,10派0.1元(含税),2015年报
2017-07-10,年度分红,,,1.2,2017-07-13,2017-07-14,2017-07-14,,10派1.2元(含税),2016年报
2018-06-05,年度分红,,,4.8,2018-06-08,2018-06-11,2018-06-11,,10派4.8元(含税),2017年报
2019-06-04,年度分红,,,5.4,2019-06-10,2019-06-11,2019-06-11,,10派5.4元(含税),2018年报
2019-11-12,中期分红,,,10.0,2019-11-18,2019-11-19,2019-11-19,,10派10元(含税),2019半年报
2020-07-01,年度分红,,,5.8,2020-07-06,2020-07-07,2020-07-07,,10派5.8元(含税),2019年报
2021-07-15,年度分红,,,6.0,2021-07-22,2021-07-23,2021-07-23,,10派6元(含税),2020年报
2021-07-15,特别分红,,,4.0,2021-07-22,2021-07-23,2021-07-23,,10派4元(含税),2020年报
2022-07-08,特别分红,,,4.0,2022-07-13,2022-07-14,2022-07-14,,10派4元(含税),2021年报
2022-07-08,年度分红,,,16.0,2022-07-13,2022-07-14,2022-07-14,,10派16元(含税),2021年报
2023-07-10,年度分红,5.0,,30.7,2023-07-14,2023-07-17,2023-07-17,,10送5股派30.7元(含税),2022年报
2023-07-10,特别分红,,,12.3,2023-07-14,2023-07-17,2023-07-17,,10派12.3元(含税),2022年报
2024-07-01,年度分红,3.0,,14.9,2024-07-05,2024-07-08,2024-07-08,,10送3股派14.9元(含税),2023年报
2024-11-04,中期分红,,,2.3,2024-11-08,2024-11-11,2024-11-11,,10派2.3元(含税),2024半年报
2025-06-10,年度分红,,,5.4,2025-06-17,2025-06-18,2025-06-18,,10派5.4元(含税),2024年报
2025-09-08,中期分红,,,1.8,2025-09-15,2025-09-16,2025-09-16,,10派1.8元(含税),2025半年报
