报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,28520991718.49,,,,,,,,10482755.77,,,12152619.28,356320444.72,28899947538.26,24543727886.37,138026773.94,,,,,3219144198.87,255643112.49,719073038.13,28875615009.8,24332528.46,,1834781984.99,27329007.19,2332734.78,,,,,1864443726.96,934866050.16,1823703348.63,,,,,2758569398.79,-894125671.83,,59265000.0,59265000.0,4372812182.0,,5519651.92,4437596833.92,2851353027.04,51180850.06,,324345639.9,3226879517.0,1210717316.92,-28818249.6,312105923.95,2998575733.57,,,,,3310681657.52,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T19:06:08
20251231,,129308694882.04,26966535.77,0.0,0.0,0.0,0.0,0.0,,60823653.04,0.0,0.0,56131421.72,984780208.74,130437396701.31,112593487329.63,0.0,0.0,0.0,0.0,0.0,7426304692.89,1265053959.21,2892173396.36,124177019378.09,6260377323.22,,18846583137.19,59030385.9,97472689.61,37688250.55,72137638.88,,,19112912102.13,3336532557.69,16510170488.75,0.0,507360140.08,,100460328.3,20454523514.82,-1341611412.69,,72750000.0,72750000.0,5053801279.66,,146766897.87,5273318177.53,6582127115.88,2624222051.83,303258462.14,1242868791.7,10449217959.41,-5175899781.88,-71235140.56,-328369011.91,3326944745.48,2998575733.57,3326944745.48,,,2998575733.57,定期报告,是,20260428,CNY,合并期末,2026-04-27T19:06:08
20250930,,94141795786.97,,,,,,,,37347187.59,,,40872935.35,781107912.98,95001123822.89,81396549111.28,85956315.53,,,,,5808112383.68,842746322.35,1850326870.88,89983691003.72,5017432819.17,,11249986814.33,137276947.94,49590502.42,37704735.55,,,,11474559000.24,2379130322.5,10898444561.16,,11381008.58,,191755482.42,13480711374.66,-2006152374.42,,66510000.0,66510000.0,3748242185.78,,164586232.54,3979338418.32,4746503070.1,2470732508.88,176662794.13,438217280.06,7655452859.04,-3676114440.72,-37484117.49,-702318113.46,3326944745.48,,,,,2624626632.02,定期报告,未审计,20251018,CNY,合并期末,2025-10-17T19:00:20
20250630,,57989270128.35,,,,,,,,19240070.29,,,22371451.08,507614979.38,58538496629.1,49360316684.32,50096917.55,,,,,4328527998.52,545833423.22,1205631522.95,55490406546.56,3048090082.54,,7500147177.49,91883146.95,49590502.42,6619145.55,0.0,,,7648239972.41,1622447933.25,6161435250.34,,11381008.58,,2000000.0,7797264192.17,-149024219.76,,60360000.0,60360000.0,2943787183.11,,150734182.78,3154881365.89,3761033629.63,2050853389.65,119772470.39,229841031.99,6041728051.27,-2886846685.38,-25149217.58,-12930040.18,3326944745.48,3314014705.3,3326944745.48,,,3314014705.3,定期报告,未审计,20250729,CNY,合并期末,2025-07-28T19:26:08
20250331,,24815755135.13,,,,,,,,12995149.26,,,5744201.87,252886100.55,25087380586.81,23499880591.17,29862372.91,,,,,2882627847.35,303505433.41,621336987.94,27337213232.78,-2249832645.97,,4018006310.04,30450184.28,35276255.76,,,,,4083732750.08,894131623.76,919596545.75,,,,,1813728169.51,2270004580.57,,7200000.0,7200000.0,2245413747.0,,11968253.91,2264582000.91,2278635943.2,144089565.24,,81973108.84,2504698617.28,-240116616.37,-7810329.97,-227755011.74,3326944745.48,,,,,3099189733.74,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T19:08:05
20241231,,116288967039.94,80140331.9,0.0,0.0,0.0,0.0,0.0,,56208399.1,0.0,0.0,24169583.78,1357948263.0,117807433617.72,99850308469.21,0.0,0.0,0.0,0.0,0.0,6296452000.72,1038486646.44,2625931126.3,109811178242.67,7996255375.05,,17096194296.74,66958758.23,155745226.93,58274059.8,22888411.53,,,17400060753.23,3136747295.93,20600132997.25,0.0,6081935.84,,62604501.99,23805566731.01,-6405505977.78,,76800000.0,76800000.0,7248186028.12,,425519628.41,7750505656.53,9496523043.54,1282219907.31,145187839.06,582230094.03,11360973044.88,-3610467388.35,-20585936.88,-2040303927.96,5367248673.44,3326944745.48,5367248673.44,,,3326944745.48,定期报告,是,20260428,CNY,合并期末,2026-04-27T19:08:05
20240930,,83335975912.79,,,,,,,,28298613.76,,,23874675.91,1340341987.38,84728491189.84,68823636914.03,-20150805.78,,,,,4848376714.78,715286096.76,2547476020.85,76914624940.64,7813866249.2,,5044254324.79,144807518.0,101648772.64,27815317.11,,,,5318525932.54,2257043164.69,8810799608.75,,,,,11067842773.44,-5749316840.9,,62600000.0,62600000.0,6637068438.41,,151714395.49,6851382833.9,7251733956.5,1210630836.14,126972508.99,329245892.25,8791610684.89,-1940227850.99,-26495575.04,97825982.27,5367248673.44,,,,,5465074655.71,定期报告,未审计,20251018,CNY,合并期末,2024-10-18T16:25:07
20240630,,51353424620.37,,,,,,,,18178124.67,,,8931217.11,800089448.57,52180623410.72,44811210004.52,-37275989.94,,,,,3551424416.63,511110535.57,1443007044.48,50279476011.26,1901147399.46,,2589238284.29,117803183.2,59860372.14,0.0,0.0,,,2766901839.63,1583453262.44,3285365141.31,,0.0,,0.0,4868818403.75,-2101916564.12,,32400000.0,32400000.0,6444155021.21,,149877489.77,6626432510.98,6842858110.74,177681207.15,4063778.37,195187301.84,7215726619.73,-589294108.75,-37097854.42,-827161127.83,5367248673.44,4540087545.61,5367248673.44,,,4540087545.61,定期报告,未审计,20250729,CNY,合并期末,2024-07-29T19:20:03
20240331,,22806354545.34,,,,,,,,9937115.76,,,1321177.75,450275984.15,23267888823.0,22489028308.52,-36802209.34,,,,,2302030947.38,297382954.92,763145927.22,25814785928.7,-2546897105.7,,963200716.76,89179485.07,10956735.9,,,,,1063336937.73,846361713.76,1356863703.32,,,,,2203225417.08,-1139888479.35,,3000000.0,3000000.0,3746679713.18,,12436109.4,3762115822.58,2137570121.48,71163631.91,4063778.37,97107742.53,2305841495.92,1456274326.66,-31328157.78,-2261839416.17,5367248673.44,,,,,3105409257.27,定期报告,未审计,20250422,CNY,合并期末,2024-04-22T18:50:06
20231231,,117485829661.53,128871293.5,0.0,0.0,0.0,0.0,0.0,,66569305.4,0.0,0.0,29563190.49,1365246170.4,119076079621.32,97219238071.9,0.0,0.0,0.0,0.0,0.0,5650761173.21,974104444.25,2533601232.42,106377704921.78,12698374699.54,,5344558061.06,245375459.48,15826538.51,0.0,50019465.23,,,5655779524.28,3353272322.86,6049784835.23,0.0,49243279.6,,23453842.66,9475754280.35,-3819974756.07,,200497037.71,47350000.0,9804523690.84,,358652860.27,10363673588.82,13572759670.89,1282542853.15,98854783.2,1161542718.88,16016845242.92,-5653171654.1,19871133.73,3245099423.1,2122149250.34,5367248673.44,2122149250.34,,,5367248673.44,定期报告,是,20250422,CNY,合并期末,2024-04-22T20:00:15
20230930,,85988266637.8,,,,,,,,27108237.96,,,26153356.45,1632062782.96,87673591015.17,71583590931.56,-66972360.17,,,,,4398847191.11,749592236.17,1709662747.79,78374720746.46,9298870268.71,,1792824127.79,298274327.92,16428624.15,,,,,2107527079.86,2558317080.32,1736864707.65,,-14084635.97,,,4281097152.0,-2173570072.14,,194389301.89,41100000.0,9655569671.9,,274434624.79,10124393598.58,10564191034.36,1228080290.28,96897818.06,655048237.86,12447319562.5,-2322925963.92,1683497.49,4804057730.14,2122149250.34,,,,,6926206980.48,定期报告,未审计,20241019,CNY,合并期末,2023-10-19T18:10:23
20230630,,52760881745.29,,,,,,,,16706912.77,,,17001084.15,1129655346.41,53924245088.62,43655337707.73,-41237133.11,,,,,3165386827.29,505952609.74,1092365246.56,48377805258.21,5546439830.41,,974573657.54,174493622.14,14348626.17,,,,,1163415905.85,1779759022.66,924689207.0,,0.0,,,2704448229.66,-1541032323.81,,193739301.89,40450000.0,8181609710.21,,19789030.82,8395138042.92,8216490852.06,305628066.25,30000000.0,555790461.95,9077909380.26,-682771337.34,11482626.47,3334118795.73,2122149250.34,5456268046.07,2122149250.34,,,5456268046.07,定期报告,未审计,20240730,CNY,合并期末,2023-08-28T19:00:02
