报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4888740134.0,,,,,,,,,,,29260900.0,92026541.0,5010027575.0,2434260999.0,,,,,,1212096115.0,486913080.0,627146064.0,4760416258.0,249611317.0,,7730308000.0,23123290.0,1447692.0,,,,,7754878982.0,412297361.0,8136936720.0,,,,,8549234081.0,-794355099.0,,,,2121267824.0,,483704507.0,2604972331.0,1506370554.0,14344264.0,,37948075.0,1558662893.0,1046309438.0,-806895.0,500758761.0,5936671729.0,,,,,6437430490.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:06:26
20251231,,21640073663.0,,,,,,,,,,,229778400.0,510339607.0,22380191670.0,11438946661.0,,,,,,3588802394.0,2365767100.0,2344607230.0,19738123385.0,2642068285.0,,24252576164.0,170522117.0,10803354.0,11898478.0,,,,24445800113.0,1622489729.0,24109216400.0,,2354956.0,,,25734061085.0,-1288260972.0,,1797570052.0,1797570052.0,4656527844.0,,348446573.0,6802544469.0,4671387976.0,1331140752.0,240433226.0,115986460.0,6118515188.0,684029281.0,-45926939.0,1991909655.0,3944762074.0,5936671729.0,3944762074.0,,,5936671729.0,定期报告,是,20260403,CNY,合并期末,2026-04-02T20:58:03
20250930,,15512135704.0,,,,,,,,,,,205102054.0,328836758.0,16046074516.0,8281083565.0,,,,,,2805721976.0,1638688841.0,1636137802.0,14361632184.0,1684442332.0,,20206939312.0,152925359.0,11340699.0,11898478.0,,,,20383103848.0,1160484894.0,20595031616.0,,10750000.0,,,21766266510.0,-1383162662.0,,1797570051.0,1797570051.0,4333248091.0,,50938717.0,6181756859.0,2906363732.0,1110787797.0,240433306.0,87652023.0,4104803552.0,2076953307.0,-8625875.0,2369607102.0,3944762074.0,,,,,6314369176.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:28:15
20250630,,10336605807.0,,,,,,,,,,,188459681.0,203590294.0,10728655782.0,5301731454.0,,,,,,2013620114.0,1136899242.0,1086870095.0,9539120905.0,1189534877.0,,12641939312.0,110526769.0,10558887.0,11357500.0,28783040.0,,,12803165508.0,766900166.0,12554019461.0,,10750000.0,,,13331669627.0,-528504119.0,,1790370051.0,1790370051.0,1997040000.0,,32542490.0,3819952541.0,1496363732.0,1088476768.0,240433306.0,67127929.0,2651968429.0,1167984112.0,-2186965.0,1826827905.0,3944762074.0,5771589979.0,3944762074.0,,,5771589979.0,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T21:30:06
20250331,,5020068006.0,,,,,,,,,,,86337019.0,77712228.0,5184117253.0,2567894831.0,,,,,,1240832415.0,507186351.0,418819412.0,4734733009.0,449384244.0,,3984820000.0,27840921.0,689987.0,,5000000.0,,,4018350908.0,412916449.0,4295505819.0,,,,,4708422268.0,-690071360.0,,,,1403460000.0,,27130995.0,1430590995.0,990238732.0,25875346.0,240000.0,47280094.0,1063394172.0,367196823.0,3846622.0,130356329.0,3944762074.0,,,,,4075118403.0,定期报告,未审计,20260429,CNY,合并期末,2025-04-29T17:02:09
20241231,,25272264283.0,,,,,,,,,,,114794300.0,380397499.0,25767456082.0,12405028441.0,,,,,,3487925029.0,2883953841.0,2497686927.0,21274594238.0,4492861844.0,,11062613927.0,209569216.0,8363821.0,36896500.0,,,,11317443464.0,1678259615.0,11378623171.0,,2510000.0,,77418669.0,13136811455.0,-1819367991.0,,523336701.0,523336701.0,4914109872.0,,183845972.0,5621292545.0,6593687006.0,2014622932.0,203053883.0,317258713.0,8925568651.0,-3304276106.0,-12779820.0,-643562073.0,4588324147.0,3944762074.0,4588324147.0,,,3944762074.0,定期报告,是,20260403,CNY,合并期末,2025-04-23T20:28:06
20240930,,18804468884.0,,,,,,,,,,,99932333.0,262311268.0,19166712485.0,9204638631.0,,,,,,2616989544.0,2171051955.0,1898607775.0,15891287905.0,3275424580.0,,9324058478.0,190930034.0,3883098.0,36896500.0,,,,9555768110.0,1282437437.0,9662992063.0,,,,,10945429500.0,-1389661390.0,,523336701.0,523336701.0,4173527321.0,,163882491.0,4860746513.0,4378627533.0,1569023488.0,203053953.0,281781587.0,6229432608.0,-1368686095.0,-10344335.0,506732760.0,4588324147.0,,,,,5095056907.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-28T19:05:16
20240630,,12800385192.0,,,,,,,,,,,79900638.0,230523429.0,13110809259.0,5946637100.0,,,,,,1854117138.0,1561338204.0,1216017586.0,10578110028.0,2532699231.0,,4028556756.0,112813303.0,3319646.0,36896500.0,0.0,,,4181586205.0,907660841.0,3434097778.0,,,,,4341758619.0,-160172414.0,,517405701.0,517405701.0,2960413183.0,,111209854.0,3589028738.0,2717637950.0,1544556251.0,203053953.0,210129880.0,4472324081.0,-883295343.0,-1529083.0,1487702391.0,4588324147.0,6076026538.0,4588324147.0,,,6076026538.0,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T20:50:16
20240331,,6390508152.0,,,,,,,,,,,33220700.0,137340174.0,6561069026.0,2727111123.0,,,,,,1210134169.0,667195211.0,677865407.0,5282305910.0,1278763116.0,,1752222300.0,18778509.0,1848213.0,,,,,1772849022.0,537215213.0,565000000.0,,,,,1102215213.0,670633809.0,,750000.0,750000.0,1127117770.0,,76426913.0,1204294683.0,1356000000.0,36379049.0,600000.0,119953556.0,1512332605.0,-308037922.0,1810606.0,1643169609.0,4588324147.0,,,,,6231493756.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-24T21:55:04
20231231,,26367805489.0,,,,,,,,,,,152527104.0,533516201.0,27053848794.0,13672384621.0,,,,,,3173438003.0,2728978698.0,2141978541.0,21716779863.0,5337068931.0,,5810553062.0,134682794.0,1278240.0,80785900.0,,,,6027299996.0,1769184708.0,7618306944.0,,,,10133334.0,9397624986.0,-3370324990.0,,2491112020.0,2491112020.0,4027800000.0,,157615227.0,6676527247.0,7264643334.0,1239028920.0,112320768.0,231620681.0,8735292935.0,-2058765688.0,5194000.0,-86827747.0,4675151894.0,4588324147.0,4675151894.0,,,4588324147.0,定期报告,是,20250424,CNY,合并期末,2024-04-24T21:50:07
