报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,465978000000.0,1299797000000.0,,,,29655000000.0,19965000000.0,,409112000000.0,,260456000000.0,,,,,,,,,,,,,,,,,,30398000000.0,2515361000000.0,1207623000000.0,29297000000.0,,,,,,,,6744000000.0,,,,191709000000.0,,,34861000000.0,,,,,,,,,12894000000.0,26477000000.0,185961000000.0,1920928000000.0,594433000000.0,,730757000000.0,70361000000.0,,,1976000000.0,,587000000.0,,,803681000000.0,1519746000000.0,,,,,2723000000.0,229000000.0,,1522698000000.0,-719017000000.0,,9000000.0,,,,,,,9000000.0,16906000000.0,52422000000.0,5600000000.0,,1731000000.0,71059000000.0,-71050000000.0,-2387000000.0,-198021000000.0,,,,,1061844000000.0,863823000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:50:08
20251231,,,156278000000.0,3643671000000.0,,,,29550000000.0,,749419000000.0,,,1043475000000.0,,,,,,,,,,,,,,,,,,215000000000.0,5972262000000.0,2074625000000.0,49091000000.0,,,128203000000.0,,,,,,,234973000000.0,,588939000000.0,,,128459000000.0,,,,,,,,,188719000000.0,123244000000.0,354767000000.0,3871020000000.0,2101242000000.0,,3350652000000.0,324433000000.0,,,4029000000.0,,623000000.0,,,3679737000000.0,5416640000000.0,,,,,23564000000.0,4359000000.0,,5444563000000.0,-1764826000000.0,,105039000000.0,,,283873000000.0,,,,428909000000.0,118569000000.0,139274000000.0,31096000000.0,,7276000000.0,265119000000.0,163790000000.0,-7810000000.0,492396000000.0,1061844000000.0,569448000000.0,,,569448000000.0,1061844000000.0,定期报告,是,20260328,CNY,合并期末,2026-03-27T22:06:03
20250930,,,176103000000.0,3475094000000.0,,,,54835000000.0,,738706000000.0,,,801425000000.0,,,,,,,,,,,,,,,,,,114332000000.0,5607130000000.0,1926759000000.0,,,,163414000000.0,,,,,,,571956000000.0,,475085000000.0,,,94083000000.0,,,,,,,,,156993000000.0,96982000000.0,304478000000.0,3789750000000.0,1817380000000.0,,2513782000000.0,244662000000.0,,,3421000000.0,,414000000.0,,,2762279000000.0,4077895000000.0,,,,,12275000000.0,2701000000.0,,4092871000000.0,-1330592000000.0,,104994000000.0,,,198090000000.0,,,,343081000000.0,108569000000.0,124011000000.0,19824000000.0,,5393000000.0,237973000000.0,105108000000.0,-5023000000.0,586873000000.0,1156321000000.0,569448000000.0,,,569448000000.0,1156321000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:34:04
20250630,,,254779000000.0,2745970000000.0,,,,47186000000.0,,297476000000.0,,,535854000000.0,,,,,,,,,,,,,,,,,,93912000000.0,4533820000000.0,1666880000000.0,,,,104086000000.0,,,,,,,649391000000.0,,303906000000.0,,,62660000000.0,,,,,,,,,117817000000.0,71694000000.0,279142000000.0,3277206000000.0,1256614000000.0,,1758997000000.0,150323000000.0,,,794000000.0,,293000000.0,,,1910407000000.0,2733734000000.0,,,,,5251000000.0,2611000000.0,,2741596000000.0,-831189000000.0,,104994000000.0,,,90590000000.0,,,,235581000000.0,38887000000.0,110567000000.0,9747000000.0,,3661000000.0,153115000000.0,82466000000.0,-4396000000.0,503495000000.0,1072943000000.0,569448000000.0,,,569448000000.0,1072943000000.0,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:56:03
20250331,,,,1673098000000.0,,,,17479000000.0,,279955000000.0,,,287989000000.0,,,,,,,,,,,,,,,,,,73731000000.0,2772950000000.0,1196453000000.0,56907000000.0,,,33030000000.0,53098000000.0,,,,,,146661000000.0,,186122000000.0,,,33508000000.0,,,,,,,,,56818000000.0,43053000000.0,195167000000.0,2051883000000.0,721067000000.0,,644163000000.0,67861000000.0,,,290000000.0,,34000000.0,,,712348000000.0,1213952000000.0,,,,,2872000000.0,602000000.0,,1217426000000.0,-505078000000.0,,,,,41500000000.0,,,,41500000000.0,5000000000.0,55166000000.0,5914000000.0,,1629000000.0,61795000000.0,-20295000000.0,-1309000000.0,194385000000.0,763833000000.0,569448000000.0,,,569448000000.0,763833000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:46:05
20241231,,,,1019759000000.0,,,,64669000000.0,,503566000000.0,356643000000.0,,1126650000000.0,,,,,,,,,,,,,,,,,,362878000000.0,3949764000000.0,2050108000000.0,,,,70845000000.0,212696000000.0,,,,,,,,589646000000.0,,,127166000000.0,,,,,,,,,4037000000.0,140878000000.0,404451000000.0,3611741000000.0,338023000000.0,,2684393000000.0,302680000000.0,,,5547000000.0,,1457000000.0,,,2994077000000.0,3654799000000.0,,,,,29172000000.0,2738000000.0,,3686709000000.0,-692632000000.0,,765000000.0,,,273078000000.0,,,,273843000000.0,96491000000.0,136945000000.0,29592000000.0,,7605000000.0,281041000000.0,-7198000000.0,5792000000.0,-356015000000.0,569448000000.0,925463000000.0,,,925463000000.0,569448000000.0,定期报告,是,20260328,CNY,合并期末,2025-03-28T18:00:03
20240930,,,,2209613000000.0,,,,26226000000.0,48964000000.0,,226700000000.0,,843557000000.0,,,,,,,,,,,,,,,,,,194217000000.0,4131469000000.0,1970753000000.0,,,,,9174000000.0,,,,191701000000.0,,,,473456000000.0,,,89440000000.0,,,,,,,,,1971000000.0,107789000000.0,332316000000.0,3176600000000.0,954869000000.0,,1882043000000.0,233577000000.0,,,5371000000.0,,1275000000.0,,,2122266000000.0,2578447000000.0,,,,,12509000000.0,2120000000.0,,2593076000000.0,-470810000000.0,,494000000.0,,,195012000000.0,,,,195506000000.0,87194000000.0,123287000000.0,19939000000.0,,4869000000.0,215350000000.0,-19844000000.0,-3889000000.0,460326000000.0,1385789000000.0,925463000000.0,,,925463000000.0,1385789000000.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:00:03
20240630,,,,1652919000000.0,,,,65852000000.0,,,89599000000.0,,569013000000.0,,,,,,,,,,,,,,,,,,149029000000.0,2907987000000.0,1606799000000.0,,,,5641000000.0,58841000000.0,,,,182668000000.0,,,,324131000000.0,,,61314000000.0,,,,,,,,,7709000000.0,92672000000.0,249109000000.0,2617182000000.0,290805000000.0,,1272451000000.0,157847000000.0,,,2930000000.0,,1139000000.0,,,1434367000000.0,1503895000000.0,,,,,11034000000.0,362000000.0,,1515291000000.0,-80924000000.0,,23000000.0,,,85400000000.0,,,,85423000000.0,64194000000.0,9898000000.0,9898000000.0,,3931000000.0,78023000000.0,7400000000.0,5675000000.0,222956000000.0,1148419000000.0,925463000000.0,,,925463000000.0,1148419000000.0,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T19:25:03
20240331,,,,1875424000000.0,,,36624000000.0,14692000000.0,30696000000.0,,132954000000.0,,298382000000.0,,,,,,,,,,,,,,,,,,120864000000.0,2509636000000.0,1173972000000.0,,,,,22815000000.0,,,,181668000000.0,,,,184268000000.0,,,32519000000.0,,,,,,,,,22654000000.0,75435000000.0,161911000000.0,2300301000000.0,209335000000.0,,523200000000.0,69528000000.0,,,398000000.0,,383000000.0,,,593509000000.0,719523000000.0,,,,,8927000000.0,100000000.0,,728550000000.0,-135041000000.0,,5000000.0,,,80000000000.0,,,,80005000000.0,35393000000.0,4411000000.0,4411000000.0,,1625000000.0,41429000000.0,38576000000.0,4056000000.0,116926000000.0,1042389000000.0,925463000000.0,,,925463000000.0,1042389000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T22:35:03
20231231,,,376760000000.0,2774550000000.0,,,,34091000000.0,,,61463000000.0,12956000000.0,1143120000000.0,,,,,,,,,,,,,,,,,,330954000000.0,4945729000000.0,2704137000000.0,111364000000.0,,,136228000000.0,,,,,9008000000.0,,,,586476000000.0,,,126115000000.0,,,,,,,,,,135374000000.0,457132000000.0,4302879000000.0,642850000000.0,,1920946000000.0,268039000000.0,,,4312000000.0,,2484000000.0,,,2195781000000.0,2990814000000.0,,,,,25093000000.0,1128000000.0,,3017035000000.0,-821254000000.0,,3428000000.0,,,148642000000.0,,,,212057000000.0,122748000000.0,128678000000.0,26113000000.0,,7958000000.0,259384000000.0,-47327000000.0,7542000000.0,-218189000000.0,925463000000.0,1143652000000.0,,,1143652000000.0,925463000000.0,定期报告,是,20250329,CNY,合并期末,2024-03-28T21:35:03
