报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,25440592698.67,,,,,,,,,,,876220423.64,358300746.76,26675113869.07,18530396228.36,,,,,,7168362160.29,1644821191.84,1551978699.69,28895558280.18,-2220444411.11,,6511173206.45,4738821.41,3479958.88,,,,,6519391986.74,757834840.2,6545618193.36,,,,,7303453033.56,-784061046.82,,,,300283543.63,,,300283543.63,1765216934.05,36830189.16,,66547975.49,1868595098.7,-1568311555.07,-104499119.68,-4677316132.68,46204338694.43,,,,,41527022561.75,定期报告,未审计,20260418,CNY,合并期末,2026-04-17T21:30:07
20251231,,110851861667.39,,,,,,,,,,,4574799179.86,1668187926.86,117094848774.11,58196958549.18,,,,,,19396804823.36,6768170395.59,7393503922.88,91755437691.01,25339411083.1,,7234092299.32,118961485.27,131351808.26,,92193210.15,,,7576598803.0,3622046664.67,7361187952.19,,680000.0,,10000000.0,10993914616.86,-3417315813.86,,,,4557559611.21,,,4557559611.21,3800767439.32,10565079386.24,299850145.35,1954264566.57,16320111392.13,-11762551780.92,-8247174.18,10151296314.14,36053042380.29,46204338694.43,36053042380.29,,,46204338694.43,定期报告,是,20260418,CNY,合并期末,2026-04-17T21:42:02
20250930,,78369270196.9,,,,,,,,,,,3236882063.37,1186697756.92,82792850017.19,43989344135.13,,,,,,15020772578.45,4871467136.41,5214237658.15,69095821508.14,13697028509.05,,3485922506.33,94952951.57,116817690.29,,83324543.71,,,3781017691.9,3084953932.55,3526776934.84,,,,,6611730867.39,-2830713175.49,,,,2958594145.25,,,2958594145.25,3214101612.1,8446049990.6,,1891269646.27,13551421248.97,-10592827103.72,47525893.69,321014123.53,36053042380.29,,,,,36374056503.82,定期报告,未审计,20251018,CNY,合并期末,2025-10-17T17:58:16
20250630,,49701456543.93,,,,,,,,,,,2107945151.93,812956336.79,52622358032.65,30095263185.08,,,,,,10757613386.8,3064520777.31,3361941045.57,47279338394.76,5343019637.89,,2065280790.61,49248130.84,35758008.99,,58311055.86,,,2208597986.3,1977761423.32,2109648712.07,,,,,4087410135.39,-1878812149.09,,,,2498536695.29,,,2498536695.29,2608183590.81,6798273559.09,276437692.96,1642655475.56,11049112625.46,-8550575930.17,31873905.87,-5054494535.5,36053042380.29,30998547844.79,36053042380.29,,,30998547844.79,定期报告,未审计,20250802,CNY,合并期末,2025-08-01T19:52:04
20250331,,24149423217.69,,,,,,,,,,,861173833.37,442289248.01,25452886299.07,17851083497.95,,,,,,6461282265.23,1240080114.48,1637813427.11,27190259304.77,-1737373005.7,,993325090.14,19245907.7,7530424.5,,52011400.17,,,1072112822.51,937932093.66,976110494.0,,,,,1914042587.66,-841929765.15,,,,1528386931.72,,,1528386931.72,1368376992.04,51396500.14,,973190611.66,2392964103.84,-864577172.12,23889834.25,-3419990108.72,36053042380.29,,,,,32633052271.57,定期报告,未审计,20260418,CNY,合并期末,2025-04-18T20:40:05
20241231,,98512386004.95,,,,,,,,,,,4198239416.84,1760845198.13,104471470619.92,56858146890.75,,,,,,20140688302.14,6679316991.2,7529226413.1,91207378597.19,13264092022.73,,3002416092.15,67333430.58,18893652.3,,84419763.14,,,3173062938.17,4665742203.72,3046421031.55,,8440700.0,,,7720603935.27,-4547540997.1,,149000000.0,149000000.0,7214406837.74,,2007056.47,7365413894.21,17073833780.12,8993845346.34,327176023.62,3376723553.38,29444402679.84,-22078988785.63,-12487215.49,-13374924975.49,49427967355.78,36053042380.29,49427967355.78,,,36053042380.29,定期报告,是,20260418,CNY,合并期末,2025-04-18T20:40:05
20240930,,67372383421.35,,,,,,,,,,,3213608844.77,1296159457.61,71882151723.73,43319394936.84,,,,,,15514458996.41,4712595300.53,5731977415.15,69278426648.93,2603725074.8,,1942144541.12,67033430.58,5366246.45,,43213496.63,,,2057757714.78,3387563388.43,1985960403.43,,,,,5373523791.86,-3315766077.08,,,,5701717778.3,,2007056.47,5703724834.77,14450997152.86,8892175431.16,,2953233662.83,26296406246.85,-20592681412.08,-43647573.77,-21348369988.13,49427967355.78,,,,,28079597367.65,定期报告,未审计,20251018,CNY,合并期末,2024-10-25T18:55:10
20240630,,43685841357.81,,,,,,,,,,,1923827807.3,1081675311.98,46691344477.09,29083745897.22,,,,,,11179470547.06,3144916924.84,3472847148.87,46880980517.99,-189636040.9,,1448420444.02,,4440202.05,,43213496.63,,,1496074142.7,1918115772.39,1481184774.81,,,,,3399300547.2,-1903226404.5,,,,5056939782.59,,,5056939782.59,6769443615.22,8770143921.98,227685337.21,2877677608.1,18417265145.3,-13360325362.71,-20581446.24,-15473769254.35,49427967355.78,33954198101.43,49427967355.78,,,33954198101.43,定期报告,未审计,20250802,CNY,合并期末,2024-08-16T20:50:05
20240331,,22156932069.57,,,,,,,,,,,796835677.83,524403750.74,23478171498.14,17304388368.8,,,,,,6809828068.59,1506954872.63,1822909318.95,27444080628.97,-3965909130.83,,1398514960.79,,10402987.98,,19566585.71,,,1428484534.48,1007573110.75,1424948274.81,,,,,2432521385.56,-1004036851.08,,,,1401340085.25,,,1401340085.25,1659853889.39,173748772.63,,50179655.67,1883782317.69,-482442232.44,-14005477.86,-5466393692.21,49427967355.78,,,,,43961573663.57,定期报告,未审计,20250419,CNY,合并期末,2024-04-19T22:05:07
20231231,,93594226079.25,,,,,,,,,,,3991363648.68,1806494187.72,99392083915.65,52008690617.35,,,,,,17978448952.57,6494801736.38,6287932888.3,82769874194.6,16622209721.05,,4688412447.25,67123840.33,30738410.3,,121237455.42,,,4907512153.3,4047816024.05,4803003467.44,,43992651.82,,,8894812143.31,-3987299990.01,,72570000.0,72570000.0,11032367859.61,,5000000.0,11109937859.61,6174788332.85,7083299395.46,194009629.27,997281629.42,14255369357.73,-3145431498.12,113365015.34,9602843248.26,39825124107.52,49427967355.78,39825124107.52,,,49427967355.78,定期报告,是,20250419,CNY,合并期末,2024-04-19T22:05:07
