报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1370596224.41,,9088816123.85,,,,,,,75850096065.52,,,,,,,6473124968.75,92782633382.53,,,1921336021.38,3105000000.0,,6001520449.73,3255777495.78,,,,,,,,,2878558505.67,1527954403.55,20411777666.57,39117714542.68,53664918839.85,,,1090639774.67,1628059.32,,9528236782.54,14125006692.89,104965000.0,18613304.43,,14801006471.66,19855353163.31,-5730346470.42,,10000000000.0,,,7603793116.08,41732440000.0,,59336233116.08,28080567705.71,1417760297.57,,237533851.59,34801957455.73,24534275660.35,-145371149.03,72323476880.75,,,,,193099253905.95,265422730786.7,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:40:03
20251231,,,,29477640558.32,49000000.0,,,,,,57101431863.0,,7790000.0,,,,,26018251464.61,112654113885.93,2466923904.49,,6961653916.08,,,43621596901.34,2286680279.6,,,,,,,,,7669351445.62,2339656533.99,22372255248.61,87718118229.73,24935995656.2,,,5780066413.72,15547395.85,,29488807337.53,40621691458.7,159034082.0,843533592.13,,43581537516.06,49718203083.49,-9096511624.79,,5000000000.0,,,5476582627.35,151983872045.0,,162527485703.54,121865828222.95,7650566746.86,,814758579.1,135331153548.91,27196332154.63,-74055872.44,42961760313.6,193099253905.95,150137493592.35,,,150137493592.35,193099253905.95,定期报告,是,20260331,CNY,合并期末,2026-03-30T17:56:03
20250930,,,,24297796718.43,1824000000.0,,,11263036123.2,,,52469753535.82,,,,,,,20237985858.6,110092572236.05,6986473256.88,,7658501232.1,,,30962192210.57,,,,,,,,,,4362102779.31,2067413918.61,24964909231.69,77001592629.16,33090979606.89,,6979318.55,4295570873.77,22714010.63,,29488807337.53,38447112535.36,118224082.0,284964830.36,,34973089998.67,38829065472.34,-381952936.98,,5000000000.0,,,1484998257.87,110091579814.37,,116576578072.24,93261098435.65,6587780044.87,,550069078.08,100490723130.81,16085854941.43,-35082147.93,48759799463.41,,,,,150137493592.35,198897293055.76,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:30:03
20250630,,,,12594689162.54,,,879548074.77,8934667313.26,,,19898618212.28,,,,,,,11526846329.38,53834369092.23,20426557551.64,,3473209491.49,1646000000.0,,,,,,,,,,,,2982898838.92,1278067734.34,8461030501.93,38267764118.32,15566604973.91,,4592561.89,2974669008.83,20659033.59,,29488807337.53,42382127938.02,50374082.0,166205159.73,,33335120637.91,34694902536.5,7687225401.52,,,,,,54639564673.5,,54639564673.5,59346973151.06,2941926844.85,,395720776.28,62713200902.44,-8073636228.94,-15706578.56,15164487567.93,165301981160.28,150137493592.35,,,150137493592.35,165301981160.28,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T16:46:09
20250331,,5455107517.57,,7309861695.99,,,,185420487.18,,,3147229524.46,,,,,,,3619960464.38,19717579689.58,,,1979607469.11,1736000000.0,,3786588474.83,,,,,,,,,,1674439962.0,527344505.16,2628527882.09,12338508293.19,7379071396.39,,,1871345418.51,3657311.38,,9500000000.0,13557158625.8,33611520.1,52204137.6,,12989365268.84,16181262210.32,-2624103584.52,,,,,134488674.3,24400000000.0,,24534488674.3,27021601164.84,1732637188.75,,167841801.31,28992834886.04,-4458346211.74,-9816266.08,286805334.05,,,,,150137493592.35,150424298926.4,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T17:54:03
20241231,,,,25886192138.7,,,,13420885748.32,,,45307588750.65,,18000000.0,,,,,19009732356.86,103642398994.53,6219330102.34,,8132182137.66,3134000000.0,,11170587400.93,,,,,,,,,,7059447861.46,1527447432.82,31602655741.89,68845650677.1,34796748317.43,,,5287353657.74,13443937.84,,16867867351.6,23572163940.19,59300000.0,770639590.69,,29488807337.53,40277763891.54,-16705599951.35,,,,,3449580493.6,90272470494.43,,93722050988.03,76038077232.75,8615241119.85,,696086500.67,85400848280.79,8321202707.24,136845563.14,26549196636.46,150137493592.35,123588296955.89,,,123588296955.89,150137493592.35,定期报告,是,20260331,CNY,合并期末,2025-03-28T18:52:21
20240930,,,,19647968689.53,,,8861287361.2,21741605932.98,,,50419981321.91,,,,,,,18004646030.32,118675489335.94,23017629025.27,,6871728215.74,4140000000.0,,,,,,,,,,,,5158285099.39,1169177078.34,20262571177.61,60619390596.35,58056098739.59,,,4951696801.7,8534420.52,,29432957351.6,38280259654.99,27500000.0,322168371.91,,40693306800.3,41607538701.12,-3327279046.13,,,,,2135308188.3,40600000000.0,,42776685156.66,55384241680.52,7299551051.71,,525235223.49,63209027955.72,-20432342799.06,16944172.84,34313421067.24,,,,,123588296955.89,157901718023.12997,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T17:27:02
20240630,,,,13752451360.79,,,8748520143.98,19835403449.29,,,60099299709.56,,,,,,,16087003740.54,118522678404.16,19104484029.63,,4553264033.49,4590000000.0,,,,,,,,,,,,3653451434.59,853890104.1,12673932206.69,45429021808.5,73093656595.66,,,2476434878.94,2986566.1,,16867867351.6,20853691211.17,27500000.0,188193659.57,,28169079233.6,34879898790.08,-14026207578.91,,,,,,29346808219.2,,29346808219.2,34831147465.01,2515004462.33,,384227995.75,37768694962.53,-8421886743.33,17747885.49,50663310158.91,174251607114.8,123588296955.89,,,123588296955.89,174251607114.8,定期报告,未审计,20250829,CNY,合并期末,2024-08-29T20:52:02
20240331,,,,6891246429.2,,,6480609655.85,44432198997.08,,,50220502168.07,,,,,,,8459516362.29,116484073612.49,17870122843.76,,2026966920.61,5670000000.0,,,,,,,,,,,,2433588719.2,395941719.12,5742996743.71,34139616946.4,82344456666.09,,,530349617.28,2955480.06,,277000000.0,810305097.34,25500000.0,109133241.98,,5231114026.82,36097735108.61,-35287430011.27,,,,,129614017.34,14000000000.0,,14129614017.34,17373818201.19,1320666641.67,,201565348.53,19050541217.37,-4920927200.03,-21024434.2,42115075020.59,,,,,123588296955.89,165703371976.48,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:17:03
20231231,,,,25278443781.03,,,,407880539.68,,,,,,,,,,33555089346.59,59241413667.3,31375652372.14,,7317102575.12,12139000000.0,,6416102612.09,,,,9381715188.92,,,,,,6798520034.83,1729940673.43,28344071872.78,103502105329.31,-44260691662.01,,,6270960256.54,23301306.58,,19910134871.6,41283850915.09,185317992.0,695160070.01,,16867867351.6,25245991308.19,16037859606.9,,,,,1648056651.21,102858584684.43,,104506641335.64,79284348308.12,7211861104.95,,789865768.72,87475628268.42,17031013067.22,94490711.53,-11097328276.36,123588296955.89,134685625232.25,,,134685625232.25,123588296955.89,定期报告,是,20250329,CNY,合并期末,2024-03-28T20:42:02
