报告日,经营活动产生的现金流量,收到原保险合同保费取得的现金,再保险业务产生的现金流入,保户储金及投资款净增加额,客户存款和同业存入款项净增加,买入返售业务资金净减少额,卖出回购金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,处置交易性金融资产净增加额,保证金现金流入,收到的现金资产管理费收入,收到税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,支付原保险合同赔付款项的现金,支付再保业务产生的现金流出,支付保单红利的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,客户存款和同业存入款项净减少额,保户储金及投资款净减少额,拆入资金净减少额,卖出回购金融资产净减少额,买入返售业务资金净增加额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,拆出资金净增加额,处置交易性金融资产的净减少额,保证金现金流出,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金,买入返售金融资产收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,购买子公司及其他营业单位支付的现金净额,保户质押贷款净增加额,买入返售金融资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,卖出回购金融资产收到的现金,取得借款收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,回购金融资产支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加(减少)额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,197498000000.0,2969000000.0,,,,,,,,,,,3443000000.0,204037000000.0,142405000000.0,,,,,,,,,,,12959000000.0,14057000000.0,,,,11394000000.0,7872000000.0,188687000000.0,15350000000.0,,220068000000.0,6342000000.0,24000000.0,,,,226434000000.0,233441000000.0,99000000.0,,,,157000000.0,233697000000.0,-7263000000.0,,,,,,338000000.0,338000000.0,30000000.0,27890000000.0,2683000000.0,,,30928000000.0,-30590000000.0,-166000000.0,-22669000000.0,,,,,59874000000.0,37205000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T18:38:03
20251231,,782660000000.0,6880000000.0,,,,,,,,,,,9158000000.0,798698000000.0,470082000000.0,11719000000.0,,,,,,,,,,50884000000.0,65653000000.0,,,,24907000000.0,55810000000.0,680009000000.0,118689000000.0,,488351000000.0,33297000000.0,706000000.0,,,174000000.0,522528000000.0,673278000000.0,4784000000.0,,,,210000000.0,678272000000.0,-155744000000.0,,,69527000000.0,,,9935000000.0,79462000000.0,8060000000.0,,16716000000.0,,,26077000000.0,53385000000.0,-588000000.0,15742000000.0,25619000000.0,25845000000.0,35949000000.0,19602000000.0,44132000000.0,59874000000.0,定期报告,是,20260327,CNY,合并期末,2026-03-26T20:58:03
20250930,,553567000000.0,2331000000.0,,,,,,,,,,,4258000000.0,560156000000.0,338058000000.0,4234000000.0,,,,,,,,,,36895000000.0,29891000000.0,,,,20844000000.0,33878000000.0,464360000000.0,95796000000.0,,406408000000.0,25559000000.0,705000000.0,,,,432672000000.0,532388000000.0,1016000000.0,,,,1245000000.0,534649000000.0,-101977000000.0,,,7416000000.0,150000000.0,,9015000000.0,16581000000.0,8401000000.0,,6857000000.0,,,16195000000.0,386000000.0,-91000000.0,-5886000000.0,,,,,44132000000.0,38246000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:30:04
20250630,,396589000000.0,4269000000.0,,,,,,,,,,,2173000000.0,403031000000.0,238039000000.0,,,,,,,,,,,25320000000.0,26460000000.0,,,,13992000000.0,24199000000.0,328186000000.0,74845000000.0,,284546000000.0,25805000000.0,489000000.0,,,115000000.0,310955000000.0,375969000000.0,661000000.0,,,,58000000.0,376688000000.0,-65733000000.0,,,,150000000.0,,5963000000.0,6113000000.0,8351000000.0,6917000000.0,4794000000.0,,,20680000000.0,-14567000000.0,-153000000.0,-5608000000.0,24460000000.0,25845000000.0,15699000000.0,19602000000.0,44132000000.0,38524000000.0,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:44:02
20250331,,199601000000.0,1817000000.0,,,,,,,,,,,5454000000.0,207073000000.0,135298000000.0,122000000.0,,,,,,,,,,12389000000.0,12323000000.0,,,,9160000000.0,1232000000.0,170524000000.0,36549000000.0,,157300000000.0,7132000000.0,11000000.0,,,,164443000000.0,203971000000.0,131000000.0,,,,463000000.0,204565000000.0,-40122000000.0,,,10744000000.0,,,1657000000.0,12401000000.0,8317000000.0,,3888000000.0,,,12455000000.0,-54000000.0,-4000000.0,-3631000000.0,,,,,44132000000.0,40501000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T19:58:04
20241231,,727188000000.0,2555000000.0,,,,,,,,,,,11973000000.0,741716000000.0,444719000000.0,9682000000.0,,,,,,,,,,52582000000.0,62210000000.0,,,,19126000000.0,64650000000.0,653726000000.0,87990000000.0,,437602000000.0,32411000000.0,478000000.0,,,29000000.0,470520000000.0,543337000000.0,4397000000.0,,,,385000000.0,548119000000.0,-77599000000.0,,,2303000000.0,150000000.0,11988000000.0,6626000000.0,21067000000.0,314000000.0,,14836000000.0,,,16207000000.0,4860000000.0,46000000.0,15297000000.0,25845000000.0,21715000000.0,19602000000.0,8561000000.0,28835000000.0,44132000000.0,定期报告,是,20260327,CNY,合并期末,2025-03-27T21:17:02
20240930,,542609000000.0,2909000000.0,,,,,,,,,,,5223000000.0,550741000000.0,324173000000.0,2666000000.0,,,,,,,,,,39880000000.0,38285000000.0,,,,16911000000.0,47411000000.0,469730000000.0,81011000000.0,,329107000000.0,28748000000.0,201000000.0,,,29000000.0,358085000000.0,424889000000.0,1199000000.0,,,,620000000.0,426708000000.0,-68623000000.0,,,,200000000.0,,,200000000.0,314000000.0,812000000.0,12361000000.0,,3141000000.0,17249000000.0,-17049000000.0,-318000000.0,-4979000000.0,,,,,28835000000.0,23856000000.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-29T20:17:03
20240630,,374267000000.0,1158000000.0,,,,,,,,,,,4064000000.0,379507000000.0,210026000000.0,37000000.0,,,,,,,,,,26265000000.0,26949000000.0,,,,14862000000.0,31324000000.0,309463000000.0,70044000000.0,,221211000000.0,21252000000.0,193000000.0,,,,242656000000.0,286234000000.0,776000000.0,,,,99000000.0,287109000000.0,-44453000000.0,,,,200000000.0,,,200000000.0,146000000.0,16278000000.0,2012000000.0,,3074000000.0,21959000000.0,-21759000000.0,-125000000.0,3707000000.0,21195000000.0,21715000000.0,13008000000.0,8561000000.0,28835000000.0,32542000000.0,定期报告,未审计,20250828,CNY,合并期末,2024-08-28T20:32:02
20240331,,192188000000.0,2576000000.0,,,,,,,,,,,3305000000.0,198186000000.0,105299000000.0,41000000.0,,,,,,,,,,14254000000.0,13480000000.0,,,,5060000000.0,26898000000.0,165032000000.0,33154000000.0,,88112000000.0,8921000000.0,52000000.0,,,,97085000000.0,91276000000.0,335000000.0,,,,168000000.0,91779000000.0,5306000000.0,,,,,,,0.0,83000000.0,35585000000.0,917000000.0,,2759000000.0,39576000000.0,-39576000000.0,2000000.0,-1114000000.0,,,,,27839000000.0,26725000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T19:37:02
20231231,,697830000000.0,1614000000.0,,,,,,,,,,,9355000000.0,708799000000.0,413184000000.0,7657000000.0,,,,,,,,,,54210000000.0,57801000000.0,,,,20880000000.0,84070000000.0,638250000000.0,70549000000.0,,308469000000.0,47973000000.0,298000000.0,,,,356740000000.0,423880000000.0,3573000000.0,,,,214000000.0,427667000000.0,-70927000000.0,,,7885000000.0,292000000.0,24000000000.0,186000000.0,34863000000.0,30238000000.0,,14938000000.0,,,46346000000.0,-11483000000.0,97000000.0,-11764000000.0,21715000000.0,21952000000.0,8561000000.0,19509000000.0,40599000000.0,28835000000.0,定期报告,是,20250328,CNY,合并期末,2024-03-26T20:17:02
