报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,6342330821.98,,,,,,,,,,,19279.6,441246084.64,6783596186.22,3388309390.79,,,,,,185934448.09,363708382.72,355695368.47,4293647590.07,2489948596.15,,380598442.47,403188.99,,,,,,381001631.46,495426184.12,747077741.84,,,,88353367.59,1330857293.55,-949855662.09,,,,367062715.54,,70334785.73,437397501.27,41000000.0,20415588.39,11848186.04,173439715.03,234855303.42,202542197.85,-14368322.82,1728266809.09,4704175579.1,,,,,6432442388.19,定期报告,未审计,20260422,CNY,合并期末,2026-04-21T18:26:04
20251231,,18786469651.39,,,,,,,,,,,64520.52,4849049385.77,23635583557.68,11581883075.22,,,,,,422752659.06,1668224782.9,5282637445.38,18955497962.56,4680085595.12,,11105869453.47,20037808.55,1053845.1,,,,,11126961107.12,1292993007.8,10512483847.81,,48617062.51,,110771917.93,11964865836.05,-837904728.93,,,,680516617.55,,467516416.0,1148033033.55,553917764.75,1364579952.27,317035030.74,764665190.23,2683162907.25,-1535129873.7,-16299364.39,2290751628.1,2413423951.0,4704175579.1,2413423951.0,,,4704175579.1,定期报告,是,20260306,CNY,合并期末,2026-03-05T20:34:04
20250930,,16486741912.06,,,,,,,,,,,285798.54,2054510318.4,18541538029.0,10980768149.5,,,,,,318148264.61,1205621309.89,2344627946.13,14849165670.13,3692372358.87,,10579959983.44,43806480.64,972758.1,,,,,10624739222.18,740522933.86,9786166239.3,,24958262.51,,292364585.19,10844012020.86,-219272798.68,,,,679726071.76,,123733106.71,803459178.47,497378265.89,1259183484.06,201489140.94,405504689.27,2162066439.22,-1358607260.75,-7994035.87,2106498263.57,2413423951.0,,,,,4519922214.57,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T18:44:29
20250630,,9994841531.79,,,,,,,,,,,44894.14,1530011564.45,11524897990.38,6420225603.91,,,,,,225194955.75,695656763.59,1565303082.25,8906380405.5,2618517584.88,,10352730654.87,30630516.99,965058.1,,,,,10384326229.96,444120889.49,9490527944.25,,24958262.51,,6048211.0,9965655307.25,418670922.71,,,,323169904.0,,257116795.77,580286699.77,214541904.0,1143290902.11,112834380.94,454891761.63,1812724567.74,-1232437867.97,-14123700.74,1790626938.88,2413423951.0,4204050889.88,2413423951.0,,,4204050889.88,定期报告,未审计,20250819,CNY,合并期末,2025-08-18T20:38:06
20250331,,4551611452.57,,,,,,,,,,,22625.81,563113627.56,5114747705.94,3107164136.37,,,,,,135273759.94,291539919.45,599238781.55,4133216597.31,981531108.63,,6991178401.22,36817026.96,128623.1,,,,,7028124051.28,197841129.11,7402779334.16,,0.0,,14700200.13,7615320663.4,-587196612.12,,0.0,0.0,38169512.04,,208750024.93,246919536.97,69169512.04,68759647.08,60349147.08,206747506.24,344676665.36,-97757128.39,-7491523.53,289085844.59,2413423951.0,,,,,2702509795.59,定期报告,未审计,20260422,CNY,合并期末,2025-04-21T19:20:09
20241231,,15968629457.67,,,,,,,,,,,3683833.07,6792676258.86,22764989549.6,10558980916.43,,,,,,367839289.32,1063850476.94,6903059653.68,18893730336.37,3871259213.23,,13950739799.61,63739854.73,346449.11,,1392290.0,,,14016218393.45,687765744.44,14347159775.82,,1830508552.48,,,16865434072.74,-2849215679.29,,100000.0,100000.0,1301605622.62,,326981835.2,1628687457.82,481666781.11,948739671.26,154995542.61,629590408.35,2059996860.72,-431309402.9,-13437938.89,577296192.15,1836127758.85,2413423951.0,1836127758.85,,,2413423951.0,定期报告,是,20260306,CNY,合并期末,2025-03-17T20:40:05
20240930,,12953375930.59,,,,,,,,,,,44763.81,3432766892.79,16386187587.19,8879842448.97,,,,,,271294721.95,740872985.3,3490434433.25,13382444589.47,3003742997.72,,7855161993.12,74794151.93,319816.0,,,,,7930275961.05,417815483.76,8794831340.7,,1830508552.48,,309485148.77,11352640525.71,-3422364564.66,,100000.0,100000.0,1265000000.0,,276158459.97,1541258459.97,330051220.93,929248357.34,144909239.12,341894090.92,1601193669.19,-59935209.22,3768548.59,-474788227.57,1836127758.85,,,,,1361339531.28,定期报告,未审计,20251024,CNY,合并期末,2024-10-21T18:55:04
20240630,,7341330389.51,,,,,,,,,,,20559.09,1271911376.5,8613262325.1,4705595576.48,,,,,,184839999.49,411649186.59,1268779081.55,6570863844.11,2042398480.99,,3842560103.89,95888549.74,256000.0,,,,,3938704653.63,197121209.88,5128146960.84,,,,67876654.63,5393144825.35,-1454440171.72,,100000.0,100000.0,105000000.0,,221638290.35,326738290.35,330000000.0,906202424.6,124448979.56,299798274.29,1536000698.89,-1209262408.54,3261746.76,-618042352.51,1836127758.85,1218085406.34,1836127758.85,,,1218085406.34,定期报告,未审计,20250819,CNY,合并期末,2024-08-20T20:40:06
20240331,,3141476025.94,,,,,,,,,,,9529.35,983399698.33,4124885253.62,1869523919.09,,,,,,113467207.29,113518151.42,975034562.33,3071543840.13,1053341413.49,,1730755238.1,18648648.6,1500.0,,,,,1749405386.7,74664757.58,1638392738.04,,,,68793133.5,1781850629.12,-32445242.42,,100000.0,100000.0,105000000.0,,119876711.05,224976711.05,60000000.0,49975240.87,47393988.09,185789155.18,295764396.05,-70787685.0,-447580.87,949660905.2,1836127758.85,,,,,2785788664.05,定期报告,未审计,20250422,CNY,合并期末,2024-04-23T15:50:09
20231231,,8595815667.74,,,,,,,,,,,,1683115743.13,10278931410.87,5152819805.57,,,,,,310973096.09,935077187.36,1700167898.29,8099037987.31,2179893423.56,,6337750715.07,99451562.79,163170.45,,,,,6437365448.31,614831322.1,5333236814.46,,,,9148495.78,5957216632.34,480148815.97,,,,181000000.0,,391221930.41,572221930.41,853754000.0,914769534.0,109956403.32,429280316.87,2197803850.87,-1625581920.46,11824885.59,1046285204.66,789842554.19,1836127758.85,789842554.19,,,1836127758.85,定期报告,是,20250318,CNY,合并期末,2024-03-22T20:40:14
