报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1691237991.75,,331221927.36,,,,,,,795508271.41,,,,,,,1264596537.05,4082564727.57,,,66849757.68,800000000.0,,,246325001.0,139174818.1,,,,,,,,94366274.77,100964660.43,1268159984.34,2715840496.32,1366724231.25,,,,,,,0.0,,2834037.94,,,2834037.94,-2834037.94,,,,,,1999180680.0,,1999180680.0,2200000000.0,91793150.68,,79124737.15,2370917887.83,-371737207.83,-475159.06,991677826.42,,,,,9460537845.49,10452215671.91,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:14:02
20251231,,844300456.13,,1448196627.15,,,,,,1071297247.59,1547929242.86,,,,,,,1260750036.93,6172473610.66,,,250175124.03,200000000.0,,,2120706014.0,,,,,,,,,548069211.29,356746482.85,3734965647.76,7210662479.93,-1038188869.27,,,,905757.83,,19698155.15,20603912.98,,95206003.98,,,95206003.98,-74602091.0,,,,,,12084050000.0,65371.5,12084115371.5,8612000000.0,1013004177.02,,182785731.23,9807789908.25,2276325463.25,-662535.33,1162871967.65,9460537845.49,8297665877.84,,,8297665877.84,9460537845.49,定期报告,是,20260328,CNY,合并期末,2026-03-27T18:38:04
20250930,,3144424030.36,,1085147521.92,,,,,,1126272847.62,1937459173.71,,,,,,,2959702758.82,10253006332.43,,,186734906.13,600000000.0,,,4299031245.5,,,,,,,,,426096649.4,227825909.07,3707796080.24,9447484790.34,805521542.09,,,,905757.83,,19698155.15,20603912.98,,16065873.46,,,16065873.46,4538039.52,,,,,,7564860000.0,138005.6,7564998005.6,6584000000.0,722439336.65,,38942955.3,7345382291.95,219615713.65,-360802.37,1029314492.89,,,,,8297665877.84,9326980370.73,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:56:04
20250630,,1968710509.44,,691538881.18,,,,,,840097678.3,844933270.74,,,,,,,931098149.88,5276378489.54,,,125055602.66,200000000.0,,,1196531000.0,,,,,,,,,218421899.84,130322003.73,2742754794.63,4613085300.86,663293188.68,,,,871357.83,,19605815.97,20477173.8,,13757622.91,,861562.86,14619185.77,5857988.03,,,,,,5037920001.5,39956.15,5037959957.65,4545000000.0,691712213.36,,10800730.63,5247512943.99,-209552986.34,-179522.08,459418668.29,8757084546.13,8297665877.84,,,8297665877.84,8757084546.13,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:02:03
20250331,,4062129836.45,,372255135.9,,,,,,837751243.03,770822694.9,,,,,,,4779308081.5,10822266991.78,,,68403329.83,500000000.0,,,6763131000.0,,,,,,,,,117784478.19,28587383.31,3014266435.83,10492172627.16,330094364.62,,,,1040.0,,,1040.0,,3208530.77,,,3208530.77,-3207490.77,,,,,,2998920000.0,21736.3,2998941736.3,3045000000.0,139922120.55,,5038560.29,3189960680.84,-191018944.54,-59167.91,135808761.4,,,,,8297665877.84,8433474639.24,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:12:03
20241231,,,,1261700030.19,700000000.0,,,6341518912.18,,,2008987929.89,,,,,,,1358499806.82,11670706679.08,,,279899270.75,,,,,310852983.56,,,,,1994615829.96,,,551167056.34,97621206.23,6903947462.05,10138103808.89,1532602870.19,,,,89359.15,,25069703.88,25159063.03,,86048689.83,,453222.52,86501912.35,-61342849.32,,,,,,11951610000.0,,11951610000.0,10249380000.0,829239206.75,,73637768.19,11152256974.94,799353025.06,530459.98,2271143505.91,8297665877.84,6026522371.93,,,6026522371.93,8297665877.84,定期报告,是,20260328,CNY,合并期末,2025-03-28T18:02:02
20240930,,,,949060891.66,,,,3545017482.38,,345947701.48,1348693523.17,,,,,,,1174286346.76,7363005945.45,,,213570115.72,100000000.0,,,,,,,,,39388536.96,,,433143732.57,72479506.27,5745232846.28,6603814737.8,759191207.65,,,,76441.49,,,76441.49,,35542969.88,,2252379.16,37795349.04,-37718907.55,,,,,,8153310000.0,316291.16,8153626291.16,7000300000.0,586563109.23,,34291885.18,7621154994.41,532471296.75,-354552.34,1253589044.51,,,,,6026522371.93,7280111416.44,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T15:42:03
20240630,,,,626073169.69,700000000.0,,,4502598141.88,,336885619.15,718793843.52,,,,,,,761509652.71,7645860426.95,,,139352257.83,,,,,,,,,,120658936.7,,,205178690.79,53604219.24,6377953507.91,6896747612.47,749112814.48,,,,58521.49,,,58521.49,,30133854.77,,,30133854.77,-30075333.28,,,,,,4753350000.0,247618.32,4753597618.32,4100330000.0,533934364.1,,22412712.9,4656677077.0,96920541.32,163112.82,816121135.34,6842643507.27,6026522371.93,,,6026522371.93,6842643507.27,定期报告,未审计,20250829,CNY,合并期末,2024-08-30T16:32:03
20240331,,1287781580.57,,324531314.35,,,,4317537482.38,,181051359.09,331961409.25,,,,,,,298123712.02,6740986857.66,,,69252399.4,250000000.0,,,,,,,,,,,,99708674.46,18450677.6,5968026092.89,6405437844.35,335549013.31,,,,4891.49,,,4891.49,,7900562.67,,,7900562.67,-7895671.18,,,,,,2353370000.0,136239.72,2353506239.72,2735360000.0,191306303.18,,9358878.95,2936025182.13,-582518942.41,25136.25,-254840464.03,,,,,6026522371.93,5771681907.9,定期报告,未审计,20250509,CNY,合并期末,2024-04-29T19:02:02
20231231,,4376067486.36,,1120764600.71,500000000.0,,,,,,552917571.75,,,,,,,2799867729.79,9349617388.61,,,218112702.17,,,,1454084482.38,85830752.18,,,,,,,,550019775.4,63810603.11,10966260938.56,13338119253.8,-3988501865.19,,,,161065.1,,25442573.84,25603638.94,,76837774.43,,6285762.58,83123537.01,-57519898.07,,,,,,8266411780.0,,8266411780.0,8074470000.0,581843661.22,,52393846.43,8708707507.65,-442295727.65,511651.46,-4487805839.45,6026522371.93,10514328211.38,,,10514328211.38,6026522371.93,定期报告,是,20250329,CNY,合并期末,2024-03-29T19:22:02
