报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,10030541147.82,,5898020161.58,,,,,,,24427876508.73,,,,,,,4645597936.38,45002035754.51,,,1815192465.72,663800000.0,,3309747332.94,20729259817.46,,,,,,,,,1784477040.38,884240830.71,6880793633.03,36067511120.24,8934524634.27,,8060503167.73,936122493.65,12857000.9,,,9009482662.28,,62264814.82,,,62264814.82,8947217847.46,,,,,1560138732.39,44886696181.86,,46446834914.25,39031885900.81,2220005156.91,,,41337789219.93,5109045694.32,-48238904.43,22942549271.62,,,,,188390775345.04,211333324616.66,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T20:12:02
20251231,,11181512480.07,,23732001356.29,,,,,,,19549071828.82,,119258874.38,,,,,8685180193.03,63267024732.59,,,6375671173.85,636222222.0,,20226641405.51,1195952500.58,,,,,,,,,7222916220.96,3086954444.26,22998821226.63,61743179193.79,1523845538.8,,4855302303.03,5851897589.03,12117868.71,,,10719317760.77,,417841197.33,,,417841197.33,10301476563.44,,,,,2581890429.11,166819730279.76,,169401620708.87003,147858966581.72,7561568656.74,1017230096.05,,155884329381.9,13517291326.97,-17764784.86,25324848644.35,174922234041.0,151028084283.67,13468541304.04,12037842417.02,163065926700.68997,188390775345.04,定期报告,是,20260328,CNY,合并期末,2026-03-27T22:20:02
20250930,,5163007930.22,,15048560421.08,,,,4698880601.73,,,14729924652.99,,,,,,,6115201066.54,45755574672.56,,,4424507396.82,1886222222.0,,16409958125.92,,,,,,,,,,4421498169.02,1512567491.87,13737458881.99,42392212287.62,3363362384.94,,7407059017.19,4678040952.06,5102126.9,,,12090202096.15,,208809134.41,,,208809134.41,11881392961.74,,,,,1778432982.04,111519126774.6,,113297559756.64,111594138148.31,5531463081.91,713593172.86,,117449907069.06,-4152347312.42,1191787.43,11093599821.69,,,,,163065926700.68997,174159526522.38,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T20:06:14
20250630,,10330421902.81,,11118657440.92,703777778.0,,1984840529.05,4183279265.57,,,,,,,,,,4543237923.51,32864214839.86,,,3135206545.05,,,,,,,537417113.96,,,,,,3029988997.0,1080663762.61,8367876593.4,16280974137.64,16583240702.22,,1531181794.16,3340134669.25,4536314.34,,,4875852777.75,,134252817.96,,,134252817.96,4741599959.79,,,,,1109912980.61,51300570053.75,,52410483034.36,71694800270.48,2497651430.24,144016757.62,,74404711836.9,-21994228802.54,-24860105.38,-694248245.91,149985819202.33,151028084283.67,12385859252.45,12037842417.02,163065926700.68997,162371678454.78,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T21:58:03
20250331,,29961596561.21,,5629615423.62,,,,,,,,,,,,,,2773009735.19,38364221720.02,,,1610140635.75,2059304222.0,,1710522137.11,3725340375.69,,,4330054662.94,,,,,,1560294951.49,422513269.66,6089033051.74,21507203306.38,16857018413.64,,,1652044975.45,,,,1652044975.45,13975164066.59,56738654.71,,,14031902721.3,-12379857745.85,,,,,902084444.95,26858069161.16,,27760153606.11,40238888611.22,1176988011.02,96757.62,,41519714289.59,-13759560683.48,-1265823.09,-9283665838.78,,,,,163065926700.68997,153782260861.91,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T21:30:05
20241231,,,,18997702376.5,875016957.73,,,23273099000.28,,,25238636666.99,,129821125.62,,,,,20020172886.24,88534449013.36,,,5898450317.8,,,11256711883.71,,,,,,,15468932672.19,,,7625854168.73,1228802469.63,20638017708.86,62116769220.92,26417679792.44,,9749893154.96,6384192023.41,62409549.66,,,16196494728.03,,541594439.94,,,541594439.94,15654900288.09,,,,,798619343.8,128724181597.69,,129522800941.49,132726346028.28,7642759744.07,957240000.0,,140808997170.53,-11286196229.04,-20417520.6,30765966330.89,151028084283.67,128222103791.17,12037842417.02,4077856578.63,132299960369.8,163065926700.68997,定期报告,是,20260328,CNY,合并期末,2025-03-28T23:02:19
20240930,,12014670303.14,,15948020634.28,1234656952.0,,7054504841.47,,,,56615547112.07,,,,,,,7363416931.88,100230816774.84,,,3813367109.91,,,,16386686824.71,,,,,,,,,5816168646.96,929269696.85,8794961166.18,35740453444.61,64490363330.23,,11411131598.33,5576132869.75,39345339.67,,,17026609807.75,,349222111.56,,,349222111.56,16677387696.19,,,,,453760633.28,78962211860.05,,79415972493.33,96195564338.06,5946518352.94,761160274.82,,102512742113.52,-23096769620.19,-16990129.73,58053991276.5,,,,,132299960369.8,190353951646.3,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T20:42:02
20240630,,3327629061.66,,10873569505.42,534558648.83,,4879976667.16,,,,,,,,,,,6225290953.2,25841024836.27,,,2865292095.72,,,,23566887406.87,,,8956291909.7,,,,,,4114866306.98,746049184.97,5853085328.73,46102472232.97,-20261447396.7,,15304814541.89,3754771335.14,2057099.42,,,19061642976.45,,254617616.08,,,254617616.08,18807025360.37,,,,,453760633.28,50770011078.18,,51223771711.46,56741041661.55,2814763637.39,245015744.68,,59764492644.36,-8540720932.9,-10617438.63,-10005760407.86,111160501494.36,128222103791.17,11133698467.58,4077856578.63,132299960369.8,122294199961.94,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T20:07:03
20240331,,,,5667115830.17,684548272.0,,2645880053.59,,,,,,,,,,,2445228198.34,11442772354.1,,,1398104847.42,,,,4966950175.09,,,3840790387.72,,,7376097637.66,,,1725211460.6,286626070.71,4428200088.49,24021980667.69,-12579208313.59,,12527826351.47,1878985612.02,429000.66,,,14407240964.15,,151212386.38,,,151212386.38,14256028577.77,,,,,97443183.28,26988012322.95,,27085455506.23,27155768790.11,873030457.97,,,28136082809.34,-1050627303.11,-705899.93,625487061.14,,,,,132299960369.8,132925447430.94,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T18:22:02
20231231,,44163807311.86,,22448751843.0,,,,11283647698.53,,,,,,,,,,22505871225.02,100402078078.41,,,6265547910.28,1024682575.73,,2725574785.29,,,,3911508351.24,,,,,,7948067123.06,1503211585.79,7776209384.63,31154801716.02,69247276362.39,,,4220829008.63,21513463.73,,,4242342472.36,79073662273.78,585563441.33,,,79659225715.11,-75416883242.75,,6884716981.11,,,879283045.03,96000269707.32,,103764269733.46,105570660753.4,6552392283.51,724342172.78,28867924.55,112584070832.3,-8819801098.84,31488649.16,-14957919330.04,128222103791.17,133740393632.38,4077856578.63,13517486067.46,147257879699.84,132299960369.8,定期报告,是,20250329,CNY,合并期末,2024-03-28T22:32:02
