报告日,经营活动产生的现金流量,收到原保险合同保费取得的现金,再保险业务产生的现金流入,保户储金及投资款净增加额,客户存款和同业存入款项净增加,买入返售业务资金净减少额,卖出回购金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,处置交易性金融资产净增加额,保证金现金流入,收到的现金资产管理费收入,收到税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,支付原保险合同赔付款项的现金,支付再保业务产生的现金流出,支付保单红利的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,客户存款和同业存入款项净减少额,保户储金及投资款净减少额,拆入资金净减少额,卖出回购金融资产净减少额,买入返售业务资金净增加额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,拆出资金净增加额,处置交易性金融资产的净减少额,保证金现金流出,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金,买入返售金融资产收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,购买子公司及其他营业单位支付的现金净额,保户质押贷款净增加额,买入返售金融资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,卖出回购金融资产收到的现金,取得借款收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,回购金融资产支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加(减少)额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,401571000000.0,491000000.0,,,,,,,,,,,20736000000.0,424401000000.0,196293000000.0,,,,,,,,,,,21088000000.0,6700000000.0,,,,3863000000.0,21026000000.0,248970000000.0,175431000000.0,,770846000000.0,50999000000.0,2000000.0,7690000000.0,30476000000.0,,860013000000.0,952118000000.0,621000000.0,525000000.0,,,,953264000000.0,-93251000000.0,,5793000000.0,,,,,5793000000.0,,92107000000.0,1406000000.0,,172000000.0,93685000000.0,-87892000000.0,-39000000.0,-5751000000.0,,,,,142373000000.0,136622000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:54:02
20251231,,965054000000.0,444000000.0,,,,,,,,,,,12761000000.0,978259000000.0,388817000000.0,,,,,,,,,,,55583000000.0,25026000000.0,,,,12866000000.0,25515000000.0,518334000000.0,459925000000.0,,2556213000000.0,196128000000.0,290000000.0,57420000000.0,,,2810051000000.0,3318137000000.0,3056000000.0,14158000000.0,,22068000000.0,,3357419000000.0,-547368000000.0,,4110000000.0,180633000000.0,56000000.0,,,184799000000.0,12868000000.0,,26602000000.0,,988000000.0,40458000000.0,144341000000.0,-30000000.0,56868000000.0,142373000000.0,85505000000.0,,,85505000000.0,142373000000.0,定期报告,是,20260326,CNY,合并期末,2026-03-25T17:26:03
20250930,,800827000000.0,266000000.0,,,,,,,,,,,8658000000.0,809751000000.0,320758000000.0,,,,,,,,,,,46162000000.0,18252000000.0,,,,9758000000.0,10602000000.0,410041000000.0,399710000000.0,,1958485000000.0,137473000000.0,5000000.0,808000000.0,15194000000.0,,2111965000000.0,2502377000000.0,1531000000.0,6297000000.0,,,,2510205000000.0,-398240000000.0,,,45974000000.0,,,,45974000000.0,12868000000.0,,18161000000.0,,6090000000.0,37119000000.0,8855000000.0,66000000.0,10391000000.0,,,,,85505000000.0,95896000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:44:04
20250630,,587060000000.0,246000000.0,,,,,,,,,,,4354000000.0,591660000000.0,233887000000.0,,,,,,,,,,,29691000000.0,11763000000.0,,,,4982000000.0,8328000000.0,291218000000.0,300442000000.0,,991718000000.0,93194000000.0,187000000.0,807000000.0,22273000000.0,,1108179000000.0,1402347000000.0,1663000000.0,5201000000.0,,,,1409211000000.0,-301032000000.0,,,58270000000.0,,,,58270000000.0,12868000000.0,,3552000000.0,,7131000000.0,23551000000.0,34719000000.0,9000000.0,34138000000.0,,,,,85505000000.0,119643000000.0,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T17:44:04
20250331,,372659000000.0,25000000.0,,,,,,,,,,,3556000000.0,377209000000.0,157200000000.0,,,,,,,,,,,16283000000.0,5991000000.0,,,,2170000000.0,3035000000.0,184679000000.0,192530000000.0,,534615000000.0,42008000000.0,4000000.0,304000000.0,14785000000.0,,591716000000.0,777860000000.0,1999000000.0,2064000000.0,,,,781923000000.0,-190207000000.0,,,30911000000.0,,,,30911000000.0,6785000000.0,,1645000000.0,,9515000000.0,17945000000.0,12966000000.0,57000000.0,15346000000.0,,,,,85505000000.0,100851000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-30T04:22:03
20241231,,811003000000.0,,,,,,,,,,,,14528000000.0,825531000000.0,321273000000.0,309000000.0,,,,,,,,,,60048000000.0,24614000000.0,,,,6521000000.0,21732000000.0,446736000000.0,378795000000.0,,2223395000000.0,190109000000.0,261000000.0,8664000000.0,,,2422429000000.0,2750929000000.0,3979000000.0,13724000000.0,,8417000000.0,,2777049000000.0,-354620000000.0,,7178000000.0,,65000000.0,35000000000.0,,42243000000.0,35138000000.0,65875000000.0,26915000000.0,,1074000000.0,129002000000.0,-86759000000.0,28000000.0,-62556000000.0,85505000000.0,148061000000.0,,,148061000000.0,85505000000.0,定期报告,是,20260326,CNY,合并期末,2025-03-26T18:12:02
20240930,,679566000000.0,215000000.0,,,,,,,,,,,9104000000.0,688885000000.0,251060000000.0,,,,,,,,,,,51097000000.0,18656000000.0,,,,5196000000.0,12502000000.0,342284000000.0,346601000000.0,,1695796000000.0,133757000000.0,45000000.0,5453000000.0,,,1835051000000.0,2131556000000.0,2522000000.0,10267000000.0,,6174000000.0,,2150519000000.0,-315468000000.0,,10359000000.0,,14000000.0,35000000000.0,,45373000000.0,35127000000.0,94992000000.0,18758000000.0,,760000000.0,149637000000.0,-104264000000.0,-30000000.0,-73161000000.0,,,,,148061000000.0,74900000000.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:52:02
20240630,,514022000000.0,136000000.0,,,,,,,,,,,7476000000.0,521725000000.0,175572000000.0,,,,,,,,,,,37808000000.0,12259000000.0,,,,3527000000.0,12007000000.0,241173000000.0,280552000000.0,,1096252000000.0,88867000000.0,98000000.0,2898000000.0,,,1188115000000.0,1379040000000.0,2569000000.0,7251000000.0,,5558000000.0,,1394418000000.0,-206303000000.0,,12731000000.0,,,,,12731000000.0,35127000000.0,105189000000.0,5535000000.0,,496000000.0,146347000000.0,-133616000000.0,10000000.0,-59357000000.0,,,,,148061000000.0,88704000000.0,定期报告,未审计,20250828,CNY,合并期末,2024-08-29T20:17:03
20240331,,324933000000.0,,,,,,,,,,,,5549000000.0,330482000000.0,109201000000.0,24000000.0,,,,,,,,,,21608000000.0,5883000000.0,,,,1272000000.0,5706000000.0,146723000000.0,183759000000.0,,531123000000.0,36383000000.0,51000000.0,183000000.0,4860000000.0,,572600000000.0,569691000000.0,1653000000.0,1228000000.0,,,,572572000000.0,28000000.0,,8567000000.0,,,,,8567000000.0,35000000000.0,47776000000.0,3171000000.0,,264000000.0,86211000000.0,-77644000000.0,13000000.0,106156000000.0,,,,,148061000000.0,254217000000.0,定期报告,未审计,20250430,CNY,合并期末,2025-04-30T04:26:03
20231231,,780131000000.0,,94378000000.0,,,,,,,,,,9670000000.0,789801000000.0,280617000000.0,486000000.0,19878000000.0,,,,,,,,,62877000000.0,25838000000.0,,413000000.0,,5779000000.0,23372000000.0,405435000000.0,384366000000.0,,1203645000000.0,179197000000.0,1051000000.0,,21837000000.0,,1405730000000.0,1791554000000.0,4171000000.0,34043000000.0,16079000000.0,,198000000.0,1829966000000.0,-424236000000.0,,18035000000.0,67129000000.0,43000000.0,,750000000.0,85957000000.0,577000000.0,,22189000000.0,,2918000000.0,25684000000.0,60273000000.0,64000000.0,20467000000.0,148061000000.0,127594000000.0,,,127594000000.0,148061000000.0,定期报告,是,20250327,CNY,合并期末,2024-03-27T19:07:19
