报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,43755999364.22,,,,,,,,,,,137716.05,2467255087.76,46223392168.03,24092370187.5,,,,,,3283147352.26,6603156255.71,2567438174.83,36546111970.3,9677280197.73,,,27359047.56,6161500.0,,,,,33520547.56,2989902921.0,100000000.0,,,,,3089902921.0,-3056382373.44,,,,1899069102.72,,118622015.6,2017691118.32,1523728268.5,25992621.28,,18799589.13,1568520478.91,449170639.41,,7070068463.7,21860261042.88,,,,,28930329506.58,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T17:02:13
20251231,,171289728122.5,,,,,,,,,,,493496.84,12856816964.31,184147038583.66,95662400636.49,,,,,,14590079147.34,25588800783.23,13036485254.54,148877765821.6,35269272762.06,,6039470360.77,2141049673.6,114776702.18,,99628338.16,,,8394925074.71,17059636816.82,858019931.4,,,,298000.0,17917954748.22,-9523029673.51,,478933161.28,478933161.28,9587675022.19,,430243951.81,10496852135.28,5108921508.64,21781882119.76,8805929725.99,8210209629.27,35101013257.67,-24604161122.39,,1142081966.16,20718179076.73,21860261042.88,20718179076.73,,,21860261042.88,定期报告,是,20260425,CNY,合并期末,2026-04-24T17:00:14
20250930,,137014826589.18,,,,,,,,,,,30522030.48,4758111125.79,141803459745.45,79590412608.16,,,,,,9734894777.1,19208851875.56,5545096117.91,114079255378.73,27724204366.72,,4224458580.15,2298549154.26,9096400.0,,97619312.93,,,6629723447.34,9893992578.01,848800931.4,,,,,10742793509.41,-4113070062.07,,459000000.0,459000000.0,5420654142.12,,416711815.08,6296365957.2,3797836325.89,17013055804.56,4276631147.62,4405890499.84,25216782630.29,-18920416673.09,,4690717631.56,20718179076.73,,,,,25408896708.29,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:20:16
20250630,,86327513788.15,,,,,,,,,,,28724164.16,3458854569.39,89815092521.7,48772368750.75,,,,,,6526127855.62,13336716325.49,5364749943.13,73999962874.99,15815129646.71,,69867361.76,871707692.33,2057600.0,,97619312.93,,,1041251967.02,6204984015.06,816480998.34,,,,,7021465013.4,-5980213046.38,,459000000.0,459000000.0,3445776432.32,,329735691.44,4234512123.76,3416208581.64,12591383847.86,342972119.27,128237327.51,16135829757.01,-11901317633.25,,-2066401032.92,20718179076.73,18651778043.81,20718179076.73,,,18651778043.81,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T16:14:02
20250331,,45206323305.52,,,,,,,,,,,3410199.15,2401699758.85,47611433263.52,27071313688.84,,,,,,3287856507.71,7215051376.54,2987206388.94,40561427962.03,7050005301.49,,,8412713.22,2057600.0,,,,,10470313.22,3010655474.84,,,15110808.0,,,3010655474.84,-3000185161.62,,,,1353354651.49,,428109488.67,1781464140.16,1757603244.09,1144505678.02,5746748.0,52460000.0,2954568922.11,-1173104781.95,,2876715357.92,20718179076.73,,,,,23594894434.65,定期报告,未审计,20260425,CNY,合并期末,2025-04-25T16:56:09
20241231,,204442424271.77,,,,,,,,,,,108137909.47,22874771640.67,227425333821.91,116099054505.01,,,,,,14947136643.22,30676384648.68,23352518622.09,185075094419.0,42350239402.91,,5553094901.48,3129074095.55,76770871.6,,5510683.37,,,8764450552.0,13893188369.12,690667597.25,,,,34742224.83,14618598191.2,-5854147639.2,,24500000.0,24500000.0,14104594462.22,,5200642618.89,19329737081.11,16052925551.29,29420032825.02,14481469515.17,9317960439.9,54790918816.21,-35461181735.1,1288.45,1034911317.06,19683267759.67,20718179076.73,19683267759.67,,,20718179076.73,定期报告,是,20260425,CNY,合并期末,2025-04-25T16:56:09
20240930,,162783433574.71002,,,,,,,,,,,82952517.93,10701638311.9,173568024404.54,88799354673.31,,,,,,10279494755.3,24080695182.38,12505206396.41,135664751007.4,37903273397.14,,4853203547.68,1480628403.47,5269384.6,,4666911.83,,,6343768247.58,10573489713.54,690667597.25,,,,5440337.95,11269597648.74,-4925829401.16,,24500000.0,24500000.0,8022548829.25,,4002834204.21,12049883033.46,12915190367.19,16974679998.47,3322375335.79,251747273.46,30141617639.12,-18091734605.66,1288.45,14885710678.77,19683267759.67,,,,,34568978438.44,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T15:40:05
20240630,,102786592853.67,,,,,,,,,,,68202549.7,6831266379.45,109686061782.82,57611442364.64,,,,,,6619923752.23,16853914612.58,6700354660.28,87785635389.73,21900426393.09,,823126687.18,491182363.12,4151005.6,,2650263.98,,,1321110319.88,3936285152.34,526986234.6,,,,,4463271386.94,-3142161067.06,,24500000.0,24500000.0,6411048255.23,,4012283333.33,10447831588.56,11358623752.35,13620096423.34,209084453.09,219675900.29,25198396075.98,-14750564487.42,1288.45,4007702127.06,19683267759.67,23690969886.73,19683267759.67,,,23690969886.73,定期报告,未审计,20250828,CNY,合并期末,2024-08-29T15:50:19
20240331,,54066881196.26,,,,,,,,,,,10018695.81,1106551133.84,55183451025.91,31739463827.79,,,,,,3520955546.41,9137192987.98,2134492224.1,46532104586.28,8651346439.63,,,136638819.88,1123645.6,,,,,137762465.48,2054265266.44,153275000.0,,,,,2207540266.44,-2069777800.96,,24500000.0,24500000.0,1494425659.28,,130729191.49,1649654850.77,2402724480.81,408172921.22,209720000.0,74000000.0,2884897402.03,-1235242551.26,,5346326087.41,19723060960.49,,,,,25069387047.9,定期报告,未审计,20250426,CNY,合并期末,2024-04-25T15:40:06
20231231,,195689586850.65,,,,,,,,,,,161262787.91,9874417813.72,205725267452.28,103482520710.26,,,,,,14744188930.5,32146413125.71,13366630023.26,163739752789.72998,41985514662.55,,1639368923.13,2502088236.53,150155361.85,,60579.81,,,4291673101.32,12957917660.47,6637217142.37,,,,,19595134802.84,-15303461701.52,,124900000.0,124900000.0,7189546565.67,,997663300.0,8312109865.67,8391152234.87,37742761962.88,15810404688.55,15796215854.23,61930130051.98,-53618020186.31,312857.04,-26935654368.24,46618922127.91,19683267759.67,46618922127.91,,,19683267759.67,定期报告,是,20250426,CNY,合并期末,2024-04-25T15:40:06
